Month,civil,society,Email,governorate,governorate(2),province,province(2),Email_file1,province_file2,state,civil_file2,civil(2),Email_file2
2004-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06,0,0,0,0,0,0,0,0,0,0,0,0,0
