Category: All categories

Month,মন্ত্রী: (Chittagong Division),কর্মচারী: (Chittagong Division),কর্মী: (Chittagong Division),শ্রমিক: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,82
2011-02,0,0,0,0,98
2011-03,0,0,0,0,76
2011-04,0,0,0,0,76
2011-05,0,0,0,0,95
2011-06,0,0,0,0,80
2011-07,0,0,0,0,88
2011-08,0,0,0,0,60
2011-09,0,0,0,0,80
2011-10,0,0,0,0,94
2011-11,0,0,0,0,71
2011-12,0,0,0,0,48
2012-01,0,0,0,0,87
2012-02,0,0,0,0,100
2012-03,0,0,0,0,50
2012-04,0,0,0,0,62
2012-05,0,0,0,0,54
2012-06,0,0,0,0,83
2012-07,0,0,0,0,92
2012-08,0,0,0,0,51
2012-09,0,0,0,0,86
2012-10,0,0,0,0,61
2012-11,0,0,0,0,66
2012-12,0,0,0,0,75
2013-01,0,0,0,0,71
2013-02,0,0,0,0,70
2013-03,0,0,0,0,81
2013-04,0,0,0,0,62
2013-05,0,0,0,0,74
2013-06,0,0,0,0,82
2013-07,0,0,0,0,76
2013-08,0,0,0,0,88
2013-09,0,0,0,0,61
2013-10,0,0,0,0,68
2013-11,0,0,0,0,80
2013-12,0,0,0,0,68
2014-01,0,0,0,0,79
2014-02,0,0,0,0,85
2014-03,0,0,0,0,87
2014-04,0,0,0,0,50
2014-05,0,0,0,0,46
2014-06,0,0,0,0,37
2014-07,0,0,0,0,40
2014-08,0,0,0,0,44
2014-09,0,0,0,0,40
2014-10,0,0,0,0,41
2014-11,0,0,0,0,46
2014-12,0,0,0,0,49
2015-01,0,0,0,0,47
2015-02,0,0,0,0,51
2015-03,0,0,0,0,49
2015-04,0,0,0,0,41
2015-05,0,0,0,0,37
2015-06,0,0,0,0,43
2015-07,0,0,0,0,44
2015-08,0,0,0,0,53
2015-09,0,0,0,0,53
2015-10,0,0,0,0,52
2015-11,0,0,0,0,48
2015-12,0,0,0,0,78
2016-01,0,0,0,0,44
2016-02,0,0,0,0,40
2016-03,1,0,0,0,29
2016-04,1,0,0,0,30
2016-05,0,0,0,0,34
2016-06,0,0,0,0,46
2016-07,0,0,0,0,35
2016-08,0,0,0,0,36
2016-09,0,0,0,0,36
2016-10,0,0,0,0,40
2016-11,0,0,0,0,43
2016-12,0,0,0,0,44
2017-01,0,0,0,0,35
2017-02,0,0,0,0,41
2017-03,0,0,0,0,36
2017-04,0,0,0,3,38
2017-05,0,0,0,0,32
2017-06,0,0,0,0,31
2017-07,2,0,0,0,32
2017-08,2,0,0,0,33
2017-09,2,0,0,0,36
2017-10,2,0,0,0,41
2017-11,2,0,0,0,47
2017-12,2,0,0,0,35
2018-01,2,0,0,0,39
2018-02,3,0,0,0,39
2018-03,2,0,0,0,41
2018-04,5,1,0,2,43
2018-05,2,0,0,2,41
2018-06,0,0,0,0,35
2018-07,2,0,1,0,37
2018-08,3,1,0,2,45
2018-09,2,1,0,1,45
2018-10,3,2,0,2,42
2018-11,2,2,0,1,42
2018-12,2,0,0,0,33
2019-01,11,0,0,0,35
2019-02,5,2,0,3,42
2019-03,5,3,0,0,53
2019-04,4,0,0,3,51
2019-05,2,2,0,3,47
2019-06,3,0,0,1,37
2019-07,3,1,0,2,46
2019-08,4,0,0,0,51
2019-09,4,1,0,0,51
2019-10,4,1,0,2,54
2019-11,3,2,0,2,48
2019-12,4,2,0,1,35
2020-01,4,2,0,1,38
2020-02,5,3,1,1,52
2020-03,4,1,1,1,53
2020-04,6,1,1,4,55
2020-05,3,1,1,3,51
2020-06,6,1,1,1,59
2020-07,3,1,1,2,62
2020-08,3,1,1,1,55
2020-09,3,1,0,2,56
2020-10,3,2,1,2,48
2020-11,3,2,1,2,41
2020-12,5,2,1,2,41
2021-01,3,1,1,2,37
2021-02,5,2,1,2,39
2021-03,4,2,1,2,44
2021-04,3,1,1,2,41
2021-05,3,1,0,3,39
2021-06,4,2,1,1,44
2021-07,3,1,1,1,38
2021-08,3,1,1,2,41
2021-09,4,2,1,1,42
2021-10,5,1,1,1,43
2021-11,4,2,2,2,79
2021-12,6,2,2,2,34
2022-01,4,1,1,2,41
2022-02,3,2,1,2,47
2022-03,4,2,1,2,57
2022-04,3,1,1,2,59
2022-05,4,3,1,2,64
2022-06,5,2,2,1,70
2022-07,4,2,1,1,54
2022-08,5,2,2,2,62
2022-09,4,2,2,2,66
2022-10,3,2,1,2,63
2022-11,3,1,1,2,65
2022-12,3,1,1,1,36
2023-01,3,2,2,2,39
2023-02,4,2,1,2,42
2023-03,4,1,2,2,47
2023-04,3,1,1,3,43
2023-05,4,2,2,4,55
2023-06,4,2,2,3,52
2023-07,3,2,1,2,40
2023-08,4,1,2,2,50
2023-09,3,2,2,2,44
2023-10,3,1,1,2,43
2023-11,4,2,1,2,45
2023-12,3,1,1,2,34
2024-01,27,2,2,2,36
2024-02,7,2,1,2,37
2024-03,5,2,2,1,36
2024-04,4,2,2,2,27
2024-05,6,2,1,4,34
2024-06,3,2,1,1,28
2024-07,4,1,2,1,32
2024-08,10,2,2,2,32
2024-09,3,2,2,3,39
2024-10,2,2,2,2,38
2024-11,2,3,2,2,38
2024-12,2,2,2,2,32
2025-01,1,4,2,2,32
2025-02,2,3,2,3,34
2025-03,2,2,1,2,35
2025-04,2,3,2,4,35
2025-05,1,3,2,4,39
2025-06,1,2,1,1,36
2025-07,2,3,2,2,33
2025-08,1,3,2,2,37
2025-09,2,3,2,2,36
