Category: All categories

Month,টাকা: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,0,0
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,0,0
2010-03,0,0
2010-04,0,0
2010-05,0,0
2010-06,0,0
2010-07,0,0
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,0,75
2011-02,0,89
2011-03,0,70
2011-04,0,70
2011-05,0,86
2011-06,0,73
2011-07,0,81
2011-08,0,55
2011-09,0,73
2011-10,0,86
2011-11,0,65
2011-12,0,44
2012-01,0,79
2012-02,0,91
2012-03,0,46
2012-04,0,57
2012-05,0,50
2012-06,0,76
2012-07,0,84
2012-08,0,47
2012-09,0,79
2012-10,0,56
2012-11,0,61
2012-12,0,69
2013-01,0,65
2013-02,0,64
2013-03,0,74
2013-04,0,57
2013-05,0,68
2013-06,0,75
2013-07,0,70
2013-08,0,80
2013-09,0,56
2013-10,0,63
2013-11,0,73
2013-12,0,62
2014-01,0,72
2014-02,0,78
2014-03,0,80
2014-04,0,46
2014-05,0,42
2014-06,0,34
2014-07,4,36
2014-08,4,40
2014-09,4,37
2014-10,3,37
2014-11,5,42
2014-12,4,45
2015-01,4,43
2015-02,6,47
2015-03,7,45
2015-04,0,38
2015-05,5,34
2015-06,0,40
2015-07,6,41
2015-08,9,48
2015-09,9,49
2015-10,7,48
2015-11,7,44
2015-12,6,72
2016-01,8,40
2016-02,6,37
2016-03,12,27
2016-04,13,28
2016-05,8,31
2016-06,12,42
2016-07,9,32
2016-08,12,33
2016-09,11,33
2016-10,9,37
2016-11,9,39
2016-12,11,40
2017-01,10,32
2017-02,11,38
2017-03,11,33
2017-04,9,35
2017-05,13,30
2017-06,18,28
2017-07,17,29
2017-08,17,30
2017-09,17,33
2017-10,19,37
2017-11,15,43
2017-12,17,32
2018-01,18,36
2018-02,19,36
2018-03,17,37
2018-04,15,39
2018-05,21,38
2018-06,21,32
2018-07,23,34
2018-08,23,41
2018-09,20,41
2018-10,23,38
2018-11,18,39
2018-12,19,30
2019-01,23,32
2019-02,22,38
2019-03,23,49
2019-04,22,47
2019-05,28,43
2019-06,24,34
2019-07,26,42
2019-08,27,46
2019-09,33,47
2019-10,29,50
2019-11,29,44
2019-12,25,32
2020-01,31,35
2020-02,31,47
2020-03,28,49
2020-04,37,50
2020-05,52,47
2020-06,40,54
2020-07,41,56
2020-08,37,50
2020-09,37,51
2020-10,38,44
2020-11,39,37
2020-12,41,37
2021-01,39,34
2021-02,37,35
2021-03,44,40
2021-04,41,38
2021-05,47,36
2021-06,44,40
2021-07,45,35
2021-08,51,38
2021-09,43,38
2021-10,37,40
2021-11,41,72
2021-12,44,31
2022-01,51,37
2022-02,55,43
2022-03,54,52
2022-04,63,54
2022-05,62,59
2022-06,71,64
2022-07,69,49
2022-08,76,56
2022-09,71,61
2022-10,64,58
2022-11,60,60
2022-12,65,33
2023-01,70,36
2023-02,73,38
2023-03,73,43
2023-04,79,39
2023-05,70,50
2023-06,77,47
2023-07,81,37
2023-08,76,46
2023-09,68,40
2023-10,64,39
2023-11,69,41
2023-12,68,31
2024-01,79,33
2024-02,70,34
2024-03,79,33
2024-04,71,25
2024-05,69,31
2024-06,61,26
2024-07,65,30
2024-08,70,29
2024-09,81,35
2024-10,73,35
2024-11,79,35
2024-12,72,30
2025-01,73,30
2025-02,78,31
2025-03,89,32
2025-04,67,32
2025-05,70,35
2025-06,75,33
2025-07,87,30
2025-08,93,34
2025-09,100,33
