Category: All categories

Month,জলবায়ু পরিবর্তন: (Chittagong Division),পানি: (Chittagong Division),বৃষ্টি: (Chittagong Division),জলরাশি: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,79
2011-02,0,69,0,0,100
2011-03,0,0,0,0,63
2011-04,0,0,0,0,74
2011-05,0,0,0,0,73
2011-06,0,0,0,0,73
2011-07,0,0,0,0,71
2011-08,0,0,0,0,66
2011-09,0,0,0,0,58
2011-10,0,0,0,0,69
2011-11,0,0,0,0,69
2011-12,0,0,0,0,58
2012-01,0,0,0,0,73
2012-02,0,0,0,0,75
2012-03,0,0,0,0,57
2012-04,0,0,0,0,42
2012-05,0,15,0,0,54
2012-06,0,0,0,0,93
2012-07,0,0,0,0,84
2012-08,0,0,0,0,52
2012-09,0,0,0,0,68
2012-10,0,0,0,0,56
2012-11,0,0,0,0,59
2012-12,0,0,0,0,60
2013-01,0,0,0,0,67
2013-02,0,0,0,0,71
2013-03,0,0,0,0,60
2013-04,0,0,0,0,59
2013-05,0,0,0,0,69
2013-06,0,0,0,0,70
2013-07,0,0,0,0,69
2013-08,0,0,15,0,79
2013-09,0,0,0,0,55
2013-10,0,0,0,0,62
2013-11,0,0,16,0,66
2013-12,0,0,0,0,65
2014-01,0,0,0,0,74
2014-02,0,0,0,0,86
2014-03,0,0,0,0,74
2014-04,0,0,0,0,46
2014-05,0,0,0,0,40
2014-06,0,0,4,0,34
2014-07,0,0,5,0,34
2014-08,0,0,0,0,41
2014-09,0,0,0,0,37
2014-10,0,0,0,0,38
2014-11,0,0,0,0,42
2014-12,0,0,0,0,45
2015-01,0,0,0,0,43
2015-02,0,0,0,0,48
2015-03,0,0,0,0,45
2015-04,0,0,0,0,40
2015-05,0,0,0,0,34
2015-06,0,0,7,0,42
2015-07,0,0,0,0,41
2015-08,0,0,0,0,51
2015-09,0,0,0,0,44
2015-10,0,0,0,0,49
2015-11,0,0,0,0,45
2015-12,0,0,0,0,70
2016-01,0,4,0,0,39
2016-02,0,3,5,0,33
2016-03,0,5,4,0,25
2016-04,0,5,5,0,27
2016-05,0,4,8,0,32
2016-06,0,3,4,0,41
2016-07,0,4,7,0,31
2016-08,0,5,0,0,33
2016-09,0,5,4,0,33
2016-10,0,4,3,0,36
2016-11,0,8,4,0,39
2016-12,0,6,2,0,40
2017-01,0,4,0,0,32
2017-02,0,4,4,0,38
2017-03,0,8,8,0,33
2017-04,0,8,12,0,35
2017-05,0,9,6,0,28
2017-06,0,8,9,0,28
2017-07,0,10,8,0,28
2017-08,0,11,7,0,31
2017-09,0,7,5,0,33
2017-10,0,8,7,0,36
2017-11,0,8,2,0,42
2017-12,0,7,4,0,31
2018-01,0,5,3,0,36
2018-02,0,6,3,0,36
2018-03,0,10,4,0,37
2018-04,0,10,7,0,39
2018-05,0,9,6,0,38
2018-06,0,6,6,0,32
2018-07,0,9,8,0,34
2018-08,0,10,6,0,40
2018-09,0,12,5,0,41
2018-10,0,10,4,0,38
2018-11,0,9,3,0,38
2018-12,0,6,3,0,29
2019-01,0,10,2,0,32
2019-02,0,10,6,0,38
2019-03,0,15,5,0,48
2019-04,0,15,7,0,47
2019-05,0,13,5,0,43
2019-06,0,13,6,0,34
2019-07,0,12,14,0,41
2019-08,0,11,6,0,46
2019-09,0,13,6,0,47
2019-10,0,12,4,0,49
2019-11,0,12,3,0,44
2019-12,1,11,3,0,32
2020-01,0,11,4,0,34
2020-02,1,12,3,0,47
2020-03,0,13,4,0,48
2020-04,0,15,13,0,49
2020-05,0,18,9,0,46
2020-06,0,15,10,0,54
2020-07,0,17,10,0,57
2020-08,0,14,7,0,50
2020-09,0,12,7,0,51
2020-10,0,13,7,0,43
2020-11,0,26,3,0,38
2020-12,0,18,3,0,38
2021-01,0,13,3,0,34
2021-02,0,11,3,0,35
2021-03,0,15,4,0,40
2021-04,0,13,5,0,38
2021-05,1,14,12,0,35
2021-06,1,16,16,0,40
2021-07,<1,14,10,0,35
2021-08,0,16,7,0,38
2021-09,1,14,6,0,38
2021-10,1,12,4,0,40
2021-11,1,14,4,0,73
2021-12,0,12,6,0,31
2022-01,0,13,4,0,37
2022-02,<1,14,5,0,43
2022-03,1,16,6,0,52
2022-04,1,18,8,0,57
2022-05,1,14,15,0,59
2022-06,<1,19,16,0,64
2022-07,<1,15,8,0,49
2022-08,<1,16,7,0,59
2022-09,1,18,10,0,59
2022-10,1,16,7,0,55
2022-11,1,16,4,0,59
2022-12,1,15,4,0,33
2023-01,1,16,4,0,35
2023-02,1,19,4,0,38
2023-03,<1,19,11,0,43
2023-04,1,19,11,0,38
2023-05,1,21,18,0,50
2023-06,1,19,19,0,46
2023-07,1,19,10,0,36
2023-08,1,22,19,0,46
2023-09,1,19,9,0,39
2023-10,1,18,8,0,39
2023-11,1,20,8,0,40
2023-12,<1,16,8,0,32
2024-01,1,19,6,0,32
2024-02,1,21,6,0,33
2024-03,1,21,8,0,33
2024-04,1,19,10,0,25
2024-05,1,20,21,0,31
2024-06,1,17,11,0,26
2024-07,<1,17,9,0,30
2024-08,0,23,16,0,29
2024-09,1,22,10,0,35
2024-10,1,21,7,0,35
2024-11,1,24,6,0,35
2024-12,1,20,5,0,30
2025-01,1,19,3,0,29
2025-02,1,19,4,0,30
2025-03,<1,23,5,0,32
2025-04,0,20,11,0,32
2025-05,1,21,19,0,35
2025-06,<1,18,13,0,33
2025-07,4,24,16,0,29
2025-08,2,30,14,0,33
2025-09,1,32,9,<1,32
