Category: All categories

Month,ব্রিজ: (Chittagong Division),চেকপয়েন্ট: (Chittagong Division),বাস: (Chittagong Division),বিশ্ববিদ্যালয়: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,79
2011-02,0,0,0,0,100
2011-03,0,0,0,0,63
2011-04,0,0,0,0,74
2011-05,0,0,0,0,73
2011-06,0,0,0,0,73
2011-07,0,0,0,0,71
2011-08,0,0,0,0,66
2011-09,0,0,0,0,58
2011-10,0,0,0,0,69
2011-11,0,0,0,0,69
2011-12,0,0,0,0,58
2012-01,0,0,0,0,73
2012-02,0,0,0,0,75
2012-03,0,0,0,0,57
2012-04,0,0,0,0,42
2012-05,0,0,0,0,54
2012-06,0,0,0,0,93
2012-07,0,0,0,0,84
2012-08,0,0,0,0,52
2012-09,0,0,0,0,68
2012-10,0,0,0,0,56
2012-11,0,0,0,0,59
2012-12,0,0,0,0,60
2013-01,0,0,0,0,67
2013-02,0,0,0,21,71
2013-03,0,0,0,0,60
2013-04,0,0,0,0,59
2013-05,0,0,0,0,69
2013-06,0,0,0,0,70
2013-07,0,0,0,0,69
2013-08,0,0,0,0,79
2013-09,0,0,0,14,55
2013-10,0,0,0,0,62
2013-11,0,0,0,16,66
2013-12,0,0,0,13,65
2014-01,0,0,0,23,74
2014-02,0,0,0,0,86
2014-03,0,0,0,0,74
2014-04,0,0,0,0,46
2014-05,0,0,0,0,40
2014-06,0,0,0,0,34
2014-07,0,0,0,0,34
2014-08,0,0,0,0,41
2014-09,0,0,0,6,37
2014-10,0,0,0,0,38
2014-11,0,0,0,4,42
2014-12,0,0,0,4,45
2015-01,0,0,0,0,43
2015-02,0,0,0,4,48
2015-03,0,0,0,0,45
2015-04,0,0,4,0,40
2015-05,0,0,0,0,34
2015-06,0,0,0,0,42
2015-07,0,0,0,0,41
2015-08,0,0,0,9,51
2015-09,0,0,0,6,44
2015-10,0,0,0,0,49
2015-11,0,0,0,7,45
2015-12,0,0,0,8,70
2016-01,0,0,0,10,39
2016-02,0,0,0,9,33
2016-03,0,0,2,8,25
2016-04,0,0,2,8,27
2016-05,0,0,0,6,32
2016-06,0,0,0,8,41
2016-07,0,0,3,9,31
2016-08,0,0,2,20,33
2016-09,0,0,7,28,33
2016-10,0,0,4,28,36
2016-11,0,0,3,26,39
2016-12,0,0,4,12,40
2017-01,0,0,4,10,32
2017-02,0,0,3,9,38
2017-03,0,0,4,11,33
2017-04,0,0,4,10,35
2017-05,0,0,2,12,28
2017-06,0,0,4,6,28
2017-07,0,0,5,14,28
2017-08,0,0,4,24,31
2017-09,0,0,2,32,33
2017-10,0,0,3,45,36
2017-11,0,0,4,32,42
2017-12,0,0,4,16,31
2018-01,0,0,4,21,36
2018-02,0,0,5,16,36
2018-03,0,0,4,16,37
2018-04,2,0,5,18,39
2018-05,2,0,5,19,38
2018-06,0,0,4,11,32
2018-07,0,0,5,28,34
2018-08,0,0,7,32,40
2018-09,1,0,6,40,41
2018-10,2,0,4,50,38
2018-11,0,0,6,36,38
2018-12,1,0,4,20,29
2019-01,0,0,6,21,32
2019-02,0,0,5,20,38
2019-03,1,0,7,18,48
2019-04,1,0,8,22,47
2019-05,2,0,7,24,43
2019-06,1,0,7,17,34
2019-07,2,0,7,30,41
2019-08,2,0,10,40,46
2019-09,0,0,8,61,47
2019-10,2,0,10,60,49
2019-11,1,0,8,44,44
2019-12,1,0,10,27,32
2020-01,1,0,10,25,34
2020-02,1,0,10,24,47
2020-03,1,0,9,15,48
2020-04,1,0,5,10,49
2020-05,1,0,5,10,46
2020-06,1,0,7,11,54
2020-07,1,0,7,13,57
2020-08,1,0,8,14,50
2020-09,2,0,9,22,51
2020-10,2,0,11,22,43
2020-11,1,0,10,18,38
2020-12,2,0,12,20,38
2021-01,2,0,10,18,34
2021-02,2,0,12,29,35
2021-03,1,0,11,31,40
2021-04,1,0,8,23,38
2021-05,2,0,8,14,35
2021-06,1,0,11,21,40
2021-07,1,0,6,39,35
2021-08,1,0,9,23,38
2021-09,2,0,11,31,38
2021-10,2,0,12,39,40
2021-11,1,0,15,37,73
2021-12,2,0,13,35,31
2022-01,1,0,12,32,37
2022-02,2,0,11,34,43
2022-03,2,0,13,29,52
2022-04,2,0,14,32,57
2022-05,2,0,12,35,59
2022-06,3,0,12,35,64
2022-07,3,0,15,26,49
2022-08,2,0,15,35,59
2022-09,2,0,13,24,59
2022-10,2,0,13,22,55
2022-11,2,0,11,17,59
2022-12,1,0,12,17,33
2023-01,2,0,14,21,35
2023-02,2,0,14,25,38
2023-03,2,0,14,28,43
2023-04,2,0,13,24,38
2023-05,2,0,14,39,50
2023-06,2,0,17,25,46
2023-07,2,0,16,22,36
2023-08,2,0,14,21,46
2023-09,2,0,13,18,39
2023-10,2,0,13,21,39
2023-11,2,0,17,21,40
2023-12,2,0,17,25,32
2024-01,2,0,15,30,32
2024-02,2,0,17,28,33
2024-03,2,0,15,30,33
2024-04,2,0,17,17,25
2024-05,1,0,14,23,31
2024-06,2,0,14,17,26
2024-07,2,0,13,22,30
2024-08,2,0,15,16,29
2024-09,2,0,14,20,35
2024-10,1,0,15,20,35
2024-11,1,0,14,22,35
2024-12,2,0,17,22,30
2025-01,2,0,16,29,29
2025-02,1,0,18,26,30
2025-03,2,0,15,24,32
2025-04,2,0,15,23,32
2025-05,2,0,15,26,35
2025-06,2,0,18,15,33
2025-07,2,0,16,19,29
2025-08,2,0,16,20,33
2025-09,2,0,17,28,32
