Category: All categories

Month,স্কুল: (Chittagong Division),হাসপাতাল: (Chittagong Division),হসপিটাল: (Chittagong Division),সেতু: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,79
2011-02,0,0,0,0,100
2011-03,0,0,0,0,63
2011-04,0,0,0,0,74
2011-05,0,0,0,0,73
2011-06,0,0,0,0,73
2011-07,0,0,0,0,71
2011-08,0,0,0,0,66
2011-09,0,0,0,0,58
2011-10,0,0,0,0,69
2011-11,0,0,0,0,69
2011-12,0,0,0,0,58
2012-01,0,0,0,0,73
2012-02,0,0,0,0,75
2012-03,0,0,0,0,57
2012-04,0,0,0,0,42
2012-05,0,0,0,0,54
2012-06,0,0,0,0,93
2012-07,0,0,0,0,84
2012-08,0,0,0,0,52
2012-09,0,0,0,0,68
2012-10,0,0,0,0,56
2012-11,0,0,0,0,59
2012-12,0,0,0,0,60
2013-01,0,0,0,0,67
2013-02,0,0,0,0,71
2013-03,0,0,0,0,60
2013-04,0,0,0,0,59
2013-05,0,0,0,0,69
2013-06,16,0,0,0,70
2013-07,0,0,0,0,69
2013-08,0,0,0,0,79
2013-09,0,0,0,0,55
2013-10,0,0,0,0,62
2013-11,0,0,0,0,66
2013-12,0,0,0,0,65
2014-01,0,0,0,0,74
2014-02,0,0,0,0,86
2014-03,0,0,0,0,74
2014-04,0,0,0,0,46
2014-05,0,0,0,0,40
2014-06,0,0,0,0,34
2014-07,0,0,0,0,34
2014-08,0,0,0,0,41
2014-09,0,0,0,0,37
2014-10,0,0,0,0,38
2014-11,0,0,0,0,42
2014-12,5,3,0,0,45
2015-01,0,0,0,0,43
2015-02,5,0,0,0,48
2015-03,0,0,0,0,45
2015-04,0,0,0,0,40
2015-05,0,0,0,0,34
2015-06,0,0,0,0,42
2015-07,0,0,0,0,41
2015-08,0,0,0,0,51
2015-09,0,0,0,0,44
2015-10,0,0,0,0,49
2015-11,4,0,0,0,45
2015-12,8,0,0,0,70
2016-01,5,0,0,0,39
2016-02,4,0,0,0,33
2016-03,5,1,0,1,25
2016-04,4,2,1,1,27
2016-05,5,0,0,0,32
2016-06,6,0,0,0,41
2016-07,4,0,0,0,31
2016-08,6,2,0,2,33
2016-09,4,0,0,2,33
2016-10,5,2,0,3,36
2016-11,7,0,0,0,39
2016-12,11,2,0,2,40
2017-01,7,2,0,3,32
2017-02,5,2,0,0,38
2017-03,7,3,0,2,33
2017-04,5,2,0,2,35
2017-05,7,3,0,0,28
2017-06,7,3,0,2,28
2017-07,6,3,0,3,28
2017-08,7,4,0,3,31
2017-09,7,6,0,2,33
2017-10,8,5,0,0,36
2017-11,11,6,0,3,42
2017-12,18,3,0,3,31
2018-01,12,4,0,3,36
2018-02,9,4,0,4,36
2018-03,10,7,2,5,37
2018-04,10,6,2,5,39
2018-05,14,6,0,3,38
2018-06,9,4,0,3,32
2018-07,9,7,0,2,34
2018-08,10,7,1,3,40
2018-09,11,8,2,2,41
2018-10,12,10,1,4,38
2018-11,13,8,2,3,38
2018-12,24,7,1,3,29
2019-01,14,7,1,4,32
2019-02,11,9,1,3,38
2019-03,11,10,2,4,48
2019-04,15,14,3,5,47
2019-05,15,9,1,5,43
2019-06,15,11,2,5,34
2019-07,11,10,2,15,41
2019-08,15,13,2,4,46
2019-09,15,12,3,5,47
2019-10,15,13,2,3,49
2019-11,18,12,3,5,44
2019-12,35,11,2,4,32
2020-01,21,11,2,3,34
2020-02,15,10,3,3,47
2020-03,17,11,3,2,48
2020-04,17,11,1,3,49
2020-05,17,11,2,3,46
2020-06,16,14,4,3,54
2020-07,17,13,3,3,57
2020-08,19,15,4,3,50
2020-09,19,16,3,3,51
2020-10,16,14,3,4,43
2020-11,23,15,4,5,38
2020-12,37,14,3,15,38
2021-01,30,14,3,6,34
2021-02,19,19,3,5,35
2021-03,21,17,4,5,40
2021-04,14,14,3,3,38
2021-05,16,13,3,3,35
2021-06,17,16,3,3,40
2021-07,13,20,4,3,35
2021-08,16,26,5,3,38
2021-09,28,23,5,4,38
2021-10,20,24,4,5,40
2021-11,35,20,4,3,73
2021-12,42,18,4,4,31
2022-01,28,21,4,4,37
2022-02,27,21,4,3,43
2022-03,24,23,5,5,52
2022-04,21,17,4,5,57
2022-05,21,19,4,10,59
2022-06,24,19,5,67,64
2022-07,20,20,5,22,49
2022-08,22,22,5,12,59
2022-09,22,22,5,20,59
2022-10,21,20,5,10,55
2022-11,31,17,5,10,59
2022-12,39,16,4,8,33
2023-01,34,18,4,7,35
2023-02,25,21,5,9,38
2023-03,22,20,5,7,43
2023-04,18,16,4,5,38
2023-05,21,23,5,10,50
2023-06,25,21,5,6,46
2023-07,24,27,6,5,36
2023-08,26,25,7,6,46
2023-09,25,25,6,6,39
2023-10,23,22,6,6,39
2023-11,35,19,5,6,40
2023-12,28,20,5,4,32
2024-01,26,19,5,4,32
2024-02,25,23,6,6,33
2024-03,29,20,6,5,33
2024-04,22,22,6,3,25
2024-05,31,22,5,4,31
2024-06,21,20,6,4,26
2024-07,24,21,6,3,30
2024-08,20,18,6,3,29
2024-09,22,24,7,2,35
2024-10,23,24,7,3,35
2024-11,34,19,6,2,35
2024-12,32,17,7,2,30
2025-01,27,19,6,2,29
2025-02,23,19,6,2,30
2025-03,15,17,6,1,32
2025-04,19,20,8,2,32
2025-05,19,20,7,2,35
2025-06,20,20,9,2,33
2025-07,35,24,8,2,29
2025-08,26,26,9,3,33
2025-09,25,24,9,2,32
