Category: All categories

Month,সম্পদ: (Chittagong Division),ঘাটতি: (Chittagong Division),শিক্ষা: (Chittagong Division),স্বাস্থ্য: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,37
2011-02,0,0,0,0,47
2011-03,0,0,0,0,30
2011-04,0,0,0,0,34
2011-05,0,0,0,0,34
2011-06,0,0,0,0,34
2011-07,0,0,0,0,33
2011-08,0,0,0,0,31
2011-09,0,0,0,0,27
2011-10,0,0,0,0,32
2011-11,0,0,0,0,32
2011-12,0,0,0,0,27
2012-01,0,0,0,0,34
2012-02,0,0,0,0,35
2012-03,0,0,0,0,27
2012-04,0,0,0,0,20
2012-05,0,0,0,0,25
2012-06,0,0,0,0,44
2012-07,0,0,0,0,39
2012-08,0,0,0,0,24
2012-09,0,0,0,0,32
2012-10,0,0,0,0,26
2012-11,0,0,0,0,27
2012-12,0,0,0,0,28
2013-01,0,0,0,0,31
2013-02,0,0,0,0,33
2013-03,0,0,0,0,28
2013-04,0,0,0,0,28
2013-05,0,0,0,0,32
2013-06,0,0,0,0,33
2013-07,0,0,0,0,32
2013-08,0,0,0,0,37
2013-09,0,0,6,7,26
2013-10,0,0,6,0,29
2013-11,0,0,0,0,31
2013-12,0,0,0,0,30
2014-01,0,0,0,0,35
2014-02,0,0,0,0,40
2014-03,0,0,0,0,35
2014-04,0,0,4,0,21
2014-05,0,0,2,0,18
2014-06,0,0,3,0,16
2014-07,0,0,2,0,16
2014-08,0,0,4,2,19
2014-09,0,0,2,0,17
2014-10,0,0,3,0,18
2014-11,0,0,3,0,20
2014-12,0,0,5,0,21
2015-01,0,0,4,2,20
2015-02,0,0,5,0,22
2015-03,0,0,3,0,21
2015-04,0,0,2,0,19
2015-05,0,0,4,0,16
2015-06,0,0,4,0,20
2015-07,0,0,4,0,19
2015-08,0,0,5,0,24
2015-09,0,0,4,0,20
2015-10,0,0,5,0,23
2015-11,0,0,7,0,21
2015-12,0,0,9,0,33
2016-01,0,0,9,0,18
2016-02,0,0,9,0,16
2016-03,<1,0,13,1,12
2016-04,0,0,16,1,13
2016-05,0,0,11,0,15
2016-06,0,0,14,0,19
2016-07,0,0,11,0,15
2016-08,0,0,13,1,15
2016-09,1,0,12,0,15
2016-10,0,0,13,0,17
2016-11,0,0,12,0,18
2016-12,0,0,12,0,19
2017-01,0,0,10,1,15
2017-02,1,0,11,2,18
2017-03,1,0,10,1,15
2017-04,1,0,12,1,16
2017-05,0,0,12,1,13
2017-06,1,0,8,0,13
2017-07,0,0,12,1,13
2017-08,1,0,14,1,14
2017-09,1,0,10,1,15
2017-10,1,0,13,2,17
2017-11,1,0,14,1,20
2017-12,1,0,22,1,14
2018-01,1,0,17,1,17
2018-02,1,0,18,3,17
2018-03,1,0,16,1,17
2018-04,1,0,20,1,18
2018-05,1,0,20,1,18
2018-06,0,0,17,2,15
2018-07,1,0,23,2,16
2018-08,2,0,19,3,19
2018-09,1,0,21,2,19
2018-10,1,0,21,6,18
2018-11,2,0,20,2,18
2018-12,1,0,26,4,14
2019-01,1,0,21,4,15
2019-02,1,0,23,2,18
2019-03,1,0,25,2,22
2019-04,2,0,22,3,22
2019-05,2,0,21,2,20
2019-06,2,0,16,1,16
2019-07,2,0,20,2,19
2019-08,2,0,19,3,21
2019-09,2,0,25,2,22
2019-10,2,0,26,2,23
2019-11,2,0,25,2,21
2019-12,2,<1,32,2,15
2020-01,1,0,24,3,16
2020-02,2,0,24,3,22
2020-03,1,0,26,4,23
2020-04,1,0,23,6,23
2020-05,1,0,23,5,22
2020-06,1,0,23,6,25
2020-07,2,0,25,5,27
2020-08,2,0,24,3,23
2020-09,2,0,28,4,24
2020-10,3,0,31,3,20
2020-11,4,0,100,4,18
2020-12,4,0,48,4,18
2021-01,2,0,31,3,16
2021-02,3,0,29,4,16
2021-03,2,<1,46,4,19
2021-04,2,<1,30,3,18
2021-05,1,0,23,3,16
2021-06,3,<1,52,3,19
2021-07,2,0,30,7,16
2021-08,3,<1,47,7,18
2021-09,2,<1,54,5,18
2021-10,2,<1,35,5,19
2021-11,3,0,28,4,34
2021-12,2,0,24,4,14
2022-01,2,0,33,4,17
2022-02,2,0,39,4,20
2022-03,3,<1,35,4,24
2022-04,3,<1,30,4,26
2022-05,2,<1,27,3,28
2022-06,3,<1,35,3,30
2022-07,2,<1,25,3,23
2022-08,3,<1,27,3,28
2022-09,3,<1,30,6,27
2022-10,2,<1,23,3,26
2022-11,3,<1,26,4,27
2022-12,2,<1,27,3,15
2023-01,2,<1,30,4,16
2023-02,3,<1,31,5,18
2023-03,2,<1,30,5,20
2023-04,2,<1,23,3,18
2023-05,3,<1,29,5,23
2023-06,3,<1,31,8,22
2023-07,2,<1,30,5,17
2023-08,4,<1,33,5,22
2023-09,3,<1,28,7,18
2023-10,3,<1,25,5,18
2023-11,5,<1,31,12,19
2023-12,2,<1,25,3,15
2024-01,2,<1,30,7,15
2024-02,2,<1,30,11,16
2024-03,3,<1,29,10,15
2024-04,2,<1,24,8,12
2024-05,3,<1,33,14,14
2024-06,2,<1,25,9,12
2024-07,2,<1,32,11,14
2024-08,2,<1,24,4,14
2024-09,5,<1,22,6,16
2024-10,4,<1,22,5,16
2024-11,6,<1,24,6,16
2024-12,4,<1,20,5,14
2025-01,2,<1,21,3,14
2025-02,3,<1,24,3,14
2025-03,2,<1,20,2,15
2025-04,2,<1,22,3,15
2025-05,2,<1,21,4,17
2025-06,2,0,17,4,15
2025-07,3,1,30,3,14
2025-08,2,<1,23,3,16
2025-09,2,<1,22,3,15
