Category: All categories

Month,অধিদপ্তর: (Chittagong Division),পরিকল্পনা: (Chittagong Division),সংসদ: (Chittagong Division),সংসদ সদস্য: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,82
2011-02,0,0,0,0,98
2011-03,0,0,0,0,76
2011-04,0,0,0,0,76
2011-05,0,0,0,0,95
2011-06,0,0,0,0,80
2011-07,0,0,0,0,88
2011-08,0,0,0,0,60
2011-09,0,0,0,0,80
2011-10,0,0,0,0,94
2011-11,0,0,0,0,71
2011-12,0,0,0,0,48
2012-01,0,0,0,0,87
2012-02,0,0,0,0,100
2012-03,0,0,0,0,50
2012-04,0,0,0,0,62
2012-05,0,0,0,0,54
2012-06,0,0,0,0,83
2012-07,0,0,0,0,92
2012-08,0,0,0,0,51
2012-09,0,0,0,0,86
2012-10,0,0,0,0,61
2012-11,0,0,0,0,66
2012-12,0,0,0,0,75
2013-01,0,0,0,0,71
2013-02,0,0,0,0,70
2013-03,0,0,0,0,81
2013-04,0,0,0,0,62
2013-05,0,0,0,0,74
2013-06,0,0,0,0,82
2013-07,0,0,0,0,76
2013-08,0,0,0,0,88
2013-09,0,0,0,0,61
2013-10,0,0,0,0,68
2013-11,0,0,0,0,80
2013-12,0,0,0,0,68
2014-01,15,0,0,0,79
2014-02,0,0,0,0,85
2014-03,0,0,0,0,87
2014-04,0,0,0,0,50
2014-05,0,0,0,0,46
2014-06,0,0,0,0,37
2014-07,0,0,0,0,40
2014-08,0,0,5,0,44
2014-09,0,0,0,0,40
2014-10,0,0,3,0,41
2014-11,0,0,0,0,46
2014-12,0,0,0,0,49
2015-01,0,0,0,0,47
2015-02,0,0,0,0,51
2015-03,0,0,0,0,49
2015-04,0,0,0,0,41
2015-05,5,0,0,0,37
2015-06,0,0,0,0,43
2015-07,6,0,0,0,44
2015-08,0,0,0,0,53
2015-09,0,0,0,0,53
2015-10,5,0,0,0,52
2015-11,0,0,0,0,48
2015-12,6,0,0,0,78
2016-01,6,0,0,0,44
2016-02,4,0,0,0,40
2016-03,5,1,1,0,29
2016-04,5,1,1,0,30
2016-05,4,0,0,0,34
2016-06,5,0,0,0,46
2016-07,2,0,0,0,35
2016-08,4,2,0,0,36
2016-09,5,0,3,0,36
2016-10,7,0,3,0,40
2016-11,6,0,0,0,43
2016-12,7,0,0,0,44
2017-01,7,0,0,0,35
2017-02,7,0,3,0,41
2017-03,11,4,3,0,36
2017-04,8,0,2,0,38
2017-05,8,0,2,0,32
2017-06,6,0,2,0,31
2017-07,9,3,4,0,32
2017-08,7,7,3,0,33
2017-09,7,5,0,0,36
2017-10,11,9,0,0,41
2017-11,12,3,3,0,47
2017-12,22,2,0,0,35
2018-01,13,2,3,0,39
2018-02,13,4,4,0,39
2018-03,11,6,2,0,41
2018-04,16,5,4,0,43
2018-05,18,10,2,0,41
2018-06,16,6,0,0,35
2018-07,42,8,2,0,37
2018-08,27,6,3,0,45
2018-09,27,7,5,0,45
2018-10,27,7,5,0,42
2018-11,11,4,11,1,42
2018-12,18,4,16,0,33
2019-01,18,5,8,2,35
2019-02,17,5,5,0,42
2019-03,16,5,4,0,53
2019-04,17,4,4,0,51
2019-05,19,4,4,2,47
2019-06,13,2,4,1,37
2019-07,17,4,3,0,46
2019-08,22,4,2,0,51
2019-09,33,3,5,1,51
2019-10,25,3,3,1,54
2019-11,25,4,4,0,48
2019-12,29,3,4,0,35
2020-01,30,6,4,0,38
2020-02,23,8,4,0,52
2020-03,19,10,8,0,53
2020-04,19,6,14,0,55
2020-05,20,3,6,1,51
2020-06,19,3,6,0,59
2020-07,20,3,5,0,62
2020-08,20,4,4,0,55
2020-09,37,7,4,0,56
2020-10,37,7,4,0,48
2020-11,48,24,3,0,41
2020-12,33,11,4,0,41
2021-01,31,8,4,0,37
2021-02,26,6,4,0,39
2021-03,35,7,4,0,44
2021-04,18,4,3,0,41
2021-05,20,4,2,0,39
2021-06,29,14,3,0,44
2021-07,27,13,2,0,38
2021-08,37,12,3,0,41
2021-09,40,22,3,0,42
2021-10,31,13,3,0,43
2021-11,43,8,3,0,79
2021-12,38,10,3,0,34
2022-01,36,8,3,0,41
2022-02,34,5,3,1,47
2022-03,35,9,4,0,57
2022-04,41,8,3,1,59
2022-05,29,8,3,1,64
2022-06,32,7,3,1,70
2022-07,25,5,2,<1,54
2022-08,29,5,4,1,62
2022-09,26,7,4,<1,66
2022-10,34,10,3,1,63
2022-11,29,19,3,<1,65
2022-12,26,9,3,1,36
2023-01,34,14,3,0,39
2023-02,29,12,4,1,42
2023-03,32,13,3,1,47
2023-04,25,6,3,1,43
2023-05,33,10,3,1,55
2023-06,31,11,4,1,52
2023-07,31,8,3,<1,40
2023-08,36,8,5,1,50
2023-09,44,8,3,0,44
2023-10,34,7,3,1,43
2023-11,28,10,10,1,45
2023-12,24,7,9,1,34
2024-01,28,9,28,3,36
2024-02,25,8,6,1,37
2024-03,33,9,4,1,36
2024-04,42,8,3,1,27
2024-05,36,9,3,1,34
2024-06,27,6,3,1,28
2024-07,36,5,2,<1,32
2024-08,23,4,7,1,32
2024-09,25,8,4,<1,39
2024-10,23,7,3,0,38
2024-11,24,8,2,0,38
2024-12,24,5,3,1,32
2025-01,23,5,2,0,32
2025-02,21,6,3,<1,34
2025-03,25,3,2,<1,35
2025-04,27,4,2,0,35
2025-05,24,4,2,<1,39
2025-06,16,4,2,0,36
2025-07,22,5,3,0,33
2025-08,24,5,3,<1,37
2025-09,23,5,6,<1,36
