Category: All categories

Month,নিবন্ধন: (Chittagong Division),নিবন্ধন: (Chittagong Division),তালিকা: (Chittagong Division),প্রশাসন: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,33
2011-02,0,0,0,0,39
2011-03,0,0,0,0,30
2011-04,0,0,0,0,30
2011-05,0,0,0,0,38
2011-06,0,0,0,0,32
2011-07,0,0,0,0,35
2011-08,0,0,0,0,24
2011-09,0,0,0,0,32
2011-10,0,0,0,0,37
2011-11,0,0,0,0,28
2011-12,0,0,0,0,19
2012-01,0,0,0,0,34
2012-02,0,0,0,0,40
2012-03,0,0,0,0,20
2012-04,0,0,0,0,25
2012-05,0,0,0,0,22
2012-06,0,0,0,0,33
2012-07,0,0,0,0,37
2012-08,0,0,0,0,20
2012-09,0,0,0,0,34
2012-10,0,0,0,0,24
2012-11,0,0,0,0,26
2012-12,0,0,0,0,30
2013-01,0,0,0,0,28
2013-02,0,0,0,0,28
2013-03,0,0,0,0,32
2013-04,0,0,0,0,25
2013-05,0,0,0,0,30
2013-06,0,0,0,7,32
2013-07,0,0,0,0,30
2013-08,0,0,0,0,35
2013-09,0,0,0,0,24
2013-10,0,0,0,0,27
2013-11,0,6,0,0,32
2013-12,0,0,0,0,27
2014-01,0,0,0,0,31
2014-02,0,0,0,0,34
2014-03,0,0,0,0,35
2014-04,0,0,0,0,20
2014-05,0,0,3,0,18
2014-06,0,0,3,0,15
2014-07,0,0,3,0,16
2014-08,0,0,0,0,17
2014-09,3,0,0,0,16
2014-10,0,0,2,0,16
2014-11,0,0,2,0,18
2014-12,0,0,2,0,19
2015-01,0,0,2,0,19
2015-02,0,0,2,0,20
2015-03,2,0,2,0,19
2015-04,0,0,2,0,16
2015-05,2,3,2,0,15
2015-06,0,2,3,0,17
2015-07,0,0,2,0,18
2015-08,0,0,0,0,21
2015-09,0,0,0,0,21
2015-10,2,2,0,0,21
2015-11,2,2,4,0,19
2015-12,0,2,3,0,31
2016-01,2,2,4,0,18
2016-02,3,3,4,0,16
2016-03,4,4,5,0,12
2016-04,3,3,5,0,12
2016-05,3,3,4,0,14
2016-06,3,4,5,0,18
2016-07,2,2,5,0,14
2016-08,2,2,4,0,14
2016-09,1,2,4,0,14
2016-10,3,3,4,0,16
2016-11,3,3,4,0,17
2016-12,3,3,5,0,17
2017-01,3,3,6,0,14
2017-02,3,3,5,0,16
2017-03,3,3,6,0,14
2017-04,2,2,5,0,15
2017-05,2,2,5,0,13
2017-06,4,4,5,0,12
2017-07,5,5,6,0,13
2017-08,9,9,6,0,13
2017-09,5,5,6,0,14
2017-10,6,6,9,0,16
2017-11,6,6,8,0,19
2017-12,5,5,7,0,14
2018-01,5,5,10,0,16
2018-02,5,5,8,0,16
2018-03,4,4,8,1,16
2018-04,5,5,9,0,17
2018-05,4,4,10,0,16
2018-06,3,3,11,0,14
2018-07,6,6,11,1,15
2018-08,4,4,10,0,18
2018-09,5,5,11,0,18
2018-10,4,5,13,1,17
2018-11,5,5,13,<1,17
2018-12,9,9,14,1,13
2019-01,5,5,16,1,14
2019-02,5,5,13,1,17
2019-03,5,5,14,1,21
2019-04,9,10,12,1,20
2019-05,9,9,13,0,19
2019-06,14,14,12,0,15
2019-07,12,12,14,1,18
2019-08,14,14,13,1,20
2019-09,18,18,15,1,20
2019-10,13,13,18,1,22
2019-11,10,10,13,<1,19
2019-12,8,8,18,1,14
2020-01,13,13,18,1,15
2020-02,13,13,15,1,21
2020-03,7,7,14,1,21
2020-04,3,3,15,1,22
2020-05,4,4,16,1,20
2020-06,4,4,17,1,24
2020-07,7,6,14,1,24
2020-08,7,7,16,<1,22
2020-09,10,10,15,1,22
2020-10,10,10,17,1,19
2020-11,10,10,32,1,16
2020-12,12,12,21,1,16
2021-01,21,21,20,1,15
2021-02,23,23,19,1,15
2021-03,22,22,23,1,18
2021-04,12,12,16,1,16
2021-05,34,34,17,1,16
2021-06,41,41,20,1,17
2021-07,34,42,17,1,15
2021-08,57,62,21,1,16
2021-09,44,44,21,1,17
2021-10,58,60,22,1,17
2021-11,60,59,22,1,31
2021-12,47,45,21,1,13
2022-01,100,97,24,1,16
2022-02,97,98,24,1,19
2022-03,70,69,24,1,23
2022-04,40,38,22,1,23
2022-05,49,46,24,1,26
2022-06,56,57,23,1,28
2022-07,47,48,21,1,21
2022-08,75,71,26,1,24
2022-09,52,53,21,1,26
2022-10,38,38,20,1,25
2022-11,29,29,23,1,26
2022-12,26,24,25,1,14
2023-01,31,31,25,1,16
2023-02,27,26,25,1,17
2023-03,20,20,22,1,19
2023-04,14,14,19,1,17
2023-05,19,19,23,1,22
2023-06,17,17,24,1,21
2023-07,24,24,23,1,16
2023-08,24,23,24,1,20
2023-09,23,22,23,1,17
2023-10,24,24,21,1,17
2023-11,46,43,29,1,18
2023-12,25,24,24,1,14
2024-01,23,25,28,1,14
2024-02,24,24,23,1,15
2024-03,24,24,22,1,14
2024-04,16,16,18,1,11
2024-05,21,21,23,1,14
2024-06,16,16,19,1,11
2024-07,19,19,19,1,13
2024-08,13,13,21,1,13
2024-09,21,21,22,1,15
2024-10,25,26,22,1,15
2024-11,21,21,19,1,15
2024-12,23,23,17,1,13
2025-01,36,37,21,1,13
2025-02,29,27,19,1,13
2025-03,14,14,15,1,14
2025-04,14,14,17,1,14
2025-05,15,16,15,1,15
2025-06,14,14,14,1,14
2025-07,16,16,16,1,13
2025-08,26,27,19,1,15
2025-09,28,28,18,1,14
