Category: All categories

Month,প্রদেশ: (Chittagong Division),গভর্নরেট: (Chittagong Division),জেলা: (Chittagong Division),সরকার: (Chittagong Division),Email: (Chittagong Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,81
2011-02,0,0,0,0,97
2011-03,0,0,0,0,76
2011-04,0,0,0,0,75
2011-05,0,0,0,0,93
2011-06,0,0,0,0,78
2011-07,0,0,0,0,88
2011-08,0,0,0,0,59
2011-09,0,0,0,0,78
2011-10,0,0,0,0,93
2011-11,0,0,0,0,71
2011-12,0,0,0,0,47
2012-01,0,0,0,0,86
2012-02,0,0,0,0,100
2012-03,0,0,0,0,50
2012-04,0,0,0,0,61
2012-05,0,0,0,0,54
2012-06,0,0,0,0,82
2012-07,0,0,0,0,91
2012-08,0,0,0,0,51
2012-09,0,0,0,0,86
2012-10,0,0,0,0,60
2012-11,0,0,0,0,66
2012-12,0,0,0,0,74
2013-01,0,0,0,0,70
2013-02,0,0,0,0,69
2013-03,0,0,0,0,79
2013-04,0,0,0,0,62
2013-05,0,0,0,0,74
2013-06,0,0,0,0,80
2013-07,0,0,0,0,77
2013-08,0,0,0,0,88
2013-09,0,0,0,0,60
2013-10,0,0,0,0,68
2013-11,0,0,0,0,80
2013-12,0,0,0,0,67
2014-01,0,0,0,0,78
2014-02,0,0,0,0,84
2014-03,0,0,0,0,87
2014-04,0,0,0,0,49
2014-05,0,0,6,0,45
2014-06,0,0,7,0,37
2014-07,0,0,0,0,39
2014-08,0,0,0,0,43
2014-09,0,0,0,0,40
2014-10,0,0,4,0,40
2014-11,0,0,5,0,46
2014-12,0,0,4,0,48
2015-01,0,0,7,0,47
2015-02,0,0,5,0,51
2015-03,0,0,7,0,48
2015-04,0,0,5,5,41
2015-05,0,0,6,0,37
2015-06,0,0,0,0,43
2015-07,0,0,6,0,44
2015-08,0,0,5,0,52
2015-09,0,0,8,0,53
2015-10,0,0,0,0,52
2015-11,0,0,6,0,47
2015-12,0,0,7,0,77
2016-01,0,0,5,5,44
2016-02,0,0,7,4,40
2016-03,0,0,7,5,28
2016-04,0,0,8,4,30
2016-05,0,0,5,4,34
2016-06,0,3,6,3,46
2016-07,0,0,4,0,34
2016-08,0,0,10,4,36
2016-09,0,0,7,3,36
2016-10,0,0,5,5,40
2016-11,0,0,10,5,42
2016-12,0,0,9,4,44
2017-01,0,0,11,4,35
2017-02,0,0,13,4,42
2017-03,0,0,9,5,35
2017-04,0,0,9,7,38
2017-05,0,0,9,7,32
2017-06,0,0,7,5,31
2017-07,0,0,8,7,31
2017-08,0,0,12,7,33
2017-09,0,0,13,5,36
2017-10,2,0,15,6,40
2017-11,0,0,13,5,47
2017-12,0,0,14,6,34
2018-01,0,0,16,6,39
2018-02,0,0,14,5,39
2018-03,0,0,19,7,41
2018-04,0,0,17,7,42
2018-05,0,0,15,5,41
2018-06,0,0,11,4,35
2018-07,0,0,15,7,37
2018-08,0,0,12,6,44
2018-09,0,0,15,7,44
2018-10,0,0,17,7,41
2018-11,0,0,16,8,42
2018-12,0,0,14,6,33
2019-01,0,0,14,7,35
2019-02,0,0,16,5,41
2019-03,0,0,18,8,53
2019-04,0,0,15,9,51
2019-05,0,0,18,7,47
2019-06,0,0,14,6,37
2019-07,0,0,19,7,46
2019-08,1,0,21,8,51
2019-09,0,0,30,10,49
2019-10,0,0,28,9,54
2019-11,0,0,22,9,47
2019-12,1,0,25,6,34
2020-01,0,0,25,9,38
2020-02,0,0,25,9,51
2020-03,0,0,22,10,53
2020-04,1,0,27,9,54
2020-05,0,0,25,10,50
2020-06,0,0,21,7,59
2020-07,1,0,20,8,62
2020-08,0,0,22,8,55
2020-09,0,0,23,8,56
2020-10,0,0,21,9,47
2020-11,1,0,22,10,41
2020-12,0,0,26,13,41
2021-01,0,0,24,14,37
2021-02,0,0,31,11,38
2021-03,1,0,28,17,44
2021-04,1,0,21,10,41
2021-05,1,0,20,8,39
2021-06,0,0,29,9,44
2021-07,1,0,26,9,37
2021-08,1,0,26,10,40
2021-09,0,0,32,11,42
2021-10,0,0,31,11,43
2021-11,0,0,30,12,79
2021-12,1,0,32,11,34
2022-01,1,0,32,11,40
2022-02,1,0,31,10,47
2022-03,1,0,40,13,57
2022-04,1,0,39,9,59
2022-05,1,0,34,10,63
2022-06,1,0,42,12,70
2022-07,1,0,31,8,54
2022-08,1,0,33,10,61
2022-09,1,0,33,11,66
2022-10,<1,0,35,12,62
2022-11,1,0,32,11,65
2022-12,<1,0,31,9,36
2023-01,1,0,38,16,38
2023-02,1,0,35,10,42
2023-03,1,0,36,10,47
2023-04,0,0,30,8,42
2023-05,1,0,31,11,54
2023-06,1,0,32,12,51
2023-07,<1,0,31,10,40
2023-08,1,0,32,11,50
2023-09,1,0,30,13,43
2023-10,1,0,30,12,43
2023-11,1,0,30,11,44
2023-12,<1,0,32,8,34
2024-01,1,0,34,11,36
2024-02,1,0,31,12,37
2024-03,1,0,37,11,36
2024-04,1,0,35,8,27
2024-05,1,0,44,19,33
2024-06,1,0,26,11,28
2024-07,<1,0,24,11,32
2024-08,1,0,29,47,32
2024-09,1,0,30,16,39
2024-10,0,0,29,14,38
2024-11,<1,0,35,14,38
2024-12,1,0,31,12,32
2025-01,1,0,33,11,32
2025-02,0,0,31,13,33
2025-03,0,0,31,9,35
2025-04,1,0,27,10,35
2025-05,1,0,26,11,38
2025-06,0,0,29,9,36
2025-07,<1,0,30,12,33
2025-08,<1,0,32,13,37
2025-09,1,0,34,14,35
