Month,supply,demand,GDP,investment,Email,foreign currency,foreign trade,oil,loan,Email_file1,debt,debt(2),livestock,loans,Email_file2,debts,debts(2),corruption,bribes,Email_file3,contract,smuggle,smuggler,business,Email_file4,suspension,freeze,fuel,foreign,Email_file5,foreign_file6,investor,tariff,warehouse,Email_file6,warehouse_file7,customs,customs(2),licence,Email_file7,licence_file8,shipment,shipment(2),shipment(3),Email_file8,money,Email_file9,restriction,employment,employment(2),employment(3),Email_file10,restrictions,restrictions(2),restrictions(3),unemployment,Email_file11,currency,labour market,market,exchange rate,Email_file12,tax,taxes,good,good(2),Email_file13,levels of production,seasonal work,seasonal work(2),temporary work,Email_file14,sanctions,diaspora network,diaspora,import,Email_file15,export,trade,local economy,trader,Email_file16,informal sector,informal market,black market,foreign currency_file17,Email_file17,economy,remittances,ban,supply_file18,Email_file18
2004-01,0,0,0,0,0,0.0,0.0,92,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,78,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0
2004-02,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,94,0,0.0,0,0,100,0,100,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0
2004-03,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,60,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0
2004-04,0,0,0,60,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,72,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,70,0,0,0,0.0,0,79,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0
2004-05,67,0,0,0,65,0.0,0.0,49,0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0,0.0,0.0,90,30,0.0,0,0,0,51,0,0.0,0.0,0.0,51,0,0,0,0,65,0,0.0,0.0,0.0,65,0,65,0.0,0,0,0,65,0.0,0.0,0.0,47.0,65,62,0.0,70,0,65,0,0.0,0,0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0,65,0,0,0.0,0.0,65,0.0,0,0.0,0.0,65,0,0.0,0,30,29
2004-06,0,0,0,0,62,0.0,0.0,0,0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0,0.0,0.0,83,29,0.0,0,0,36,49,36,0.0,0.0,0.0,49,0,50,0,0,62,0,0.0,0.0,0.0,62,0,62,0.0,0,0,0,62,0.0,0.0,0.0,0.0,62,0,0.0,67,0,62,0,0.0,0,0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0,62,0,0,0.0,0.0,62,0.0,0,0.0,0.0,62,0,0.0,0,0,28
2004-07,0,0,0,0,100,0.0,0.0,48,0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0,0.0,0.0,89,47,0.0,0,0,0,79,0,0.0,0.0,0.0,79,0,0,0,0,100,0,0.0,0.0,0.0,100,0,100,0.0,0,0,0,100,0.0,0.0,0.0,0.0,100,0,0.0,65,0,100,0,0.0,0,0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0,100,46,60,0.0,0.0,100,0.0,0,0.0,0.0,100,0,0.0,0,0,45
2004-08,0,0,0,0,72,0.0,0.0,0,0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0,0.0,0.0,84,34,0.0,0,0,0,57,0,0.0,0.0,0.0,57,0,0,0,0,72,0,0.0,0.0,0.0,72,0,72,0.0,0,0,0,72,0.0,0.0,0.0,0.0,72,0,0.0,0,0,72,0,0.0,52,55,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0,72,41,0,0.0,0.0,72,0.0,0,0.0,0.0,72,0,0.0,0,0,32
2004-09,0,0,0,0,68,0.0,0.0,46,0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0,0.0,0.0,96,32,0.0,0,0,0,53,0,0.0,0.0,0.0,53,0,0,0,0,68,0,0.0,0.0,0.0,68,0,68,0.0,0,0,0,68,0.0,0.0,0.0,0.0,68,0,0.0,0,0,68,0,0.0,0,0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0,68,0,0,0.0,0.0,68,0.0,0,0.0,0.0,68,0,0.0,0,0,30
2004-10,0,0,0,0,69,0.0,0.0,0,0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0,0.0,0.0,64,32,0.0,0,0,42,54,42,0.0,0.0,0.0,54,0,0,0,0,69,0,0.0,0.0,0.0,69,0,69,0.0,0,0,0,69,0.0,0.0,0.0,0.0,69,0,0.0,0,0,69,0,0.0,0,57,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0,69,0,0,0.0,0.0,69,0.0,0,0.0,0.0,69,0,0.0,0,0,31
