Category: All categories

Month,money: (Khulna Division),Email: (Khulna Division)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,0,0
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,0,0
2010-03,0,0
2010-04,0,0
2010-05,0,0
2010-06,0,0
2010-07,0,0
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,0,0
2011-02,0,0
2011-03,0,0
2011-04,0,0
2011-05,0,0
2011-06,0,0
2011-07,0,0
2011-08,0,0
2011-09,0,0
2011-10,0,0
2011-11,0,0
2011-12,0,0
2012-01,0,0
2012-02,0,0
2012-03,0,0
2012-04,0,0
2012-05,42,31
2012-06,44,37
2012-07,45,35
2012-08,38,34
2012-09,27,27
2012-10,24,29
2012-11,23,28
2012-12,22,27
2013-01,0,0
2013-02,0,0
2013-03,0,0
2013-04,0,0
2013-05,0,0
2013-06,0,0
2013-07,0,0
2013-08,0,0
2013-09,0,0
2013-10,0,0
2013-11,0,0
2013-12,0,0
2014-01,0,0
2014-02,0,0
2014-03,0,0
2014-04,0,0
2014-05,0,0
2014-06,0,0
2014-07,0,0
2014-08,0,0
2014-09,0,0
2014-10,0,0
2014-11,0,0
2014-12,0,0
2015-01,0,0
2015-02,0,0
2015-03,0,0
2015-04,0,0
2015-05,0,0
2015-06,0,0
2015-07,42,75
2015-08,40,100
2015-09,46,86
2015-10,62,49
2015-11,43,70
2015-12,55,78
2016-01,45,59
2016-02,35,38
2016-03,48,47
2016-04,37,64
2016-05,30,49
2016-06,38,73
2016-07,36,33
2016-08,35,44
2016-09,31,34
2016-10,29,51
2016-11,46,66
2016-12,41,65
2017-01,38,50
2017-02,44,56
2017-03,33,64
2017-04,34,55
2017-05,33,36
2017-06,29,35
2017-07,37,33
2017-08,35,37
2017-09,33,39
2017-10,35,50
2017-11,43,55
2017-12,38,44
2018-01,39,42
2018-02,30,45
2018-03,36,48
2018-04,38,52
2018-05,36,48
2018-06,36,38
2018-07,36,41
2018-08,33,41
2018-09,32,40
2018-10,27,40
2018-11,35,46
2018-12,28,38
2019-01,29,32
2019-02,32,45
2019-03,34,70
2019-04,30,58
2019-05,35,61
2019-06,24,35
2019-07,37,57
2019-08,41,49
2019-09,37,46
2019-10,38,49
2019-11,38,39
2019-12,38,34
2020-01,41,40
2020-02,32,39
2020-03,34,37
2020-04,54,41
2020-05,45,37
2020-06,33,39
2020-07,34,43
2020-08,37,44
2020-09,40,47
2020-10,32,44
2020-11,31,44
2020-12,31,37
2021-01,28,34
2021-02,32,42
2021-03,35,44
2021-04,37,36
2021-05,34,36
2021-06,41,39
2021-07,44,44
2021-08,35,34
2021-09,41,37
2021-10,25,32
2021-11,28,37
2021-12,35,32
2022-01,34,25
2022-02,36,26
2022-03,32,30
2022-04,31,25
2022-05,30,23
2022-06,39,28
2022-07,41,24
2022-08,45,27
2022-09,43,31
2022-10,39,24
2022-11,31,24
2022-12,41,21
2023-01,35,23
2023-02,38,24
2023-03,39,24
2023-04,33,21
2023-05,31,25
2023-06,40,22
2023-07,38,21
2023-08,53,24
2023-09,38,24
2023-10,31,20
2023-11,31,21
2023-12,35,21
2024-01,40,21
2024-02,34,24
2024-03,34,25
2024-04,30,19
2024-05,30,22
2024-06,32,19
2024-07,35,22
2024-08,39,24
2024-09,38,25
2024-10,35,24
2024-11,31,26
2024-12,30,23
2025-01,30,25
2025-02,24,23
2025-03,24,24
2025-04,23,21
2025-05,22,21
2025-06,23,22
2025-07,20,19
2025-08,22,22
2025-09,19,19
