Category: All categories

Month,farmer: (Khulna Division),farm: (Khulna Division),temperature: (Khulna Division),crop production: (Khulna Division),Email: (Khulna Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,3,7,0,20
2012-06,1,4,5,0,23
2012-07,1,4,4,0,22
2012-08,0,4,3,0,21
2012-09,2,3,2,0,17
2012-10,2,3,2,0,18
2012-11,0,3,3,0,18
2012-12,0,3,6,0,17
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,47
2015-08,0,0,0,0,63
2015-09,0,0,0,0,54
2015-10,0,0,0,0,31
2015-11,0,0,0,0,44
2015-12,0,0,0,0,49
2016-01,0,0,20,0,37
2016-02,0,0,0,0,24
2016-03,0,0,0,0,30
2016-04,0,0,28,0,40
2016-05,0,0,0,0,30
2016-06,0,0,10,0,46
2016-07,0,0,13,0,21
2016-08,0,0,0,0,28
2016-09,0,0,0,0,21
2016-10,0,0,7,0,32
2016-11,0,0,0,0,41
2016-12,0,0,10,0,41
2017-01,0,7,18,0,31
2017-02,0,6,10,0,35
2017-03,0,0,7,0,40
2017-04,0,7,9,0,35
2017-05,0,0,21,4,22
2017-06,0,0,9,0,22
2017-07,0,0,6,0,21
2017-08,0,0,4,0,23
2017-09,0,5,7,0,24
2017-10,0,5,8,0,31
2017-11,0,6,9,0,35
2017-12,0,4,17,0,28
2018-01,0,4,100,0,27
2018-02,0,4,9,0,29
2018-03,0,4,10,0,30
2018-04,0,4,12,0,33
2018-05,0,4,16,0,30
2018-06,0,0,34,0,24
2018-07,0,0,13,0,26
2018-08,0,4,8,0,26
2018-09,3,4,8,0,25
2018-10,0,4,5,0,25
2018-11,0,4,6,0,29
2018-12,0,2,24,0,24
2019-01,0,4,12,0,20
2019-02,0,5,9,0,28
2019-03,0,5,11,0,44
2019-04,2,3,29,0,36
2019-05,0,0,70,0,38
2019-06,0,3,29,0,22
2019-07,2,7,12,0,36
2019-08,0,4,11,0,31
2019-09,0,4,8,0,29
2019-10,2,3,9,0,31
2019-11,0,4,9,0,24
2019-12,0,4,54,0,21
2020-01,0,4,34,0,25
2020-02,0,3,13,0,24
2020-03,1,3,26,0,23
2020-04,1,3,17,0,25
2020-05,1,3,19,0,23
2020-06,1,3,9,0,24
2020-07,1,3,6,0,27
2020-08,1,4,10,0,27
2020-09,1,4,7,0,30
2020-10,1,3,6,0,28
2020-11,0,3,7,0,27
2020-12,1,3,26,0,23
2021-01,1,2,23,0,21
2021-02,1,2,11,0,27
2021-03,1,3,6,0,28
2021-04,1,3,18,0,22
2021-05,1,2,18,0,23
2021-06,0,3,8,0,25
2021-07,1,3,5,0,27
2021-08,1,3,6,0,21
2021-09,1,3,5,0,23
2021-10,1,3,6,0,20
2021-11,1,3,7,0,23
2021-12,1,3,16,0,20
2022-01,1,2,20,0,16
2022-02,1,2,11,0,16
2022-03,1,3,7,0,19
2022-04,1,2,21,0,15
2022-05,1,3,13,0,15
2022-06,1,3,9,0,18
2022-07,1,2,9,0,15
2022-08,1,3,8,0,17
2022-09,1,2,7,0,20
2022-10,1,2,5,0,15
2022-11,1,2,6,0,15
2022-12,1,2,12,0,13
2023-01,1,2,44,0,15
2023-02,1,3,8,0,15
2023-03,1,3,6,0,15
2023-04,1,2,59,0,13
2023-05,1,2,18,0,16
2023-06,1,2,23,0,14
2023-07,1,3,7,0,13
2023-08,1,2,6,0,15
2023-09,1,2,6,0,15
2023-10,1,1,5,0,13
2023-11,1,2,6,0,13
2023-12,1,2,11,0,13
2024-01,1,2,63,0,13
2024-02,1,3,10,0,15
2024-03,1,2,7,0,16
2024-04,<1,2,70,0,12
2024-05,1,2,40,0,14
2024-06,1,2,19,0,12
2024-07,1,3,6,0,14
2024-08,0,3,5,0,15
2024-09,1,4,8,0,16
2024-10,1,3,6,0,15
2024-11,1,3,6,0,16
2024-12,1,2,10,0,15
2025-01,1,2,14,0,15
2025-02,1,2,5,0,15
2025-03,<1,2,7,0,15
2025-04,1,2,8,0,13
2025-05,1,2,11,0,13
2025-06,1,2,7,0,14
2025-07,1,1,5,0,12
2025-08,1,2,4,0,14
2025-09,1,2,4,0,12
