Category: All categories

Month,season: (Khulna Division),salinity: (Khulna Division),barley: (Khulna Division),barley: (Khulna Division),Email: (Khulna Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,100,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,6,0,0,0,5
2012-06,6,0,0,0,6
2012-07,7,0,0,0,6
2012-08,6,0,0,0,5
2012-09,2,0,0,0,4
2012-10,2,0,0,0,4
2012-11,2,0,0,<1,4
2012-12,2,0,0,0,5
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,43
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,25
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,15
2015-07,7,0,0,0,11
2015-08,13,0,0,0,13
2015-09,8,0,0,0,14
2015-10,11,0,0,0,8
2015-11,12,0,0,0,12
2015-12,9,0,0,0,12
2016-01,9,0,0,0,10
2016-02,6,0,0,0,5
2016-03,6,0,0,0,8
2016-04,11,0,0,0,10
2016-05,9,0,0,0,7
2016-06,6,0,0,0,11
2016-07,7,0,0,0,6
2016-08,8,0,0,0,6
2016-09,11,0,0,0,6
2016-10,5,0,0,0,9
2016-11,6,0,0,0,8
2016-12,9,0,0,0,10
2017-01,8,0,0,0,8
2017-02,6,0,0,0,9
2017-03,6,0,0,0,10
2017-04,6,0,0,0,8
2017-05,8,0,0,0,5
2017-06,8,0,0,0,5
2017-07,10,0,0,0,5
2017-08,11,0,0,0,6
2017-09,9,0,0,0,7
2017-10,7,0,0,0,8
2017-11,7,0,0,0,9
2017-12,7,0,0,0,7
2018-01,6,0,0,0,7
2018-02,6,0,0,0,8
2018-03,6,0,0,0,8
2018-04,6,0,0,0,8
2018-05,7,0,0,0,8
2018-06,7,0,0,0,6
2018-07,5,0,0,0,7
2018-08,5,0,0,0,7
2018-09,5,0,0,0,7
2018-10,5,0,0,0,6
2018-11,6,0,0,0,8
2018-12,6,0,0,0,6
2019-01,5,0,0,0,5
2019-02,6,0,0,0,7
2019-03,5,0,0,0,11
2019-04,9,0,0,0,9
2019-05,9,0,0,0,10
2019-06,6,0,0,0,5
2019-07,7,0,0,0,10
2019-08,8,0,0,0,8
2019-09,5,0,0,0,8
2019-10,5,0,0,0,8
2019-11,5,0,0,0,6
2019-12,5,0,0,0,6
2020-01,6,0,0,0,6
2020-02,5,0,0,0,6
2020-03,6,0,0,0,6
2020-04,8,0,0,0,7
2020-05,8,0,0,0,6
2020-06,8,0,0,0,6
2020-07,7,0,0,0,7
2020-08,7,0,0,0,7
2020-09,7,0,0,0,8
2020-10,6,0,0,0,7
2020-11,6,0,0,0,7
2020-12,5,0,0,0,6
2021-01,6,0,0,0,6
2021-02,6,0,0,0,7
2021-03,6,0,0,0,7
2021-04,6,0,0,0,6
2021-05,6,0,0,0,6
2021-06,6,0,0,0,6
2021-07,6,0,0,0,7
2021-08,6,0,0,0,5
2021-09,6,0,0,0,6
2021-10,5,0,0,0,5
2021-11,4,0,0,0,6
2021-12,6,0,0,0,5
2022-01,5,0,0,0,4
2022-02,6,<1,0,0,4
2022-03,5,<1,0,0,5
2022-04,5,0,0,0,4
2022-05,6,0,0,0,4
2022-06,6,0,0,0,5
2022-07,6,0,0,0,4
2022-08,5,0,0,0,4
2022-09,6,<1,0,0,5
2022-10,5,<1,0,0,4
2022-11,4,0,0,0,4
2022-12,4,0,0,0,3
2023-01,6,0,0,0,4
2023-02,5,0,0,0,4
2023-03,5,0,0,0,4
2023-04,6,0,0,0,3
2023-05,5,0,0,0,4
2023-06,7,0,0,0,4
2023-07,7,<1,0,0,3
2023-08,7,0,0,0,4
2023-09,6,0,0,0,4
2023-10,6,<1,0,0,3
2023-11,6,0,0,0,3
2023-12,7,<1,0,0,3
2024-01,6,0,0,<1,3
2024-02,5,0,0,0,4
2024-03,6,0,0,0,4
2024-04,5,0,0,0,3
2024-05,5,0,0,0,4
2024-06,7,0,0,0,3
2024-07,7,0,0,0,4
2024-08,7,0,0,0,4
2024-09,5,0,0,0,4
2024-10,6,0,0,0,4
2024-11,6,<1,0,0,4
2024-12,8,<1,0,0,4
2025-01,10,0,0,0,4
2025-02,9,0,0,0,4
2025-03,9,0,0,0,4
2025-04,7,0,0,0,3
2025-05,7,0,0,0,3
2025-06,10,0,0,0,4
2025-07,9,0,0,0,3
2025-08,8,0,0,0,4
2025-09,7,<1,<1,<1,3
