Category: All categories

Month,school: (Khulna Division),hospital: (Khulna Division),hospital: (Khulna Division),bridge: (Khulna Division),Email: (Khulna Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,100,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,11,3,3,1,3
2012-06,11,3,3,1,3
2012-07,10,3,3,2,3
2012-08,10,2,2,1,3
2012-09,9,2,2,1,2
2012-10,8,2,2,1,3
2012-11,10,2,2,1,3
2012-12,12,2,2,1,3
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,26,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,25
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,13,0,0,0,14
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,8,0,0,0,9
2015-07,10,0,0,0,6
2015-08,10,5,5,0,7
2015-09,10,0,4,0,8
2015-10,7,4,0,0,4
2015-11,12,4,4,0,7
2015-12,24,3,3,0,7
2016-01,11,4,4,2,6
2016-02,9,3,3,0,3
2016-03,10,3,3,2,4
2016-04,9,3,2,0,6
2016-05,12,3,4,0,4
2016-06,11,3,2,0,6
2016-07,10,3,3,0,3
2016-08,10,3,2,1,3
2016-09,10,4,4,0,4
2016-10,10,4,3,1,5
2016-11,11,3,3,1,5
2016-12,18,3,3,1,6
2017-01,11,3,3,1,5
2017-02,11,3,3,1,5
2017-03,11,3,3,1,6
2017-04,12,3,3,1,5
2017-05,11,3,3,1,3
2017-06,11,3,3,1,3
2017-07,12,3,4,1,3
2017-08,12,4,4,1,4
2017-09,13,5,5,1,4
2017-10,13,6,5,2,4
2017-11,14,4,4,1,5
2017-12,21,4,4,1,4
2018-01,16,4,4,1,4
2018-02,13,4,4,1,4
2018-03,14,4,4,1,5
2018-04,13,3,3,1,5
2018-05,14,3,3,1,5
2018-06,13,3,4,1,3
2018-07,14,4,4,1,4
2018-08,15,4,4,1,4
2018-09,12,4,4,1,4
2018-10,13,3,4,1,4
2018-11,15,3,3,1,5
2018-12,20,3,3,1,4
2019-01,15,3,3,1,3
2019-02,13,4,4,1,4
2019-03,13,4,4,1,6
2019-04,12,4,4,1,5
2019-05,11,3,3,1,6
2019-06,10,3,3,1,3
2019-07,10,4,4,1,5
2019-08,13,5,5,1,5
2019-09,12,5,5,1,4
2019-10,11,4,4,1,5
2019-11,12,4,4,1,4
2019-12,19,4,3,1,3
2020-01,12,3,3,1,4
2020-02,12,3,3,1,4
2020-03,11,2,2,1,3
2020-04,10,2,2,1,4
2020-05,12,2,2,1,3
2020-06,12,2,2,<1,4
2020-07,14,3,3,1,4
2020-08,11,3,3,1,4
2020-09,11,3,3,1,4
2020-10,10,3,3,1,4
2020-11,14,3,3,1,4
2020-12,13,2,2,2,3
2021-01,13,3,3,1,3
2021-02,10,3,3,1,4
2021-03,11,3,3,1,4
2021-04,9,2,2,1,3
2021-05,9,2,2,1,3
2021-06,10,3,3,1,4
2021-07,8,3,3,1,4
2021-08,9,3,3,1,3
2021-09,11,3,3,1,3
2021-10,10,3,3,1,3
2021-11,11,3,3,1,3
2021-12,14,3,3,<1,3
2022-01,12,3,3,1,2
2022-02,11,3,3,1,2
2022-03,11,3,3,1,3
2022-04,9,3,3,1,2
2022-05,9,3,3,1,2
2022-06,9,3,3,4,3
2022-07,8,3,3,2,2
2022-08,8,3,3,1,2
2022-09,9,3,3,1,3
2022-10,7,3,3,1,2
2022-11,8,3,3,1,2
2022-12,9,2,2,1,2
2023-01,9,3,3,1,2
2023-02,8,3,3,1,2
2023-03,8,3,3,1,2
2023-04,6,3,3,1,2
2023-05,7,3,3,1,2
2023-06,7,3,3,1,2
2023-07,8,4,4,1,2
2023-08,7,4,4,1,2
2023-09,7,3,3,1,2
2023-10,6,3,3,1,2
2023-11,8,3,3,1,2
2023-12,9,3,3,1,2
2024-01,8,3,3,1,2
2024-02,8,3,3,1,2
2024-03,7,3,3,1,2
2024-04,7,3,3,1,2
2024-05,8,3,3,1,2
2024-06,7,3,3,1,2
2024-07,7,3,3,<1,2
2024-08,7,2,2,<1,2
2024-09,7,3,3,<1,2
2024-10,8,3,3,<1,2
2024-11,9,2,2,<1,2
2024-12,10,2,2,<1,2
2025-01,9,2,2,<1,2
2025-02,9,2,2,<1,2
2025-03,7,2,2,<1,2
2025-04,7,2,2,<1,2
2025-05,7,2,2,<1,2
2025-06,7,2,2,<1,2
2025-07,8,2,2,<1,2
2025-08,7,3,3,<1,2
2025-09,7,2,3,<1,2
