Category: All categories

Month,primary: (Khulna Division),primary: (Khulna Division),secondary: (Khulna Division),tertiary: (Khulna Division),Email: (Khulna Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,5,5,2,0,11
2012-06,7,7,2,0,13
2012-07,10,10,3,0,13
2012-08,12,12,1,0,12
2012-09,5,5,1,0,10
2012-10,4,4,2,0,10
2012-11,11,11,2,0,10
2012-12,10,10,5,0,10
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,100,100,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,27
2015-08,11,11,0,0,36
2015-09,0,0,0,0,31
2015-10,21,21,0,0,18
2015-11,19,19,0,0,25
2015-12,27,27,0,0,28
2016-01,28,28,0,0,21
2016-02,6,6,6,0,14
2016-03,11,11,0,0,17
2016-04,13,13,0,0,23
2016-05,10,10,0,0,17
2016-06,13,13,0,0,26
2016-07,6,6,0,0,12
2016-08,6,6,0,0,16
2016-09,5,5,0,0,12
2016-10,11,11,0,0,19
2016-11,8,8,0,0,24
2016-12,13,13,4,0,23
2017-01,7,7,0,0,18
2017-02,8,8,3,0,20
2017-03,6,6,3,0,23
2017-04,11,11,0,0,20
2017-05,8,8,3,0,13
2017-06,6,6,0,0,13
2017-07,5,5,3,0,12
2017-08,4,4,2,0,13
2017-09,3,3,0,0,14
2017-10,4,4,0,0,18
2017-11,4,4,2,0,20
2017-12,16,16,4,0,16
2018-01,9,9,3,0,15
2018-02,5,5,2,0,16
2018-03,6,6,3,0,17
2018-04,13,13,2,0,19
2018-05,16,16,5,0,17
2018-06,8,8,2,0,14
2018-07,21,21,2,0,15
2018-08,22,22,2,0,15
2018-09,14,14,1,0,15
2018-10,9,9,2,0,14
2018-11,5,5,2,0,17
2018-12,14,14,4,0,14
2019-01,10,10,2,0,11
2019-02,7,7,2,0,16
2019-03,10,10,0,0,25
2019-04,10,10,3,0,21
2019-05,22,22,5,0,22
2019-06,26,26,2,0,12
2019-07,8,8,4,0,21
2019-08,7,7,4,0,18
2019-09,32,32,2,0,17
2019-10,6,6,2,0,18
2019-11,6,6,3,0,14
2019-12,22,22,4,1,12
2020-01,8,8,3,0,14
2020-02,6,6,1,0,14
2020-03,5,5,1,0,13
2020-04,2,2,1,0,15
2020-05,2,2,2,0,13
2020-06,3,3,1,0,14
2020-07,3,3,1,0,15
2020-08,3,3,1,0,16
2020-09,3,3,1,0,17
2020-10,8,8,1,0,16
2020-11,15,15,3,0,16
2020-12,6,6,2,0,13
2021-01,4,4,1,0,12
2021-02,4,4,1,0,15
2021-03,6,6,2,0,16
2021-04,3,3,3,0,13
2021-05,3,3,1,0,13
2021-06,4,4,1,0,14
2021-07,2,2,2,0,16
2021-08,4,4,2,0,12
2021-09,4,4,2,0,13
2021-10,4,4,2,0,11
2021-11,5,5,2,0,13
2021-12,5,5,2,0,11
2022-01,4,4,2,0,9
2022-02,3,3,3,0,9
2022-03,7,7,2,0,11
2022-04,11,11,2,0,9
2022-05,14,14,2,0,8
2022-06,17,17,2,0,10
2022-07,4,4,1,0,9
2022-08,4,4,2,0,10
2022-09,4,4,1,<1,11
2022-10,3,3,2,0,9
2022-11,5,5,3,0,9
2022-12,7,7,2,0,7
2023-01,5,5,3,0,8
2023-02,6,6,2,0,9
2023-03,9,9,2,0,9
2023-04,11,11,1,0,8
2023-05,4,4,2,<1,9
2023-06,3,3,2,0,8
2023-07,4,4,4,0,8
2023-08,4,4,2,<1,9
2023-09,3,3,2,0,8
2023-10,3,3,1,0,7
2023-11,4,4,2,0,8
2023-12,5,5,2,<1,8
2024-01,8,8,1,0,8
2024-02,9,9,1,0,9
2024-03,4,4,2,0,9
2024-04,3,3,2,0,7
2024-05,4,4,3,0,8
2024-06,2,2,2,0,7
2024-07,2,2,1,0,8
2024-08,2,2,1,0,9
2024-09,2,2,1,0,9
2024-10,2,2,1,0,9
2024-11,3,3,1,0,9
2024-12,3,3,2,0,8
2025-01,3,3,1,0,9
2025-02,2,2,1,0,8
2025-03,2,2,1,0,9
2025-04,2,2,1,0,8
2025-05,2,2,1,0,7
2025-06,2,2,2,0,8
2025-07,2,2,3,0,7
2025-08,3,3,2,0,8
2025-09,4,4,1,<1,7
