Category: All categories

Month,housing: (Khulna Division),drinking water: (Khulna Division),salon: (Khulna Division),service: (Khulna Division),Email: (Khulna Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,5,0,0,49,31
2012-06,4,1,2,53,37
2012-07,5,1,2,60,35
2012-08,4,0,2,51,34
2012-09,3,0,0,35,27
2012-10,3,0,0,41,29
2012-11,2,0,2,37,28
2012-12,0,0,0,38,27
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,47,75
2015-08,0,0,38,64,100
2015-09,0,0,0,63,86
2015-10,0,0,0,80,49
2015-11,0,0,0,86,70
2015-12,0,0,0,58,78
2016-01,0,0,0,61,59
2016-02,0,0,0,50,38
2016-03,0,0,0,57,47
2016-04,0,0,0,69,64
2016-05,0,0,0,58,49
2016-06,0,0,0,75,73
2016-07,0,0,0,59,33
2016-08,0,0,0,54,44
2016-09,0,0,0,60,34
2016-10,0,0,0,47,51
2016-11,0,0,0,42,66
2016-12,0,0,0,55,65
2017-01,0,0,0,52,50
2017-02,0,0,0,51,56
2017-03,0,0,0,47,64
2017-04,0,0,0,53,55
2017-05,0,0,0,46,36
2017-06,0,0,0,62,35
2017-07,0,0,0,42,33
2017-08,0,0,0,39,37
2017-09,0,0,0,65,39
2017-10,7,0,0,59,50
2017-11,0,0,0,57,55
2017-12,0,0,0,56,44
2018-01,8,0,0,54,42
2018-02,7,0,0,43,45
2018-03,5,0,0,54,48
2018-04,8,0,0,50,52
2018-05,0,0,0,45,48
2018-06,0,0,0,58,38
2018-07,6,0,0,46,41
2018-08,0,0,0,53,41
2018-09,0,0,0,48,40
2018-10,2,0,0,38,40
2018-11,0,0,0,41,46
2018-12,3,0,3,45,38
2019-01,3,0,3,43,32
2019-02,0,0,0,43,45
2019-03,3,0,0,51,70
2019-04,0,0,0,55,58
2019-05,4,0,0,54,61
2019-06,0,0,0,40,35
2019-07,0,0,4,57,57
2019-08,3,0,3,55,49
2019-09,3,0,0,51,46
2019-10,0,0,0,57,49
2019-11,3,0,2,53,39
2019-12,0,0,0,48,34
2020-01,2,0,2,51,40
2020-02,2,0,2,49,39
2020-03,2,0,0,43,37
2020-04,2,0,0,34,41
2020-05,1,0,0,46,37
2020-06,1,0,1,51,39
2020-07,1,0,2,54,43
2020-08,2,1,3,58,44
2020-09,2,0,3,65,47
2020-10,1,0,3,55,44
2020-11,2,1,2,52,44
2020-12,2,2,1,47,37
2021-01,1,0,1,48,34
2021-02,1,0,2,54,42
2021-03,3,2,2,57,44
2021-04,2,2,3,42,36
2021-05,2,1,2,48,36
2021-06,2,1,3,53,39
2021-07,2,0,1,44,44
2021-08,2,0,2,53,34
2021-09,2,0,2,51,37
2021-10,2,0,2,51,32
2021-11,2,1,2,51,37
2021-12,2,0,3,49,32
2022-01,1,0,2,59,25
2022-02,1,1,1,51,26
2022-03,2,1,2,52,30
2022-04,2,1,2,49,25
2022-05,1,0,2,45,23
2022-06,2,1,1,53,28
2022-07,1,0,2,55,24
2022-08,1,1,2,61,27
2022-09,2,1,2,58,31
2022-10,1,1,1,58,24
2022-11,2,1,1,57,24
2022-12,2,0,1,57,21
2023-01,2,1,1,79,23
2023-02,1,1,1,67,24
2023-03,1,1,1,56,24
2023-04,1,1,1,54,21
2023-05,1,1,1,61,25
2023-06,1,1,1,63,22
2023-07,2,1,1,60,21
2023-08,2,1,1,59,24
2023-09,2,1,1,58,24
2023-10,1,<1,1,48,20
2023-11,1,1,1,45,21
2023-12,1,1,1,45,21
2024-01,1,1,1,52,21
2024-02,1,1,1,46,24
2024-03,1,1,1,49,25
2024-04,1,1,1,42,19
2024-05,1,0,1,42,22
2024-06,<1,1,1,40,19
2024-07,1,0,1,42,22
2024-08,1,1,1,44,24
2024-09,1,1,1,46,25
2024-10,1,1,1,45,24
2024-11,2,1,1,45,26
2024-12,2,0,1,47,23
2025-01,1,0,1,47,25
2025-02,1,0,1,49,23
2025-03,1,0,2,58,24
2025-04,1,0,1,76,21
2025-05,1,1,1,57,21
2025-06,1,1,2,46,22
2025-07,1,1,1,43,19
2025-08,1,<1,1,52,22
2025-09,1,<1,1,50,19
