Category: All categories

Month,internet: (Khulna Division),phone line: (Khulna Division),electricity generator: (Khulna Division),generator: (Khulna Division),Email: (Khulna Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,100,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,23,0,0,2,6
2012-06,24,0,0,3,8
2012-07,26,<1,0,3,7
2012-08,27,0,0,2,7
2012-09,19,0,0,1,6
2012-10,24,0,0,1,6
2012-11,21,0,0,1,6
2012-12,22,0,0,2,5
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,56,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,42,0,0,0,0
2015-07,42,0,0,10,15
2015-08,40,0,0,9,20
2015-09,43,0,0,7,18
2015-10,35,0,0,0,10
2015-11,36,0,0,8,14
2015-12,38,0,0,5,16
2016-01,31,0,0,8,12
2016-02,32,0,0,4,8
2016-03,28,0,0,4,10
2016-04,22,0,0,7,13
2016-05,29,0,0,6,10
2016-06,28,0,0,4,15
2016-07,30,0,0,4,7
2016-08,25,0,0,4,9
2016-09,25,0,0,4,7
2016-10,22,0,0,4,11
2016-11,22,0,0,5,13
2016-12,21,0,0,5,13
2017-01,20,0,0,4,10
2017-02,21,0,0,4,11
2017-03,18,0,0,7,13
2017-04,14,0,0,7,11
2017-05,16,0,0,4,7
2017-06,22,0,0,3,7
2017-07,16,0,0,4,7
2017-08,16,0,0,4,8
2017-09,18,0,0,4,8
2017-10,17,0,0,4,10
2017-11,16,0,0,4,11
2017-12,18,0,0,5,9
2018-01,19,0,0,5,9
2018-02,21,0,0,5,9
2018-03,20,0,0,5,10
2018-04,18,0,0,5,11
2018-05,19,0,0,4,10
2018-06,21,0,0,3,8
2018-07,18,0,0,4,8
2018-08,22,0,0,4,8
2018-09,14,0,0,3,8
2018-10,14,0,0,2,8
2018-11,14,0,0,2,9
2018-12,14,0,0,3,8
2019-01,14,0,0,3,6
2019-02,14,0,0,4,9
2019-03,14,0,0,4,14
2019-04,14,0,0,4,12
2019-05,15,0,0,4,13
2019-06,14,0,0,3,7
2019-07,14,0,0,4,12
2019-08,17,0,0,4,10
2019-09,14,0,0,4,9
2019-10,14,0,0,4,10
2019-11,13,0,0,3,8
2019-12,12,0,0,3,7
2020-01,16,0,0,3,8
2020-02,11,0,0,3,8
2020-03,15,0,0,3,8
2020-04,18,0,0,4,8
2020-05,15,0,0,4,7
2020-06,16,0,0,3,8
2020-07,17,0,0,4,9
2020-08,16,0,0,4,9
2020-09,18,0,0,4,10
2020-10,16,0,0,4,9
2020-11,12,0,0,3,9
2020-12,14,0,0,3,8
2021-01,13,0,0,4,7
2021-02,13,0,0,4,9
2021-03,13,0,0,4,9
2021-04,11,0,0,4,7
2021-05,10,0,0,4,7
2021-06,13,0,0,4,8
2021-07,13,0,0,4,9
2021-08,12,0,0,4,7
2021-09,11,0,0,4,8
2021-10,10,0,0,4,6
2021-11,8,0,0,4,8
2021-12,10,0,0,5,6
2022-01,11,0,0,6,5
2022-02,10,0,0,5,5
2022-03,9,0,0,5,6
2022-04,9,0,0,5,5
2022-05,9,0,0,5,5
2022-06,9,0,0,5,6
2022-07,10,0,0,6,5
2022-08,9,0,0,7,5
2022-09,9,0,0,7,6
2022-10,8,0,0,7,5
2022-11,8,0,0,6,5
2022-12,8,0,0,5,4
2023-01,8,0,0,6,5
2023-02,8,0,0,6,5
2023-03,8,0,0,7,5
2023-04,7,0,0,6,4
2023-05,7,0,0,7,5
2023-06,10,0,0,8,5
2023-07,8,0,0,8,4
2023-08,8,0,0,9,5
2023-09,7,0,0,9,5
2023-10,9,0,0,8,4
2023-11,8,0,0,7,4
2023-12,8,0,0,7,4
2024-01,8,<1,0,7,4
2024-02,8,0,0,7,5
2024-03,7,0,0,7,5
2024-04,5,0,0,6,4
2024-05,5,0,0,6,4
2024-06,6,<1,0,5,4
2024-07,11,<1,0,5,5
2024-08,8,0,0,6,5
2024-09,6,0,0,9,5
2024-10,6,0,0,7,5
2024-11,5,<1,0,6,5
2024-12,5,<1,0,6,5
2025-01,5,0,0,6,5
2025-02,5,0,0,6,5
2025-03,4,0,0,8,5
2025-04,5,0,0,6,4
2025-05,4,0,0,6,4
2025-06,4,0,0,6,4
2025-07,5,0,0,5,4
2025-08,4,0,0,4,4
2025-09,5,<1,0,5,4
