Category: All categories

Month,voter: (Khulna Division),committee: (Khulna Division),committee: (Khulna Division),minister: (Khulna Division),Email: (Khulna Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,5,31
2012-06,1,1,1,6,37
2012-07,2,1,2,6,35
2012-08,0,0,0,5,34
2012-09,0,0,0,9,27
2012-10,0,0,0,7,29
2012-11,2,0,0,8,28
2012-12,0,0,0,0,27
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,34,75
2015-08,0,0,0,0,100
2015-09,0,0,0,46,86
2015-10,0,0,0,0,49
2015-11,0,0,0,0,70
2015-12,0,0,0,0,78
2016-01,0,0,0,0,59
2016-02,0,0,0,0,38
2016-03,0,0,0,0,47
2016-04,0,0,0,0,64
2016-05,0,0,0,0,49
2016-06,0,0,0,0,73
2016-07,0,0,0,0,33
2016-08,0,0,0,0,44
2016-09,0,0,0,0,34
2016-10,0,0,0,0,51
2016-11,0,0,0,0,66
2016-12,0,0,0,10,65
2017-01,9,0,0,0,50
2017-02,0,0,0,10,56
2017-03,0,0,0,0,64
2017-04,0,0,0,7,55
2017-05,0,0,0,0,36
2017-06,0,0,0,0,35
2017-07,0,0,0,6,33
2017-08,0,0,0,12,37
2017-09,0,0,0,0,39
2017-10,0,0,0,11,50
2017-11,0,0,0,8,55
2017-12,6,0,0,10,44
2018-01,8,0,0,7,42
2018-02,0,0,0,7,45
2018-03,0,0,0,9,48
2018-04,6,0,0,10,52
2018-05,8,0,0,10,48
2018-06,0,0,5,10,38
2018-07,6,0,4,15,41
2018-08,5,0,0,10,41
2018-09,4,3,0,8,40
2018-10,3,3,3,6,40
2018-11,0,4,4,8,46
2018-12,8,0,0,8,38
2019-01,2,0,0,16,32
2019-02,4,0,0,10,45
2019-03,4,0,0,7,70
2019-04,0,0,0,14,58
2019-05,0,0,0,16,61
2019-06,3,0,0,13,35
2019-07,3,0,0,11,57
2019-08,3,0,0,15,49
2019-09,6,0,0,11,46
2019-10,3,2,0,11,49
2019-11,3,2,2,11,39
2019-12,3,0,0,8,34
2020-01,3,0,2,9,40
2020-02,3,0,2,7,39
2020-03,3,0,1,10,37
2020-04,2,0,2,12,41
2020-05,4,1,0,11,37
2020-06,3,0,0,12,39
2020-07,3,0,0,11,43
2020-08,3,1,1,8,44
2020-09,3,0,1,9,47
2020-10,4,1,2,7,44
2020-11,3,2,2,7,44
2020-12,3,2,1,7,37
2021-01,5,2,1,8,34
2021-02,3,2,1,9,42
2021-03,3,0,1,10,44
2021-04,1,2,1,9,36
2021-05,2,0,0,10,36
2021-06,2,1,1,8,39
2021-07,2,0,0,8,44
2021-08,3,1,1,6,34
2021-09,3,1,0,7,37
2021-10,3,1,0,6,32
2021-11,7,0,0,5,37
2021-12,5,0,0,7,32
2022-01,7,2,2,7,25
2022-02,3,1,1,9,26
2022-03,3,1,1,9,30
2022-04,3,0,1,13,25
2022-05,3,1,1,7,23
2022-06,3,1,1,9,28
2022-07,3,1,0,10,24
2022-08,3,1,1,8,27
2022-09,4,1,2,9,31
2022-10,4,1,1,8,24
2022-11,3,1,1,7,24
2022-12,3,1,1,7,21
2023-01,4,1,1,8,23
2023-02,3,1,1,7,24
2023-03,2,1,1,7,24
2023-04,2,0,1,8,21
2023-05,2,1,1,7,25
2023-06,3,1,1,10,22
2023-07,2,0,1,7,21
2023-08,2,1,1,6,24
2023-09,1,1,1,6,24
2023-10,1,1,1,6,20
2023-11,2,1,1,5,21
2023-12,3,1,1,6,21
2024-01,14,1,1,14,21
2024-02,3,1,1,7,24
2024-03,2,1,1,9,25
2024-04,2,1,0,8,19
2024-05,5,1,1,7,22
2024-06,2,1,1,10,19
2024-07,2,1,1,8,22
2024-08,1,1,1,20,24
2024-09,2,1,1,12,25
2024-10,1,1,<1,6,24
2024-11,2,1,1,5,26
2024-12,2,1,1,4,23
2025-01,2,1,1,4,25
2025-02,2,1,1,3,23
2025-03,1,1,1,5,24
2025-04,1,0,0,4,21
2025-05,1,1,1,4,21
2025-06,1,1,1,4,22
2025-07,2,1,1,4,19
2025-08,2,1,<1,3,22
2025-09,2,1,1,7,20
