Category: All categories

Month,সম্পদ: (Rajshahi Division),ঘাটতি: (Rajshahi Division),শিক্ষা: (Rajshahi Division),স্বাস্থ্য: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,75
2015-10,0,0,0,0,43
2015-11,0,0,0,0,64
2015-12,0,0,22,0,63
2016-01,0,0,0,0,41
2016-02,0,0,19,0,30
2016-03,0,0,34,0,32
2016-04,0,0,18,0,44
2016-05,0,0,23,0,29
2016-06,0,0,28,0,43
2016-07,0,0,30,0,44
2016-08,0,0,32,0,34
2016-09,0,0,21,0,20
2016-10,0,0,25,0,30
2016-11,0,0,18,0,33
2016-12,0,0,21,0,27
2017-01,0,0,14,0,32
2017-02,0,0,14,0,27
2017-03,0,0,19,0,27
2017-04,0,0,25,0,26
2017-05,0,0,26,0,22
2017-06,0,0,21,0,19
2017-07,0,0,27,0,25
2017-08,0,0,23,0,25
2017-09,0,0,23,0,27
2017-10,0,0,22,0,27
2017-11,0,0,25,0,31
2017-12,0,0,28,0,30
2018-01,0,0,35,0,28
2018-02,0,0,34,0,35
2018-03,0,0,36,0,32
2018-04,0,0,39,3,32
2018-05,0,0,44,4,23
2018-06,0,0,43,4,19
2018-07,0,0,57,3,27
2018-08,0,0,50,6,22
2018-09,0,0,60,4,26
2018-10,0,0,48,8,23
2018-11,0,0,54,3,30
2018-12,0,0,51,4,29
2019-01,0,0,55,5,17
2019-02,0,0,58,3,23
2019-03,1,0,58,3,22
2019-04,2,0,64,3,22
2019-05,2,0,53,3,22
2019-06,1,0,33,2,13
2019-07,2,0,54,3,16
2019-08,0,0,54,3,20
2019-09,2,0,56,3,20
2019-10,2,0,70,2,20
2019-11,3,0,49,2,22
2019-12,2,0,52,3,16
2020-01,1,0,46,2,19
2020-02,3,0,49,3,20
2020-03,1,0,46,3,23
2020-04,0,0,41,9,27
2020-05,1,0,45,7,30
2020-06,2,0,53,9,32
2020-07,1,0,53,8,35
2020-08,3,0,39,4,34
2020-09,2,0,45,5,35
2020-10,3,0,56,3,32
2020-11,3,0,100,6,31
2020-12,2,0,64,6,29
2021-01,3,0,53,4,26
2021-02,7,0,50,5,26
2021-03,2,0,83,4,24
2021-04,2,0,50,5,23
2021-05,2,0,42,3,22
2021-06,1,0,63,4,23
2021-07,2,0,43,7,20
2021-08,2,0,64,8,20
2021-09,2,0,72,6,20
2021-10,2,0,50,6,17
2021-11,2,0,42,4,19
2021-12,2,0,37,3,16
2022-01,2,0,50,4,19
2022-02,2,0,52,3,18
2022-03,3,0,53,5,23
2022-04,2,0,62,5,20
2022-05,2,0,39,4,20
2022-06,4,0,57,4,21
2022-07,2,<1,47,4,16
2022-08,2,<1,46,4,21
2022-09,2,0,46,7,23
2022-10,3,0,39,4,20
2022-11,3,0,39,4,21
2022-12,2,0,43,4,14
2023-01,2,0,45,4,15
2023-02,2,0,47,5,17
2023-03,2,0,47,5,19
2023-04,2,0,39,4,15
2023-05,3,0,50,6,19
2023-06,4,<1,47,8,19
2023-07,2,0,52,6,17
2023-08,3,0,54,7,20
2023-09,2,<1,42,5,17
2023-10,2,<1,39,5,16
2023-11,4,0,45,11,18
2023-12,2,0,38,4,17
2024-01,2,0,46,9,16
2024-02,2,0,45,11,18
2024-03,3,0,45,10,17
2024-04,2,0,37,6,14
2024-05,3,0,46,14,17
2024-06,3,<1,38,9,14
2024-07,3,<1,49,12,16
2024-08,2,<1,41,4,18
2024-09,4,0,37,6,19
2024-10,3,0,34,7,19
2024-11,6,1,37,5,17
2024-12,4,0,36,6,17
2025-01,2,<1,32,4,17
2025-02,3,0,33,4,16
2025-03,2,0,32,4,16
2025-04,2,<1,30,4,15
2025-05,2,0,35,5,15
2025-06,2,0,23,3,15
2025-07,2,1,44,3,14
2025-08,2,1,36,4,14
2025-09,2,<1,37,4,13
