Category: All categories

Month,ভোটার: (Rajshahi Division),কমিটি: (Rajshahi Division),পরিষদ: (Rajshahi Division),মন্ত্রী: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,100
2015-10,0,0,0,0,57
2015-11,0,0,0,0,86
2015-12,0,0,0,0,84
2016-01,0,0,0,0,55
2016-02,0,0,0,0,40
2016-03,0,0,0,0,43
2016-04,0,0,0,0,59
2016-05,0,0,0,0,39
2016-06,0,0,0,0,57
2016-07,0,0,0,0,59
2016-08,0,0,0,0,46
2016-09,0,0,0,0,27
2016-10,0,0,0,0,40
2016-11,0,0,0,0,44
2016-12,0,0,0,0,36
2017-01,0,0,0,0,43
2017-02,0,0,0,0,37
2017-03,0,0,0,0,37
2017-04,0,0,0,0,34
2017-05,0,0,0,0,30
2017-06,0,0,0,0,25
2017-07,0,0,0,0,33
2017-08,0,0,0,0,33
2017-09,0,0,0,0,36
2017-10,0,0,0,0,36
2017-11,0,0,0,0,42
2017-12,0,0,0,0,40
2018-01,5,0,0,0,37
2018-02,0,0,0,0,47
2018-03,5,0,5,0,43
2018-04,0,0,0,0,43
2018-05,0,0,0,0,31
2018-06,0,0,0,0,26
2018-07,5,0,0,0,36
2018-08,6,0,4,0,30
2018-09,4,0,0,0,35
2018-10,7,0,0,0,31
2018-11,6,0,4,0,40
2018-12,10,0,4,0,39
2019-01,3,2,5,9,23
2019-02,3,0,7,3,31
2019-03,3,0,5,3,30
2019-04,3,2,3,3,29
2019-05,4,2,2,2,29
2019-06,3,2,2,2,18
2019-07,3,1,3,2,21
2019-08,2,0,3,2,27
2019-09,5,4,5,3,26
2019-10,5,2,4,3,26
2019-11,2,2,2,2,29
2019-12,3,3,3,3,21
2020-01,5,2,3,2,25
2020-02,4,2,3,3,27
2020-03,4,2,4,2,30
2020-04,6,2,4,2,37
2020-05,11,3,2,3,40
2020-06,6,2,4,5,43
2020-07,5,3,3,2,47
2020-08,5,2,4,1,46
2020-09,5,3,4,2,46
2020-10,8,3,5,1,43
2020-11,4,3,5,2,41
2020-12,7,3,5,3,39
2021-01,8,3,9,2,35
2021-02,9,2,6,1,34
2021-03,6,3,6,3,32
2021-04,3,2,4,3,31
2021-05,3,2,3,3,29
2021-06,4,2,7,2,30
2021-07,3,2,3,2,27
2021-08,6,2,6,1,27
2021-09,6,2,11,2,26
2021-10,6,2,13,3,23
2021-11,15,2,17,2,25
2021-12,14,2,10,3,21
2022-01,16,2,7,3,25
2022-02,8,2,5,2,24
2022-03,7,3,5,3,31
2022-04,7,3,5,3,27
2022-05,6,3,4,2,26
2022-06,7,2,5,3,28
2022-07,7,2,4,2,21
2022-08,9,2,5,3,28
2022-09,9,4,7,2,30
2022-10,7,2,7,2,26
2022-11,6,2,4,2,28
2022-12,6,2,3,2,19
2023-01,7,2,4,2,20
2023-02,6,3,5,3,23
2023-03,4,3,4,2,25
2023-04,3,2,3,2,20
2023-05,4,3,6,2,25
2023-06,5,2,4,2,26
2023-07,4,2,4,2,23
2023-08,4,2,4,2,27
2023-09,3,2,4,2,23
2023-10,3,2,6,2,22
2023-11,3,2,4,2,24
2023-12,6,2,4,2,23
2024-01,19,1,6,15,21
2024-02,4,2,5,4,24
2024-03,4,2,5,4,23
2024-04,3,2,6,3,19
2024-05,9,3,9,3,22
2024-06,4,2,5,3,19
2024-07,3,3,4,3,21
2024-08,3,5,4,6,23
2024-09,3,5,5,2,25
2024-10,4,3,5,1,25
2024-11,3,4,3,1,23
2024-12,5,4,5,0,23
2025-01,8,3,4,1,22
2025-02,7,4,4,1,21
2025-03,6,3,3,1,21
2025-04,5,2,4,1,20
2025-05,4,2,5,1,20
2025-06,3,2,3,1,20
2025-07,4,3,4,1,18
2025-08,6,3,5,1,19
2025-09,6,5,6,1,17
