Category: All categories

Month,teacher: (Rajshahi Division),lawyer: (Rajshahi Division),businessman: (Rajshahi Division),professor: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,100,0,0,0,0
2015-09,0,0,0,0,89
2015-10,74,0,0,0,51
2015-11,40,0,0,0,76
2015-12,54,0,0,26,75
2016-01,46,0,0,0,49
2016-02,32,0,0,0,35
2016-03,27,0,0,0,38
2016-04,29,0,0,0,52
2016-05,39,0,0,0,34
2016-06,43,0,0,0,50
2016-07,31,0,0,0,52
2016-08,35,0,0,0,41
2016-09,41,0,0,0,24
2016-10,36,0,0,0,35
2016-11,34,0,0,9,39
2016-12,27,0,0,0,32
2017-01,31,0,0,0,38
2017-02,42,0,0,0,32
2017-03,28,0,0,0,32
2017-04,30,0,0,8,30
2017-05,44,0,0,0,26
2017-06,34,0,0,0,22
2017-07,42,0,0,0,30
2017-08,34,0,0,0,29
2017-09,41,0,0,0,32
2017-10,40,0,0,0,32
2017-11,33,0,0,5,37
2017-12,31,0,0,5,35
2018-01,26,0,0,6,33
2018-02,35,0,0,5,42
2018-03,34,0,0,0,38
2018-04,33,0,0,0,38
2018-05,48,0,0,4,27
2018-06,32,0,0,0,23
2018-07,56,0,0,0,32
2018-08,41,0,0,4,26
2018-09,45,0,0,6,31
2018-10,33,4,0,5,27
2018-11,32,6,0,3,36
2018-12,28,0,0,0,35
2019-01,43,3,0,3,20
2019-02,35,2,0,3,27
2019-03,39,2,0,2,26
2019-04,44,2,0,4,26
2019-05,50,3,0,2,26
2019-06,41,2,0,2,16
2019-07,36,2,0,3,19
2019-08,39,2,0,3,24
2019-09,50,4,0,3,23
2019-10,33,3,0,2,23
2019-11,34,2,0,2,26
2019-12,31,3,0,2,19
2020-01,34,3,0,2,22
2020-02,33,4,0,2,24
2020-03,29,3,0,3,27
2020-04,17,3,0,6,33
2020-05,20,4,0,5,35
2020-06,22,3,0,3,38
2020-07,23,3,0,4,42
2020-08,24,3,0,3,41
2020-09,26,4,0,5,41
2020-10,24,3,0,4,38
2020-11,26,3,0,3,37
2020-12,23,3,0,4,34
2021-01,23,3,0,3,31
2021-02,23,4,0,4,31
2021-03,21,4,0,3,29
2021-04,17,4,0,4,27
2021-05,18,4,0,4,26
2021-06,21,4,0,3,27
2021-07,18,3,0,3,24
2021-08,19,4,0,4,24
2021-09,23,4,0,3,23
2021-10,25,3,0,3,21
2021-11,28,3,1,2,23
2021-12,29,3,0,3,19
2022-01,25,3,1,3,22
2022-02,24,2,1,3,22
2022-03,26,2,<1,3,27
2022-04,24,2,<1,2,24
2022-05,27,2,0,3,23
2022-06,27,3,1,3,25
2022-07,22,3,1,3,19
2022-08,24,3,<1,3,25
2022-09,21,2,1,3,27
2022-10,22,2,0,3,24
2022-11,20,1,<1,2,25
2022-12,21,1,0,2,17
2023-01,25,1,1,3,18
2023-02,22,1,<1,3,21
2023-03,21,1,0,3,22
2023-04,28,1,0,2,18
2023-05,23,1,1,3,23
2023-06,23,1,1,2,23
2023-07,23,1,1,3,20
2023-08,25,1,0,3,24
2023-09,21,1,<1,3,21
2023-10,20,1,0,3,19
2023-11,24,1,0,3,22
2023-12,25,1,<1,3,20
2024-01,24,1,1,3,18
2024-02,21,1,0,3,21
2024-03,18,1,0,2,21
2024-04,17,1,<1,2,17
2024-05,22,1,0,2,20
2024-06,18,1,0,3,17
2024-07,19,1,0,2,19
2024-08,18,1,0,3,21
2024-09,23,1,<1,2,22
2024-10,22,1,<1,3,22
2024-11,23,1,1,3,21
2024-12,25,1,0,2,20
2025-01,22,1,0,3,20
2025-02,24,1,0,4,19
2025-03,17,1,0,3,19
2025-04,21,1,0,2,18
2025-05,19,1,0,3,18
2025-06,19,1,1,3,18
2025-07,19,1,<1,3,16
2025-08,18,<1,<1,3,17
2025-09,21,1,<1,3,15
