Category: All categories

Month,contract: (Rajshahi Division),smuggle: (Rajshahi Division),smuggler: (Rajshahi Division),business: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,70,0
2015-08,0,0,0,58,0
2015-09,0,0,0,0,100
2015-10,0,0,0,0,57
2015-11,0,0,0,43,86
2015-12,0,0,0,37,84
2016-01,0,0,0,30,55
2016-02,0,0,0,43,40
2016-03,0,0,0,52,43
2016-04,0,0,0,43,59
2016-05,0,0,0,40,39
2016-06,16,0,0,43,57
2016-07,0,0,0,32,59
2016-08,0,0,0,37,46
2016-09,0,0,0,21,27
2016-10,0,0,0,32,40
2016-11,0,0,0,36,44
2016-12,0,0,0,34,36
2017-01,0,0,0,29,43
2017-02,0,0,0,34,37
2017-03,0,0,0,35,37
2017-04,0,0,0,31,34
2017-05,0,0,0,35,30
2017-06,0,0,0,15,25
2017-07,0,0,0,27,33
2017-08,0,0,0,21,33
2017-09,0,0,0,25,36
2017-10,0,0,0,28,36
2017-11,0,0,0,19,42
2017-12,0,0,0,34,40
2018-01,0,0,0,22,37
2018-02,0,0,0,33,47
2018-03,0,0,0,32,43
2018-04,5,0,0,27,43
2018-05,0,0,0,31,31
2018-06,0,0,0,22,26
2018-07,0,0,0,23,36
2018-08,4,0,0,21,30
2018-09,0,0,0,29,35
2018-10,0,0,0,29,31
2018-11,3,0,0,35,40
2018-12,0,0,0,30,39
2019-01,2,0,0,18,23
2019-02,2,0,0,24,31
2019-03,3,0,0,23,30
2019-04,1,0,0,24,29
2019-05,0,0,0,20,29
2019-06,2,0,0,17,18
2019-07,2,0,0,18,21
2019-08,2,0,0,18,27
2019-09,2,0,0,19,26
2019-10,2,0,0,18,26
2019-11,2,0,0,22,29
2019-12,2,0,0,19,21
2020-01,2,0,0,17,25
2020-02,2,0,0,20,27
2020-03,2,0,0,19,30
2020-04,2,0,0,23,37
2020-05,2,0,0,26,40
2020-06,3,0,0,28,43
2020-07,2,0,0,31,47
2020-08,3,0,0,31,46
2020-09,2,0,0,32,46
2020-10,3,0,0,31,43
2020-11,4,0,0,30,41
2020-12,2,0,0,29,39
2021-01,3,0,0,28,35
2021-02,3,0,0,26,34
2021-03,6,0,0,24,32
2021-04,5,0,0,25,31
2021-05,4,0,0,27,29
2021-06,4,0,0,26,30
2021-07,4,0,0,26,27
2021-08,3,0,0,32,27
2021-09,4,0,0,29,26
2021-10,2,0,0,20,23
2021-11,2,0,0,21,25
2021-12,3,0,0,21,21
2022-01,3,0,0,26,25
2022-02,4,0,0,30,24
2022-03,3,0,0,33,31
2022-04,3,0,0,25,27
2022-05,3,0,0,21,26
2022-06,3,0,0,24,28
2022-07,3,0,0,20,21
2022-08,3,0,0,27,28
2022-09,2,0,0,27,30
2022-10,3,0,0,25,26
2022-11,2,0,0,23,28
2022-12,2,0,0,22,19
2023-01,3,0,0,27,20
2023-02,3,0,0,26,23
2023-03,2,0,0,27,25
2023-04,2,0,0,29,20
2023-05,3,0,0,27,25
2023-06,3,0,0,24,26
2023-07,3,0,0,27,23
2023-08,2,0,0,30,27
2023-09,2,0,0,28,23
2023-10,2,0,0,24,22
2023-11,2,0,0,26,24
2023-12,3,0,0,30,23
2024-01,3,0,0,32,21
2024-02,3,0,0,30,24
2024-03,3,0,0,29,23
2024-04,2,0,0,22,19
2024-05,3,0,0,26,22
2024-06,2,0,0,23,19
2024-07,2,0,0,23,21
2024-08,2,0,0,25,23
2024-09,3,0,0,28,25
2024-10,2,0,0,29,25
2024-11,2,0,0,30,23
2024-12,1,0,0,27,23
2025-01,2,0,0,26,22
2025-02,1,0,0,28,21
2025-03,2,0,0,27,21
2025-04,2,0,0,27,20
2025-05,2,0,0,26,20
2025-06,2,0,0,23,20
2025-07,2,0,0,27,18
2025-08,2,0,0,26,19
2025-09,2,0,0,25,17
