Category: All categories

Month,money: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,0,0
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,0,0
2010-03,0,0
2010-04,0,0
2010-05,0,0
2010-06,0,0
2010-07,0,0
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,0,0
2011-02,0,0
2011-03,0,0
2011-04,0,0
2011-05,0,0
2011-06,0,0
2011-07,0,0
2011-08,0,0
2011-09,0,0
2011-10,0,0
2011-11,0,0
2011-12,0,0
2012-01,0,0
2012-02,0,0
2012-03,0,0
2012-04,0,0
2012-05,0,0
2012-06,0,0
2012-07,0,0
2012-08,0,0
2012-09,0,0
2012-10,0,0
2012-11,0,0
2012-12,0,0
2013-01,0,0
2013-02,0,0
2013-03,0,0
2013-04,0,0
2013-05,0,0
2013-06,0,0
2013-07,0,0
2013-08,0,0
2013-09,0,0
2013-10,0,0
2013-11,0,0
2013-12,0,0
2014-01,0,0
2014-02,0,0
2014-03,0,0
2014-04,0,0
2014-05,0,0
2014-06,0,0
2014-07,0,0
2014-08,0,0
2014-09,0,0
2014-10,0,0
2014-11,0,0
2014-12,0,0
2015-01,0,0
2015-02,0,0
2015-03,0,0
2015-04,0,0
2015-05,0,0
2015-06,0,0
2015-07,0,0
2015-08,0,0
2015-09,0,100
2015-10,0,57
2015-11,56,86
2015-12,43,84
2016-01,32,55
2016-02,22,40
2016-03,27,43
2016-04,34,59
2016-05,37,39
2016-06,47,57
2016-07,29,59
2016-08,32,46
2016-09,42,27
2016-10,30,40
2016-11,26,44
2016-12,30,36
2017-01,43,43
2017-02,40,37
2017-03,25,37
2017-04,37,34
2017-05,26,30
2017-06,27,25
2017-07,24,33
2017-08,28,33
2017-09,32,36
2017-10,37,36
2017-11,34,42
2017-12,36,40
2018-01,46,37
2018-02,39,47
2018-03,50,43
2018-04,50,43
2018-05,46,31
2018-06,44,26
2018-07,38,36
2018-08,37,30
2018-09,30,35
2018-10,30,31
2018-11,31,40
2018-12,26,39
2019-01,20,23
2019-02,25,31
2019-03,21,30
2019-04,23,29
2019-05,21,29
2019-06,19,18
2019-07,22,21
2019-08,23,27
2019-09,21,26
2019-10,25,26
2019-11,23,29
2019-12,26,21
2020-01,25,25
2020-02,27,27
2020-03,27,30
2020-04,68,37
2020-05,53,40
2020-06,42,43
2020-07,43,47
2020-08,37,46
2020-09,38,46
2020-10,37,43
2020-11,33,41
2020-12,31,39
2021-01,29,35
2021-02,28,34
2021-03,31,32
2021-04,37,31
2021-05,39,29
2021-06,33,30
2021-07,40,27
2021-08,35,27
2021-09,33,26
2021-10,23,23
2021-11,22,25
2021-12,29,21
2022-01,29,25
2022-02,31,24
2022-03,30,31
2022-04,30,27
2022-05,29,26
2022-06,34,28
2022-07,37,21
2022-08,38,28
2022-09,39,30
2022-10,38,26
2022-11,32,28
2022-12,37,19
2023-01,36,20
2023-02,35,23
2023-03,35,25
2023-04,32,20
2023-05,30,25
2023-06,33,26
2023-07,37,23
2023-08,53,27
2023-09,34,23
2023-10,31,22
2023-11,30,24
2023-12,35,23
2024-01,36,21
2024-02,33,24
2024-03,32,23
2024-04,27,19
2024-05,28,22
2024-06,29,19
2024-07,32,21
2024-08,37,23
2024-09,33,25
2024-10,34,25
2024-11,28,23
2024-12,28,23
2025-01,28,22
2025-02,23,21
2025-03,27,21
2025-04,20,20
2025-05,21,20
2025-06,21,20
2025-07,22,18
2025-08,22,19
2025-09,19,17
