Category: All categories

Month,currency: (Rajshahi Division),labour market: (Rajshahi Division),market: (Rajshahi Division),exchange rate: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,51,0
2015-09,0,0,0,0,100
2015-10,0,0,68,0,57
2015-11,0,0,29,0,86
2015-12,0,0,0,0,84
2016-01,0,0,0,0,55
2016-02,22,0,0,0,40
2016-03,0,0,34,0,43
2016-04,0,16,24,0,59
2016-05,0,0,27,0,39
2016-06,0,0,43,0,57
2016-07,0,0,34,0,59
2016-08,0,0,27,0,46
2016-09,0,0,24,0,27
2016-10,0,0,31,0,40
2016-11,10,0,19,0,44
2016-12,14,0,32,0,36
2017-01,11,0,41,0,43
2017-02,9,0,47,0,37
2017-03,0,0,30,0,37
2017-04,7,0,38,0,34
2017-05,0,0,40,0,30
2017-06,0,0,28,0,25
2017-07,7,0,36,0,33
2017-08,8,0,23,0,33
2017-09,0,0,44,7,36
2017-10,8,0,36,0,36
2017-11,5,0,34,0,42
2017-12,10,0,36,0,40
2018-01,12,0,42,0,37
2018-02,9,0,42,0,47
2018-03,9,0,40,0,43
2018-04,8,0,50,5,43
2018-05,13,0,42,7,31
2018-06,11,0,31,6,26
2018-07,10,0,48,4,36
2018-08,16,0,42,0,30
2018-09,11,0,42,0,35
2018-10,9,0,42,5,31
2018-11,9,0,47,4,40
2018-12,9,0,38,3,39
2019-01,8,0,38,3,23
2019-02,7,0,44,0,31
2019-03,5,0,33,2,30
2019-04,7,0,28,2,29
2019-05,7,0,26,2,29
2019-06,6,0,24,1,18
2019-07,6,0,29,1,21
2019-08,11,1,30,0,27
2019-09,7,0,27,2,26
2019-10,7,0,26,2,26
2019-11,7,0,25,1,29
2019-12,8,0,27,1,21
2020-01,6,0,25,1,25
2020-02,6,0,28,1,27
2020-03,8,0,25,2,30
2020-04,12,0,27,4,37
2020-05,11,0,31,3,40
2020-06,11,0,38,3,43
2020-07,10,0,40,3,47
2020-08,8,0,38,2,46
2020-09,8,0,45,2,46
2020-10,8,0,42,2,43
2020-11,8,0,39,1,41
2020-12,9,0,44,2,39
2021-01,9,0,48,2,35
2021-02,8,0,44,1,34
2021-03,8,0,32,0,32
2021-04,7,0,35,1,31
2021-05,8,0,42,2,29
2021-06,8,0,39,0,30
2021-07,7,0,31,0,27
2021-08,7,0,36,1,27
2021-09,6,0,39,0,26
2021-10,6,0,33,1,23
2021-11,5,0,27,1,25
2021-12,6,0,28,1,21
2022-01,8,0,31,2,25
2022-02,10,0,30,1,24
2022-03,11,0,32,1,31
2022-04,9,0,26,1,27
2022-05,11,0,24,2,26
2022-06,10,0,30,2,28
2022-07,12,0,27,2,21
2022-08,14,0,29,3,28
2022-09,14,0,30,2,30
2022-10,13,0,24,2,26
2022-11,11,0,18,2,28
2022-12,10,0,19,2,19
2023-01,11,0,21,2,20
2023-02,12,0,22,2,23
2023-03,12,0,21,2,25
2023-04,11,0,20,1,20
2023-05,12,0,22,2,25
2023-06,11,0,22,1,26
2023-07,13,0,22,2,23
2023-08,13,0,20,2,27
2023-09,11,0,17,1,23
2023-10,11,0,16,2,22
2023-11,11,0,15,1,24
2023-12,12,0,18,2,23
2024-01,12,0,20,1,21
2024-02,12,0,20,1,24
2024-03,10,0,20,1,23
2024-04,10,0,18,1,19
2024-05,10,0,19,2,22
2024-06,9,0,21,1,19
2024-07,10,0,18,1,21
2024-08,9,0,21,2,23
2024-09,11,0,32,2,25
2024-10,11,0,27,1,25
2024-11,9,0,26,1,23
2024-12,10,0,22,1,23
2025-01,8,0,20,1,22
2025-02,8,0,16,1,21
2025-03,9,0,19,1,21
2025-04,8,0,16,1,20
2025-05,8,0,16,1,20
2025-06,9,0,16,0,20
2025-07,9,0,15,1,18
2025-08,9,0,15,1,19
2025-09,8,0,15,1,17
