Category: All categories

Month,tax: (Rajshahi Division),taxes: (Rajshahi Division),good: (Rajshahi Division),good: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,51,0
2015-09,0,0,0,0,100
2015-10,0,0,0,52,57
2015-11,0,0,0,0,86
2015-12,0,0,42,49,84
2016-01,0,0,43,46,55
2016-02,0,0,52,49,40
2016-03,0,0,32,29,43
2016-04,14,0,45,33,59
2016-05,0,0,39,46,39
2016-06,0,0,40,45,57
2016-07,14,0,35,36,59
2016-08,17,0,43,45,46
2016-09,0,0,42,38,27
2016-10,14,0,39,42,40
2016-11,28,0,39,36,44
2016-12,12,0,44,51,36
2017-01,12,0,33,27,43
2017-02,0,0,34,34,37
2017-03,10,0,33,35,37
2017-04,9,0,29,25,34
2017-05,0,0,37,37,30
2017-06,0,0,28,32,25
2017-07,9,0,37,39,33
2017-08,7,0,42,39,33
2017-09,0,0,48,46,36
2017-10,9,0,46,44,36
2017-11,15,0,50,49,42
2017-12,8,0,39,38,40
2018-01,9,0,50,47,37
2018-02,5,0,42,42,47
2018-03,5,0,45,46,43
2018-04,8,0,44,39,43
2018-05,0,0,43,40,31
2018-06,8,0,31,30,26
2018-07,9,0,44,43,36
2018-08,7,0,40,42,30
2018-09,9,0,40,39,35
2018-10,11,0,44,44,31
2018-11,20,0,46,46,40
2018-12,8,0,37,37,39
2019-01,6,0,33,33,23
2019-02,6,0,30,30,31
2019-03,5,0,32,31,30
2019-04,7,0,34,35,29
2019-05,3,0,26,26,29
2019-06,4,0,23,23,18
2019-07,5,0,27,27,21
2019-08,5,0,29,30,27
2019-09,9,0,31,31,26
2019-10,9,0,29,29,26
2019-11,13,0,31,32,29
2019-12,7,0,31,31,21
2020-01,5,0,34,34,25
2020-02,6,0,32,32,27
2020-03,4,0,34,33,30
2020-04,4,0,51,51,37
2020-05,4,0,41,40,40
2020-06,8,0,48,47,43
2020-07,8,0,49,49,47
2020-08,7,0,44,44,46
2020-09,10,0,44,45,46
2020-10,11,0,40,40,43
2020-11,19,0,44,44,41
2020-12,7,0,42,43,39
2021-01,6,0,41,41,35
2021-02,5,0,34,34,34
2021-03,6,0,36,36,32
2021-04,4,0,33,33,31
2021-05,6,0,36,38,29
2021-06,9,0,41,41,30
2021-07,7,0,35,35,27
2021-08,8,0,37,37,27
2021-09,6,0,35,34,26
2021-10,8,0,33,33,23
2021-11,15,0,32,33,25
2021-12,6,0,32,33,21
2022-01,7,0,36,36,25
2022-02,7,1,35,35,24
2022-03,10,0,38,38,31
2022-04,6,0,30,30,27
2022-05,6,0,32,32,26
2022-06,7,0,32,32,28
2022-07,9,0,32,32,21
2022-08,9,1,33,33,28
2022-09,8,1,35,35,30
2022-10,8,0,36,36,26
2022-11,15,0,33,33,28
2022-12,8,0,28,28,19
2023-01,8,1,31,31,20
2023-02,8,1,31,32,23
2023-03,8,1,31,30,25
2023-04,8,0,28,28,20
2023-05,10,0,32,31,25
2023-06,9,0,28,28,26
2023-07,12,0,30,30,23
2023-08,11,0,30,30,27
2023-09,10,0,26,26,23
2023-10,11,0,26,26,22
2023-11,18,0,29,28,24
2023-12,11,0,30,30,23
2024-01,13,0,29,29,21
2024-02,11,0,27,27,24
2024-03,9,0,24,24,23
2024-04,11,0,22,22,19
2024-05,11,0,23,24,22
2024-06,11,0,24,24,19
2024-07,13,0,23,23,21
2024-08,11,0,24,24,23
2024-09,12,0,24,24,25
2024-10,13,0,24,24,25
2024-11,18,0,26,26,23
2024-12,15,0,24,24,23
2025-01,12,0,23,24,22
2025-02,10,0,22,22,21
2025-03,7,0,21,21,21
2025-04,7,0,20,20,20
2025-05,8,0,25,25,20
2025-06,7,0,27,27,20
2025-07,11,0,25,25,18
2025-08,13,0,24,24,19
2025-09,12,<1,24,23,17
