Category: All categories

Month,summer: (Rajshahi Division),winter: (Rajshahi Division),winter: (Rajshahi Division),autumn: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,100
2015-10,0,0,0,0,57
2015-11,0,0,0,0,86
2015-12,0,0,0,0,84
2016-01,0,0,0,0,55
2016-02,0,0,0,0,40
2016-03,0,0,0,0,43
2016-04,13,0,0,0,59
2016-05,0,0,0,0,39
2016-06,0,0,0,0,57
2016-07,0,0,0,0,59
2016-08,0,0,0,0,46
2016-09,14,0,0,0,27
2016-10,0,0,0,0,40
2016-11,0,17,20,0,44
2016-12,0,15,10,0,36
2017-01,0,12,0,0,43
2017-02,0,0,0,0,37
2017-03,0,0,0,0,37
2017-04,10,0,0,0,34
2017-05,10,0,0,0,30
2017-06,0,0,0,0,25
2017-07,9,0,0,0,33
2017-08,7,0,0,0,33
2017-09,0,0,0,0,36
2017-10,0,7,10,0,36
2017-11,0,12,14,0,42
2017-12,5,15,15,0,40
2018-01,9,15,16,0,37
2018-02,0,11,10,0,47
2018-03,7,5,6,0,43
2018-04,8,0,0,0,43
2018-05,6,0,0,0,31
2018-06,0,0,0,0,26
2018-07,10,0,0,0,36
2018-08,8,5,5,0,30
2018-09,8,4,3,0,35
2018-10,5,8,8,0,31
2018-11,6,11,11,0,40
2018-12,0,12,13,0,39
2019-01,5,6,7,0,23
2019-02,4,4,5,0,31
2019-03,6,2,2,0,30
2019-04,5,3,2,0,29
2019-05,7,3,2,0,29
2019-06,5,2,2,0,18
2019-07,5,2,2,0,21
2019-08,6,3,3,0,27
2019-09,8,3,3,0,26
2019-10,12,5,6,0,26
2019-11,10,8,8,0,29
2019-12,6,15,16,1,21
2020-01,4,8,8,0,25
2020-02,5,4,4,0,27
2020-03,6,2,3,0,30
2020-04,10,4,3,0,37
2020-05,8,3,4,0,40
2020-06,10,3,4,0,43
2020-07,10,4,3,0,47
2020-08,8,4,4,1,46
2020-09,6,4,6,2,46
2020-10,6,6,6,0,43
2020-11,6,18,18,0,41
2020-12,6,17,17,0,39
2021-01,6,12,12,0,35
2021-02,7,5,5,0,34
2021-03,7,6,6,0,32
2021-04,7,11,11,0,31
2021-05,7,4,4,0,29
2021-06,8,5,5,1,30
2021-07,9,4,4,1,27
2021-08,8,3,3,1,27
2021-09,6,5,5,1,26
2021-10,5,7,7,1,23
2021-11,4,13,13,1,25
2021-12,7,9,9,0,21
2022-01,6,9,9,1,25
2022-02,5,6,6,1,24
2022-03,6,4,4,1,31
2022-04,6,3,3,1,27
2022-05,6,3,3,1,26
2022-06,6,3,4,1,28
2022-07,6,3,3,0,21
2022-08,6,3,3,1,28
2022-09,5,4,4,1,30
2022-10,4,7,7,1,26
2022-11,4,12,12,<1,28
2022-12,3,11,11,0,19
2023-01,4,12,12,1,20
2023-02,4,4,4,1,23
2023-03,4,2,2,0,25
2023-04,6,3,3,0,20
2023-05,6,3,3,1,25
2023-06,7,2,2,1,26
2023-07,7,2,3,1,23
2023-08,5,2,3,1,27
2023-09,4,3,3,1,23
2023-10,3,4,5,1,22
2023-11,3,10,11,1,24
2023-12,4,13,14,0,23
2024-01,4,12,12,1,21
2024-02,5,4,4,1,24
2024-03,4,3,3,1,23
2024-04,7,2,2,0,19
2024-05,6,2,2,0,22
2024-06,5,2,1,1,19
2024-07,12,2,2,1,21
2024-08,10,2,2,<1,23
2024-09,5,4,4,1,25
2024-10,4,6,6,1,25
2024-11,4,12,12,1,23
2024-12,4,14,14,1,23
2025-01,3,8,8,0,22
2025-02,4,3,3,1,21
2025-03,5,3,3,0,21
2025-04,5,3,3,<1,20
2025-05,6,3,3,0,20
2025-06,6,2,3,1,20
2025-07,7,2,2,0,18
2025-08,9,4,4,1,19
2025-09,6,3,3,1,17
