Category: All categories

Month,cotton: (Rajshahi Division),date: (Rajshahi Division),dates: (Rajshahi Division),vegetables: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,60,0,0,0
2015-08,0,83,0,0,0
2015-09,0,0,0,0,83
2015-10,0,100,0,0,47
2015-11,0,66,0,0,71
2015-12,0,54,0,0,70
2016-01,0,36,0,0,46
2016-02,0,46,0,0,33
2016-03,0,38,0,0,36
2016-04,0,47,0,0,49
2016-05,13,40,0,0,32
2016-06,0,43,0,0,47
2016-07,0,45,0,0,49
2016-08,0,41,0,0,38
2016-09,0,41,0,0,23
2016-10,0,33,0,0,33
2016-11,0,40,0,0,37
2016-12,0,35,0,0,30
2017-01,0,53,0,0,36
2017-02,0,40,0,0,30
2017-03,0,32,0,0,31
2017-04,0,39,0,0,28
2017-05,0,47,0,0,25
2017-06,0,41,0,0,21
2017-07,0,44,0,0,28
2017-08,0,44,0,0,27
2017-09,0,39,0,0,30
2017-10,0,52,0,0,30
2017-11,0,46,0,0,35
2017-12,0,51,0,5,33
2018-01,0,49,0,0,31
2018-02,5,40,0,0,39
2018-03,0,38,4,0,36
2018-04,0,38,0,0,36
2018-05,0,56,4,0,26
2018-06,0,47,5,0,22
2018-07,4,47,4,0,30
2018-08,3,44,0,0,25
2018-09,0,59,5,0,29
2018-10,0,67,3,0,26
2018-11,0,50,0,0,33
2018-12,0,58,3,0,32
2019-01,2,36,1,0,19
2019-02,2,38,2,0,25
2019-03,3,37,1,0,25
2019-04,2,43,2,1,25
2019-05,3,68,0,0,24
2019-06,1,37,2,0,15
2019-07,2,46,1,0,18
2019-08,2,51,0,0,22
2019-09,2,64,1,1,22
2019-10,2,65,2,1,22
2019-11,2,52,1,1,24
2019-12,2,91,0,0,18
2020-01,2,34,1,1,21
2020-02,2,37,1,1,22
2020-03,3,34,1,0,25
2020-04,3,59,0,2,31
2020-05,3,79,3,2,33
2020-06,4,51,2,1,36
2020-07,3,48,1,2,39
2020-08,3,46,0,0,38
2020-09,4,43,2,1,39
2020-10,4,40,2,0,35
2020-11,4,44,2,2,35
2020-12,3,44,1,1,32
2021-01,3,56,1,1,29
2021-02,3,53,1,0,29
2021-03,3,53,2,1,27
2021-04,4,45,3,0,26
2021-05,3,52,2,1,25
2021-06,3,51,2,1,25
2021-07,3,49,2,1,22
2021-08,4,50,2,1,23
2021-09,3,52,2,0,22
2021-10,3,43,2,1,19
2021-11,2,38,1,1,21
2021-12,2,48,1,1,18
2022-01,3,53,1,1,21
2022-02,3,68,1,1,20
2022-03,4,55,2,1,25
2022-04,4,62,2,1,22
2022-05,4,57,1,1,22
2022-06,4,61,1,<1,23
2022-07,3,56,1,1,18
2022-08,4,49,1,1,23
2022-09,3,50,1,<1,25
2022-10,2,49,1,1,22
2022-11,2,54,1,1,23
2022-12,2,57,2,1,16
2023-01,2,59,1,1,17
2023-02,2,66,1,1,19
2023-03,2,54,2,1,21
2023-04,3,57,1,0,17
2023-05,2,63,1,1,21
2023-06,2,59,1,1,22
2023-07,2,61,1,1,19
2023-08,2,53,1,1,22
2023-09,1,51,1,1,19
2023-10,2,50,1,1,18
2023-11,2,54,1,1,20
2023-12,2,58,1,1,19
2024-01,2,66,1,1,17
2024-02,2,60,2,1,20
2024-03,2,57,3,1,19
2024-04,2,54,1,<1,16
2024-05,2,64,1,1,18
2024-06,2,54,1,1,16
2024-07,2,55,1,1,18
2024-08,1,50,1,<1,20
2024-09,2,67,1,1,21
2024-10,2,61,1,1,21
2024-11,1,52,1,1,19
2024-12,2,53,1,1,19
2025-01,1,62,1,1,18
2025-02,2,55,1,1,18
2025-03,3,54,2,1,18
2025-04,2,43,1,0,17
2025-05,2,49,1,1,17
2025-06,2,50,1,1,17
2025-07,2,60,1,1,15
2025-08,2,49,1,1,16
2025-09,2,52,1,<1,14
