Category: All categories

Month,internet: (Rajshahi Division),phone line: (Rajshahi Division),electricity generator: (Rajshahi Division),generator: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,100,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,37,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,26,0,0,0,0
2015-08,22,0,0,12,0
2015-09,24,0,0,0,19
2015-10,21,0,0,0,11
2015-11,34,0,0,12,17
2015-12,24,0,0,13,16
2016-01,25,0,0,5,11
2016-02,22,0,0,4,8
2016-03,25,0,0,6,8
2016-04,19,0,0,4,11
2016-05,23,0,0,6,7
2016-06,29,0,0,4,11
2016-07,30,0,0,0,11
2016-08,16,0,0,4,9
2016-09,20,0,0,6,5
2016-10,16,0,0,6,8
2016-11,20,0,0,7,9
2016-12,19,0,0,5,7
2017-01,15,0,0,5,8
2017-02,15,0,0,4,7
2017-03,15,0,0,5,7
2017-04,16,0,0,5,7
2017-05,13,0,0,5,6
2017-06,17,0,0,4,5
2017-07,13,0,0,3,6
2017-08,15,0,0,4,6
2017-09,17,0,0,4,7
2017-10,15,0,0,6,7
2017-11,14,0,0,4,8
2017-12,15,0,0,5,8
2018-01,17,0,0,4,7
2018-02,18,0,0,4,9
2018-03,17,0,0,5,8
2018-04,12,0,0,4,8
2018-05,14,0,0,5,6
2018-06,16,0,0,4,5
2018-07,15,0,0,5,7
2018-08,19,0,0,4,6
2018-09,15,0,0,4,7
2018-10,16,0,0,5,6
2018-11,14,0,0,6,8
2018-12,14,0,0,4,8
2019-01,11,0,0,2,4
2019-02,11,0,0,3,6
2019-03,9,0,0,3,6
2019-04,8,0,0,3,6
2019-05,8,0,0,3,6
2019-06,8,0,0,2,3
2019-07,8,0,0,2,4
2019-08,9,0,0,3,5
2019-09,7,0,0,2,5
2019-10,8,0,0,3,5
2019-11,7,0,0,2,6
2019-12,8,0,0,2,4
2020-01,8,0,0,2,5
2020-02,8,0,0,3,5
2020-03,11,0,0,3,6
2020-04,15,0,0,4,7
2020-05,16,0,0,4,8
2020-06,17,0,0,5,8
2020-07,18,0,0,5,9
2020-08,15,0,0,5,9
2020-09,15,0,0,5,9
2020-10,14,0,0,5,8
2020-11,13,0,0,4,8
2020-12,13,0,0,4,7
2021-01,13,0,0,4,7
2021-02,12,0,0,4,7
2021-03,10,0,0,5,6
2021-04,11,0,0,5,6
2021-05,10,0,0,5,6
2021-06,11,0,0,4,6
2021-07,11,0,0,4,5
2021-08,11,0,0,5,5
2021-09,9,0,0,4,5
2021-10,7,0,0,3,4
2021-11,7,0,0,3,5
2021-12,7,0,0,4,4
2022-01,9,0,0,6,5
2022-02,9,0,0,5,5
2022-03,8,0,0,5,6
2022-04,8,0,0,5,5
2022-05,8,0,0,5,5
2022-06,8,0,0,6,5
2022-07,8,0,0,6,4
2022-08,7,0,0,6,5
2022-09,8,0,0,6,6
2022-10,7,0,0,6,5
2022-11,7,0,0,5,5
2022-12,6,0,0,6,4
2023-01,7,0,0,7,4
2023-02,7,0,0,8,4
2023-03,7,0,0,7,5
2023-04,6,0,0,7,4
2023-05,6,0,0,6,5
2023-06,8,<1,0,7,5
2023-07,7,<1,0,7,4
2023-08,7,0,0,8,5
2023-09,6,0,0,7,4
2023-10,8,0,0,7,4
2023-11,7,<1,0,7,5
2023-12,7,0,0,8,4
2024-01,6,0,0,8,4
2024-02,6,0,0,7,5
2024-03,5,<1,0,7,4
2024-04,5,0,0,6,4
2024-05,5,0,0,6,4
2024-06,5,0,0,5,4
2024-07,11,0,0,5,4
2024-08,8,0,0,6,5
2024-09,6,0,0,10,5
2024-10,6,0,0,6,5
2024-11,5,0,0,6,4
2024-12,4,0,0,6,4
2025-01,4,0,0,6,4
2025-02,4,0,0,6,4
2025-03,4,0,0,7,4
2025-04,4,0,0,6,4
2025-05,5,0,0,6,4
2025-06,4,0,0,6,4
2025-07,5,<1,0,5,4
2025-08,4,0,0,5,4
2025-09,5,<1,0,5,3
