Category: All categories

Month,MP: (Rajshahi Division),union: (Rajshahi Division),union: (Rajshahi Division),union: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,100
2015-10,0,0,0,0,57
2015-11,0,0,0,0,86
2015-12,0,0,0,0,84
2016-01,0,0,0,0,55
2016-02,0,0,0,0,40
2016-03,0,0,0,0,43
2016-04,0,0,0,0,59
2016-05,0,0,0,0,39
2016-06,0,0,0,0,57
2016-07,0,0,0,0,59
2016-08,0,13,13,13,46
2016-09,14,0,0,0,27
2016-10,0,0,0,0,40
2016-11,12,0,0,0,44
2016-12,14,0,0,0,36
2017-01,0,0,0,0,43
2017-02,0,0,0,0,37
2017-03,11,10,10,10,37
2017-04,0,0,0,0,34
2017-05,9,0,0,0,30
2017-06,15,0,0,0,25
2017-07,11,15,15,15,33
2017-08,0,8,8,8,33
2017-09,0,0,0,0,36
2017-10,8,6,6,6,36
2017-11,0,8,8,8,42
2017-12,8,7,7,7,40
2018-01,7,10,10,10,37
2018-02,10,0,0,0,47
2018-03,5,10,10,10,43
2018-04,8,7,7,7,43
2018-05,7,5,5,5,31
2018-06,7,6,6,6,26
2018-07,8,7,7,7,36
2018-08,6,5,5,5,30
2018-09,8,6,6,6,35
2018-10,4,7,7,7,31
2018-11,13,11,11,11,40
2018-12,16,8,8,8,39
2019-01,14,5,5,5,23
2019-02,8,7,7,7,31
2019-03,8,5,5,5,30
2019-04,8,5,5,5,29
2019-05,7,5,5,5,29
2019-06,7,4,4,4,18
2019-07,8,5,5,5,21
2019-08,10,6,6,6,27
2019-09,9,10,10,10,26
2019-10,8,7,7,7,26
2019-11,7,6,6,6,29
2019-12,8,6,6,6,21
2020-01,7,7,7,7,25
2020-02,6,6,6,6,27
2020-03,5,5,5,5,30
2020-04,7,9,9,9,37
2020-05,7,10,10,10,40
2020-06,5,7,7,7,43
2020-07,8,7,7,7,47
2020-08,6,6,6,6,46
2020-09,6,8,8,8,46
2020-10,8,7,7,7,43
2020-11,5,6,6,6,41
2020-12,5,10,10,10,39
2021-01,5,9,9,9,35
2021-02,5,8,8,8,34
2021-03,6,8,8,8,32
2021-04,5,8,8,8,31
2021-05,5,11,11,11,29
2021-06,5,13,13,13,30
2021-07,4,11,11,11,27
2021-08,3,10,10,10,27
2021-09,4,12,12,12,26
2021-10,4,10,10,10,23
2021-11,6,13,13,13,25
2021-12,5,11,11,11,21
2022-01,5,11,11,11,25
2022-02,5,9,9,9,24
2022-03,4,10,10,10,31
2022-04,4,7,7,7,27
2022-05,5,8,8,8,26
2022-06,5,7,7,7,28
2022-07,7,6,6,6,21
2022-08,5,8,8,8,28
2022-09,5,8,8,8,30
2022-10,4,9,9,9,26
2022-11,3,6,6,6,28
2022-12,3,4,4,4,19
2023-01,4,7,7,7,20
2023-02,5,9,9,9,23
2023-03,3,7,7,7,25
2023-04,3,6,6,6,20
2023-05,4,6,6,6,25
2023-06,4,6,6,6,26
2023-07,4,7,7,7,23
2023-08,4,8,8,8,27
2023-09,4,12,12,12,23
2023-10,4,9,9,9,22
2023-11,8,9,9,9,24
2023-12,6,13,13,13,23
2024-01,11,9,9,9,21
2024-02,4,7,7,7,24
2024-03,3,6,6,6,23
2024-04,4,8,8,8,19
2024-05,5,7,7,7,22
2024-06,5,5,5,5,19
2024-07,4,6,6,6,21
2024-08,7,6,6,6,23
2024-09,3,8,8,8,25
2024-10,3,6,6,6,25
2024-11,3,10,10,10,23
2024-12,3,6,6,6,23
2025-01,3,6,6,6,22
2025-02,3,7,7,7,21
2025-03,2,8,8,8,21
2025-04,3,7,7,7,20
2025-05,3,6,6,6,20
2025-06,2,5,5,5,20
2025-07,3,5,5,5,18
2025-08,3,6,6,6,19
2025-09,3,7,7,7,18
