Category: All categories

Month,ministry: (Rajshahi Division),official: (Rajshahi Division),candidate: (Rajshahi Division),prime minister: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,100,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,33
2015-10,18,0,0,0,19
2015-11,14,0,0,0,28
2015-12,29,0,0,0,27
2016-01,17,7,0,0,18
2016-02,14,6,0,0,13
2016-03,13,5,0,0,14
2016-04,11,8,0,0,19
2016-05,13,0,0,0,13
2016-06,22,7,0,0,18
2016-07,10,7,0,0,19
2016-08,11,9,0,0,15
2016-09,11,9,0,0,9
2016-10,11,6,0,0,13
2016-11,12,5,0,0,14
2016-12,11,4,0,0,12
2017-01,12,5,0,0,14
2017-02,7,5,0,0,12
2017-03,10,4,0,0,12
2017-04,9,6,0,0,11
2017-05,10,5,0,0,10
2017-06,6,3,0,0,8
2017-07,9,4,0,0,11
2017-08,6,4,0,0,11
2017-09,8,5,0,0,12
2017-10,7,3,0,0,12
2017-11,9,4,0,0,14
2017-12,9,5,0,0,13
2018-01,9,4,0,0,12
2018-02,10,4,0,0,15
2018-03,7,5,0,0,14
2018-04,10,3,0,0,14
2018-05,10,6,0,0,10
2018-06,9,7,0,0,8
2018-07,12,6,0,1,12
2018-08,12,5,0,2,10
2018-09,10,5,0,2,11
2018-10,9,4,0,0,10
2018-11,8,4,0,1,13
2018-12,6,4,0,0,13
2019-01,5,3,0,1,7
2019-02,5,3,0,1,10
2019-03,4,3,0,1,10
2019-04,4,3,1,1,10
2019-05,4,3,0,1,9
2019-06,4,3,0,1,6
2019-07,4,3,0,1,7
2019-08,4,5,0,2,9
2019-09,4,4,0,1,8
2019-10,4,4,<1,1,8
2019-11,4,4,0,1,9
2019-12,5,4,0,1,7
2020-01,5,5,0,1,8
2020-02,4,5,0,1,9
2020-03,5,6,0,2,10
2020-04,4,7,0,1,12
2020-05,6,8,0,1,13
2020-06,6,11,0,1,14
2020-07,5,12,0,1,15
2020-08,5,11,0,1,15
2020-09,5,10,0,1,15
2020-10,4,11,0,1,14
2020-11,4,8,<1,1,13
2020-12,4,11,0,1,13
2021-01,5,9,0,1,11
2021-02,4,8,0,2,11
2021-03,4,8,<1,2,11
2021-04,3,8,0,1,10
2021-05,2,9,0,1,10
2021-06,4,10,<1,1,10
2021-07,2,10,0,1,9
2021-08,2,11,<1,1,9
2021-09,3,8,1,1,9
2021-10,2,8,<1,1,8
2021-11,2,7,<1,1,8
2021-12,3,8,0,1,7
2022-01,4,9,<1,1,8
2022-02,5,10,<1,1,8
2022-03,3,10,<1,1,10
2022-04,2,10,<1,2,9
2022-05,2,8,<1,1,9
2022-06,2,9,<1,1,9
2022-07,2,10,<1,1,7
2022-08,2,9,<1,1,9
2022-09,2,9,<1,1,10
2022-10,2,9,<1,1,9
2022-11,4,8,<1,1,9
2022-12,3,7,<1,1,6
2023-01,3,7,0,1,7
2023-02,3,7,<1,1,8
2023-03,2,6,<1,1,8
2023-04,2,6,<1,1,7
2023-05,2,6,<1,1,8
2023-06,2,6,<1,1,8
2023-07,3,7,<1,1,7
2023-08,3,7,<1,1,9
2023-09,3,6,0,1,8
2023-10,2,6,<1,1,7
2023-11,2,5,<1,1,8
2023-12,1,6,<1,<1,7
2024-01,2,7,<1,1,7
2024-02,2,6,<1,1,8
2024-03,1,6,<1,1,8
2024-04,2,6,<1,<1,6
2024-05,2,6,<1,1,7
2024-06,1,6,<1,1,6
2024-07,2,7,<1,1,7
2024-08,2,7,0,4,8
2024-09,2,7,0,1,8
2024-10,2,7,<1,<1,8
2024-11,2,6,<1,<1,8
2024-12,1,7,0,<1,7
2025-01,1,6,<1,<1,7
2025-02,2,7,<1,<1,7
2025-03,1,7,<1,1,7
2025-04,1,6,<1,<1,6
2025-05,1,6,0,<1,7
2025-06,1,7,<1,<1,7
2025-07,2,7,<1,<1,6
2025-08,1,7,<1,<1,6
2025-09,1,8,<1,1,6
