Category: All categories

Month,province: (Rajshahi Division),governorate: (Rajshahi Division),district: (Rajshahi Division),government: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,70,0,100
2015-10,0,0,0,0,57
2015-11,0,0,0,43,86
2015-12,0,0,0,48,84
2016-01,0,0,0,25,55
2016-02,0,0,27,18,40
2016-03,0,0,18,0,43
2016-04,0,0,29,0,59
2016-05,0,0,25,20,39
2016-06,0,0,0,15,57
2016-07,0,0,26,17,59
2016-08,15,0,22,14,46
2016-09,0,0,21,0,27
2016-10,0,0,19,0,40
2016-11,0,0,20,14,44
2016-12,0,0,18,24,36
2017-01,0,0,16,11,43
2017-02,0,0,28,10,37
2017-03,0,0,18,8,37
2017-04,0,0,20,13,34
2017-05,0,0,20,14,30
2017-06,0,0,11,14,25
2017-07,0,0,17,16,33
2017-08,0,0,24,13,33
2017-09,0,0,15,13,36
2017-10,0,0,18,18,36
2017-11,0,0,20,16,42
2017-12,0,0,24,22,40
2018-01,0,0,19,19,37
2018-02,0,0,16,16,47
2018-03,0,0,13,12,43
2018-04,0,0,18,14,43
2018-05,0,0,23,22,31
2018-06,0,0,19,23,26
2018-07,0,0,18,24,36
2018-08,0,0,19,18,30
2018-09,0,0,21,19,35
2018-10,0,0,18,15,31
2018-11,0,0,20,17,40
2018-12,0,0,18,29,39
2019-01,0,0,13,13,23
2019-02,0,0,14,11,31
2019-03,0,0,15,13,30
2019-04,0,0,12,9,29
2019-05,0,0,17,16,29
2019-06,0,0,12,14,18
2019-07,0,0,10,11,21
2019-08,0,0,12,11,27
2019-09,0,0,16,14,26
2019-10,0,0,12,13,26
2019-11,0,0,12,14,29
2019-12,0,0,14,20,21
2020-01,0,0,13,11,25
2020-02,0,0,13,12,27
2020-03,0,0,12,11,30
2020-04,0,0,23,13,37
2020-05,0,0,20,14,40
2020-06,0,0,18,16,43
2020-07,0,0,12,15,47
2020-08,0,0,13,22,46
2020-09,0,0,15,21,46
2020-10,0,0,11,18,43
2020-11,0,0,16,16,41
2020-12,0,0,14,19,39
2021-01,0,0,14,26,35
2021-02,0,0,11,14,34
2021-03,0,0,11,26,32
2021-04,0,0,15,12,31
2021-05,0,0,14,10,29
2021-06,0,0,12,14,30
2021-07,0,0,10,12,27
2021-08,0,0,12,15,27
2021-09,0,0,13,17,26
2021-10,1,0,10,13,23
2021-11,1,0,10,13,25
2021-12,0,0,10,14,21
2022-01,1,0,14,18,25
2022-02,1,0,15,18,24
2022-03,1,0,14,15,31
2022-04,<1,0,17,12,27
2022-05,0,0,16,15,26
2022-06,0,0,15,14,28
2022-07,1,0,12,13,21
2022-08,1,0,12,13,28
2022-09,1,0,12,14,30
2022-10,1,0,13,14,26
2022-11,1,0,13,13,28
2022-12,0,0,12,20,19
2023-01,0,0,14,20,20
2023-02,1,0,12,15,23
2023-03,1,0,16,13,25
2023-04,0,0,14,12,20
2023-05,<1,0,14,16,25
2023-06,0,0,14,12,26
2023-07,<1,0,14,18,23
2023-08,0,0,14,18,27
2023-09,<1,0,13,15,23
2023-10,1,0,12,13,22
2023-11,0,0,11,13,24
2023-12,1,0,13,10,23
2024-01,0,0,16,15,21
2024-02,1,0,13,13,24
2024-03,1,0,13,14,23
2024-04,1,0,12,11,19
2024-05,1,0,14,15,22
2024-06,0,0,10,12,19
2024-07,0,0,11,14,21
2024-08,0,0,9,16,23
2024-09,1,0,11,11,25
2024-10,1,0,11,10,25
2024-11,1,0,10,12,23
2024-12,0,0,9,12,23
2025-01,0,0,10,11,22
2025-02,1,0,8,10,21
2025-03,0,0,10,9,21
2025-04,0,0,8,8,20
2025-05,0,0,9,10,20
2025-06,0,0,9,9,20
2025-07,0,0,10,11,18
2025-08,0,0,9,12,19
2025-09,<1,0,8,13,17
