Category: All categories

Month,cash assistance: (Rajshahi Division),medicine: (Rajshahi Division),medicine: (Rajshahi Division),medicine: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,100
2015-10,0,0,0,0,57
2015-11,0,29,32,0,86
2015-12,0,0,0,0,84
2016-01,0,22,20,28,55
2016-02,0,0,23,19,40
2016-03,0,15,18,17,43
2016-04,0,0,0,18,59
2016-05,0,25,23,17,39
2016-06,0,19,21,0,57
2016-07,0,0,15,14,59
2016-08,0,14,13,18,46
2016-09,0,19,20,21,27
2016-10,0,16,19,16,40
2016-11,0,17,11,0,44
2016-12,0,21,23,23,36
2017-01,0,13,15,20,43
2017-02,0,18,19,20,37
2017-03,0,22,18,21,37
2017-04,0,20,16,22,34
2017-05,0,19,20,22,30
2017-06,0,18,21,25,25
2017-07,0,24,17,14,33
2017-08,0,20,21,20,33
2017-09,0,20,20,19,36
2017-10,0,20,25,22,36
2017-11,0,24,23,24,42
2017-12,0,21,20,21,40
2018-01,0,19,17,19,37
2018-02,0,22,23,23,47
2018-03,0,28,27,28,43
2018-04,0,23,20,22,43
2018-05,0,21,22,21,31
2018-06,0,22,29,22,26
2018-07,0,24,24,24,36
2018-08,0,23,22,22,30
2018-09,0,21,22,23,35
2018-10,0,23,23,22,31
2018-11,0,24,22,21,40
2018-12,0,23,21,21,39
2019-01,0,17,18,16,23
2019-02,0,17,16,17,31
2019-03,0,17,17,17,30
2019-04,0,17,17,17,29
2019-05,0,13,14,14,29
2019-06,0,19,19,19,18
2019-07,0,18,18,17,21
2019-08,0,23,23,23,27
2019-09,0,17,16,16,26
2019-10,0,19,20,19,26
2019-11,0,18,18,18,29
2019-12,0,17,16,16,21
2020-01,0,16,17,16,25
2020-02,0,20,20,20,27
2020-03,0,25,26,25,30
2020-04,0,35,35,34,37
2020-05,0,32,32,32,40
2020-06,0,32,33,33,43
2020-07,0,28,29,29,47
2020-08,0,28,27,28,46
2020-09,0,24,24,24,46
2020-10,0,26,26,26,43
2020-11,0,25,25,25,41
2020-12,0,21,21,20,39
2021-01,0,22,21,22,35
2021-02,0,22,22,22,34
2021-03,0,22,22,22,32
2021-04,0,23,21,21,31
2021-05,0,22,22,23,29
2021-06,0,22,22,22,30
2021-07,0,22,22,22,27
2021-08,0,23,23,23,27
2021-09,0,22,22,22,26
2021-10,0,17,18,17,23
2021-11,0,17,17,17,25
2021-12,0,15,15,15,21
2022-01,0,19,19,18,25
2022-02,0,20,19,19,24
2022-03,0,18,18,18,31
2022-04,0,17,17,17,27
2022-05,0,18,18,18,26
2022-06,0,18,18,18,28
2022-07,0,20,19,19,21
2022-08,0,18,18,18,28
2022-09,0,19,19,19,30
2022-10,0,18,18,18,26
2022-11,0,17,17,17,28
2022-12,0,15,15,15,19
2023-01,0,18,18,18,20
2023-02,0,20,20,19,23
2023-03,0,20,19,20,25
2023-04,0,17,18,18,20
2023-05,0,18,18,18,25
2023-06,0,18,18,18,26
2023-07,0,19,19,19,23
2023-08,0,22,22,22,27
2023-09,0,17,17,17,23
2023-10,0,17,17,17,22
2023-11,0,16,16,17,24
2023-12,0,16,16,16,23
2024-01,0,18,18,18,21
2024-02,0,17,17,17,24
2024-03,0,16,16,16,23
2024-04,0,15,15,15,19
2024-05,0,15,15,14,22
2024-06,0,15,14,15,19
2024-07,0,14,15,15,21
2024-08,0,15,15,15,23
2024-09,0,15,15,15,25
2024-10,0,16,16,16,25
2024-11,0,17,17,17,23
2024-12,0,15,15,15,23
2025-01,0,15,15,15,22
2025-02,0,17,16,16,21
2025-03,0,15,15,15,21
2025-04,0,15,15,14,20
2025-05,0,15,15,15,20
2025-06,0,16,15,16,20
2025-07,0,15,15,15,18
2025-08,0,17,18,18,19
2025-09,0,15,15,15,18
