Category: All categories

Month,cash grant: (Rajshahi Division),cash grant: (Rajshahi Division),army: (Rajshahi Division),Email: (Rajshahi Division)
2004-01,0,0,0,0
2004-02,0,0,0,0
2004-03,0,0,0,0
2004-04,0,0,0,0
2004-05,0,0,0,0
2004-06,0,0,0,0
2004-07,0,0,0,0
2004-08,0,0,0,0
2004-09,0,0,0,0
2004-10,0,0,0,0
2004-11,0,0,0,0
2004-12,0,0,0,0
2005-01,0,0,0,0
2005-02,0,0,0,0
2005-03,0,0,0,0
2005-04,0,0,0,0
2005-05,0,0,0,0
2005-06,0,0,0,0
2005-07,0,0,0,0
2005-08,0,0,0,0
2005-09,0,0,0,0
2005-10,0,0,0,0
2005-11,0,0,0,0
2005-12,0,0,0,0
2006-01,0,0,0,0
2006-02,0,0,0,0
2006-03,0,0,0,0
2006-04,0,0,0,0
2006-05,0,0,0,0
2006-06,0,0,0,0
2006-07,0,0,0,0
2006-08,0,0,0,0
2006-09,0,0,0,0
2006-10,0,0,0,0
2006-11,0,0,0,0
2006-12,0,0,0,0
2007-01,0,0,0,0
2007-02,0,0,0,0
2007-03,0,0,0,0
2007-04,0,0,0,0
2007-05,0,0,0,0
2007-06,0,0,0,0
2007-07,0,0,0,0
2007-08,0,0,0,0
2007-09,0,0,0,0
2007-10,0,0,0,0
2007-11,0,0,0,0
2007-12,0,0,0,0
2008-01,0,0,0,0
2008-02,0,0,0,0
2008-03,0,0,0,0
2008-04,0,0,0,0
2008-05,0,0,0,0
2008-06,0,0,0,0
2008-07,0,0,0,0
2008-08,0,0,0,0
2008-09,0,0,0,0
2008-10,0,0,0,0
2008-11,0,0,0,0
2008-12,0,0,0,0
2009-01,0,0,0,0
2009-02,0,0,0,0
2009-03,0,0,0,0
2009-04,0,0,0,0
2009-05,0,0,0,0
2009-06,0,0,0,0
2009-07,0,0,0,0
2009-08,0,0,0,0
2009-09,0,0,0,0
2009-10,0,0,0,0
2009-11,0,0,0,0
2009-12,0,0,0,0
2010-01,0,0,0,0
2010-02,0,0,0,0
2010-03,0,0,0,0
2010-04,0,0,0,0
2010-05,0,0,0,0
2010-06,0,0,0,0
2010-07,0,0,0,0
2010-08,0,0,0,0
2010-09,0,0,0,0
2010-10,0,0,0,0
2010-11,0,0,0,0
2010-12,0,0,0,0
2011-01,0,0,0,0
2011-02,0,0,0,0
2011-03,0,0,0,0
2011-04,0,0,0,0
2011-05,0,0,0,0
2011-06,0,0,0,0
2011-07,0,0,0,0
2011-08,0,0,0,0
2011-09,0,0,0,0
2011-10,0,0,0,0
2011-11,0,0,0,0
2011-12,0,0,0,0
2012-01,0,0,0,0
2012-02,0,0,0,0
2012-03,0,0,0,0
2012-04,0,0,0,0
2012-05,0,0,0,0
2012-06,0,0,0,0
2012-07,0,0,0,0
2012-08,0,0,0,0
2012-09,0,0,0,0
2012-10,0,0,0,0
2012-11,0,0,0,0
2012-12,0,0,0,0
2013-01,0,0,0,0
2013-02,0,0,0,0
2013-03,0,0,0,0
2013-04,0,0,0,0
2013-05,0,0,0,0
2013-06,0,0,0,0
2013-07,0,0,0,0
2013-08,0,0,0,0
2013-09,0,0,0,0
2013-10,0,0,0,0
2013-11,0,0,0,0
2013-12,0,0,0,0
2014-01,0,0,0,0
2014-02,0,0,0,0
2014-03,0,0,0,0
2014-04,0,0,0,0
2014-05,0,0,0,0
2014-06,0,0,0,0
2014-07,0,0,0,0
2014-08,0,0,0,0
2014-09,0,0,0,0
2014-10,0,0,0,0
2014-11,0,0,0,0
2014-12,0,0,0,0
2015-01,0,0,0,0
2015-02,0,0,0,0
2015-03,0,0,0,0
2015-04,0,0,0,0
2015-05,0,0,0,0
2015-06,0,0,0,0
2015-07,0,0,0,0
2015-08,0,0,0,0
2015-09,0,0,0,100
2015-10,0,0,0,57
2015-11,0,0,0,86
2015-12,0,0,39,84
2016-01,0,0,32,55
2016-02,0,0,24,40
2016-03,0,0,17,43
2016-04,0,0,30,59
2016-05,0,0,22,39
2016-06,0,0,29,57
2016-07,0,0,28,59
2016-08,0,0,24,46
2016-09,0,0,32,27
2016-10,0,0,48,40
2016-11,0,0,26,44
2016-12,0,0,35,36
2017-01,0,0,17,43
2017-02,0,0,23,37
2017-03,0,0,25,37
2017-04,0,0,25,34
2017-05,0,0,23,30
2017-06,0,0,24,25
2017-07,0,0,23,33
2017-08,0,0,24,33
2017-09,0,0,29,36
2017-10,0,0,28,36
2017-11,0,0,28,42
2017-12,0,0,32,40
2018-01,0,0,24,37
2018-02,0,0,27,47
2018-03,0,0,24,43
2018-04,0,0,21,43
2018-05,0,0,23,31
2018-06,0,0,29,26
2018-07,0,0,22,36
2018-08,0,0,25,30
2018-09,0,0,28,35
2018-10,0,0,32,31
