Category: All categories

Month,সম্পদ: (Rangpur Division),ঘাটতি: (Rangpur Division),শিক্ষা: (Rangpur Division),স্বাস্থ্য: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,69
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,44
2016-05,0,0,0,0,0
2016-06,0,0,40,0,0
2016-07,0,0,32,0,0
2016-08,0,0,33,0,28
2016-09,0,0,36,0,0
2016-10,0,0,55,0,28
2016-11,0,0,20,0,41
2016-12,0,0,36,0,47
2017-01,0,0,25,0,19
2017-02,0,0,27,0,39
2017-03,0,0,29,0,63
2017-04,0,0,32,0,44
2017-05,0,0,43,0,34
2017-06,0,0,32,0,34
2017-07,0,0,30,0,20
2017-08,0,0,32,0,23
2017-09,0,0,31,0,23
2017-10,0,0,30,0,43
2017-11,0,0,36,0,36
2017-12,0,0,42,0,33
2018-01,0,0,32,0,24
2018-02,0,0,50,0,32
2018-03,0,0,56,0,28
2018-04,0,0,62,0,35
2018-05,0,0,64,0,32
2018-06,0,0,58,9,26
2018-07,0,0,79,0,23
2018-08,0,0,64,11,26
2018-09,0,0,65,0,26
2018-10,0,0,64,11,25
2018-11,0,0,66,0,31
2018-12,0,0,62,7,24
2019-01,0,0,53,8,27
2019-02,0,0,56,0,27
2019-03,0,0,60,5,30
2019-04,0,0,53,6,29
2019-05,6,0,56,0,30
2019-06,0,0,38,0,19
2019-07,4,0,49,4,29
2019-08,0,0,48,3,25
2019-09,0,0,54,4,34
2019-10,4,0,71,5,33
2019-11,4,0,56,3,24
2019-12,0,0,54,4,24
2020-01,2,0,53,5,24
2020-02,8,0,59,7,26
2020-03,2,0,54,7,21
2020-04,0,0,47,7,21
2020-05,0,0,54,5,20
2020-06,1,0,57,8,26
2020-07,1,0,60,8,26
2020-08,1,0,47,4,22
2020-09,2,0,54,4,21
2020-10,2,0,65,3,22
2020-11,4,0,100,4,19
2020-12,2,0,62,4,20
2021-01,2,0,57,5,22
2021-02,8,0,59,3,23
2021-03,2,0,97,6,21
2021-04,1,0,57,3,21
2021-05,1,0,45,2,20
2021-06,1,0,66,4,18
2021-07,1,0,47,4,17
2021-08,2,0,61,6,17
2021-09,2,0,72,5,17
2021-10,2,0,55,5,17
2021-11,2,0,59,6,21
2021-12,2,0,47,6,16
2022-01,1,0,59,4,19
2022-02,2,0,68,5,17
2022-03,3,0,68,6,21
2022-04,2,0,69,8,19
2022-05,2,1,43,4,19
2022-06,3,0,66,4,21
2022-07,2,0,53,5,15
2022-08,2,1,54,5,19
2022-09,2,0,64,7,21
2022-10,3,0,50,5,19
2022-11,3,0,47,5,19
2022-12,4,0,53,5,14
2023-01,2,0,54,5,15
2023-02,3,0,52,6,16
2023-03,3,0,52,7,16
2023-04,2,0,42,4,14
2023-05,3,0,59,6,17
2023-06,4,0,56,7,17
2023-07,1,0,57,5,13
2023-08,3,0,63,7,15
2023-09,3,0,54,5,13
2023-10,3,0,46,6,14
2023-11,4,0,52,10,14
2023-12,2,0,45,5,13
2024-01,2,0,51,7,13
2024-02,2,0,50,9,15
2024-03,3,1,52,11,14
2024-04,2,0,37,7,12
2024-05,4,0,50,11,15
2024-06,2,0,38,8,12
2024-07,3,0,49,12,14
2024-08,2,0,43,4,14
2024-09,2,0,40,5,15
2024-10,3,0,37,7,15
2024-11,7,0,36,6,15
2024-12,4,0,35,6,14
2025-01,2,0,35,4,14
2025-02,3,0,37,5,15
2025-03,2,0,37,5,16
2025-04,2,0,35,4,14
2025-05,2,0,38,4,14
2025-06,1,0,26,3,13
2025-07,2,0,50,3,12
2025-08,3,0,39,6,15
2025-09,2,1,37,4,14
