Category: All categories

Month,অধিদপ্তর: (Rangpur Division),পরিকল্পনা: (Rangpur Division),সংসদ: (Rangpur Division),সংসদ সদস্য: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,100
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,64
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,40
2016-09,0,0,0,0,0
2016-10,0,0,0,0,40
2016-11,0,0,0,0,60
2016-12,26,0,0,0,68
2017-01,0,0,0,0,27
2017-02,0,0,0,0,57
2017-03,0,0,0,0,91
2017-04,0,0,0,0,63
2017-05,0,0,0,0,49
2017-06,0,0,0,0,49
2017-07,34,0,0,0,28
2017-08,18,19,0,0,34
2017-09,19,0,0,0,33
2017-10,23,17,0,0,63
2017-11,24,0,0,0,52
2017-12,28,0,0,0,48
2018-01,19,0,0,0,35
2018-02,27,0,0,0,46
2018-03,19,0,0,0,40
2018-04,31,14,0,0,51
2018-05,42,14,0,0,46
2018-06,35,26,0,0,37
2018-07,67,17,0,0,33
2018-08,34,15,0,0,38
2018-09,38,17,0,0,38
2018-10,41,9,0,0,36
2018-11,27,9,13,0,45
2018-12,26,0,12,0,35
2019-01,34,0,7,0,39
2019-02,30,9,0,0,40
2019-03,26,0,0,0,43
2019-04,22,0,0,0,43
2019-05,36,0,11,0,44
2019-06,16,0,4,0,28
2019-07,16,7,0,0,42
2019-08,29,0,0,0,37
2019-09,55,5,0,0,49
2019-10,46,8,4,0,48
2019-11,37,0,0,0,35
2019-12,48,6,0,0,35
2020-01,45,5,5,0,35
2020-02,44,6,0,0,38
2020-03,31,9,8,0,31
2020-04,21,5,5,0,31
2020-05,20,2,3,0,29
2020-06,24,2,2,0,37
2020-07,28,3,2,0,38
2020-08,21,3,2,0,31
2020-09,35,6,2,0,31
2020-10,42,5,3,0,32
2020-11,44,18,2,0,27
2020-12,31,7,3,0,29
2021-01,32,4,2,0,32
2021-02,30,6,3,0,34
2021-03,41,5,3,0,30
2021-04,20,2,1,0,31
2021-05,21,3,1,0,29
2021-06,27,8,2,0,26
2021-07,23,6,1,0,24
2021-08,30,13,2,0,25
2021-09,38,17,2,0,25
2021-10,42,18,3,0,25
2021-11,62,9,2,0,30
2021-12,53,7,2,0,23
2022-01,46,6,2,0,27
2022-02,34,5,2,0,24
2022-03,50,8,3,0,31
2022-04,56,8,3,0,28
2022-05,35,7,2,0,28
2022-06,45,6,2,0,30
2022-07,32,4,2,0,22
2022-08,39,5,3,0,27
2022-09,37,5,2,0,30
2022-10,45,12,2,0,28
2022-11,36,20,2,0,28
2022-12,30,9,2,0,21
2023-01,44,15,2,0,22
2023-02,35,20,3,0,23
2023-03,41,14,2,0,23
2023-04,27,7,2,0,21
2023-05,39,13,3,0,25
2023-06,38,13,3,0,25
2023-07,40,9,3,0,18
2023-08,45,10,3,0,22
2023-09,56,9,3,0,20
2023-10,50,7,2,0,20
2023-11,38,10,7,1,20
2023-12,37,8,8,1,19
2024-01,38,8,21,3,19
2024-02,31,8,4,0,22
2024-03,42,10,3,1,21
2024-04,44,6,2,0,17
2024-05,42,6,2,1,21
2024-06,28,5,1,0,18
2024-07,40,4,2,1,21
2024-08,24,3,3,1,21
2024-09,26,4,2,0,22
2024-10,26,5,2,0,22
2024-11,27,5,2,0,22
2024-12,29,4,1,0,20
2025-01,32,5,1,0,21
2025-02,34,4,2,0,22
2025-03,34,3,1,0,24
2025-04,37,3,1,0,21
2025-05,33,3,0,0,21
2025-06,22,3,1,0,20
2025-07,26,5,2,0,17
2025-08,34,5,2,0,22
2025-09,32,4,5,<1,20
