Category: All categories

Month,প্রতিনিধি: (Rangpur Division),নির্বাচন: (Rangpur Division),নিয়ম: (Rangpur Division),আইন: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,100
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,64
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,40
2016-09,0,0,0,0,0
2016-10,0,0,0,0,40
2016-11,0,0,32,0,60
2016-12,0,0,0,0,68
2017-01,0,0,0,0,27
2017-02,0,0,45,0,57
2017-03,0,0,23,0,91
2017-04,0,22,22,0,63
2017-05,0,0,32,0,49
2017-06,0,0,39,0,49
2017-07,0,0,20,21,28
2017-08,0,0,27,0,34
2017-09,0,0,27,0,33
2017-10,0,0,25,0,63
2017-11,0,18,23,0,52
2017-12,0,19,23,11,48
2018-01,0,18,27,0,35
2018-02,0,14,27,11,46
2018-03,0,14,34,9,40
2018-04,0,12,30,12,51
2018-05,0,11,48,14,46
2018-06,0,9,47,0,37
2018-07,0,16,29,13,33
2018-08,0,10,43,16,38
2018-09,0,7,37,19,38
2018-10,0,10,40,15,36
2018-11,0,25,35,15,45
2018-12,0,33,39,8,35
2019-01,0,20,43,15,39
2019-02,0,26,45,12,40
2019-03,0,32,41,17,43
2019-04,0,13,56,16,43
2019-05,0,19,54,20,44
2019-06,0,14,43,11,28
2019-07,0,8,51,18,42
2019-08,0,5,40,10,37
2019-09,0,12,50,20,49
2019-10,0,11,51,18,48
2019-11,0,9,52,28,35
2019-12,0,6,52,14,35
2020-01,0,9,44,19,35
2020-02,0,19,48,15,38
2020-03,0,5,50,11,31
2020-04,0,7,83,6,31
2020-05,0,11,75,6,29
2020-06,1,7,45,7,37
2020-07,1,9,48,8,38
2020-08,1,18,47,10,31
2020-09,0,11,42,9,31
2020-10,1,11,41,11,32
2020-11,0,35,52,11,27
2020-12,1,17,49,12,29
2021-01,0,23,46,12,32
2021-02,1,25,52,13,34
2021-03,0,18,55,11,30
2021-04,0,10,53,6,31
2021-05,0,13,57,8,29
2021-06,0,12,45,8,26
2021-07,0,4,47,7,24
2021-08,0,8,49,8,25
2021-09,0,27,46,9,25
2021-10,0,39,48,10,25
2021-11,0,56,56,13,30
2021-12,0,38,57,14,23
2022-01,0,26,58,10,27
2022-02,1,15,55,13,24
2022-03,1,12,65,12,31
2022-04,0,11,83,11,28
2022-05,0,8,59,12,28
2022-06,0,10,62,15,30
2022-07,0,7,54,8,22
2022-08,1,10,56,12,27
2022-09,0,11,58,13,30
2022-10,0,12,55,13,28
2022-11,0,11,59,11,28
2022-12,1,16,48,8,21
2023-01,0,9,51,13,22
2023-02,1,9,64,13,23
2023-03,1,8,72,12,23
2023-04,1,5,62,10,21
2023-05,1,15,59,12,25
2023-06,1,11,60,15,25
2023-07,1,7,49,10,18
2023-08,1,7,59,13,22
2023-09,1,7,51,15,20
2023-10,2,7,49,12,20
2023-11,1,13,52,12,20
2023-12,0,18,48,9,19
2024-01,0,41,49,10,19
2024-02,0,10,54,15,22
2024-03,0,9,54,10,21
2024-04,0,12,50,7,17
2024-05,1,28,42,10,21
2024-06,0,11,38,8,18
2024-07,0,5,40,9,21
2024-08,1,6,32,8,21
2024-09,1,7,39,11,22
2024-10,0,11,42,10,22
2024-11,1,15,44,13,22
2024-12,1,5,38,9,20
2025-01,0,10,40,11,21
2025-02,0,7,39,10,22
2025-03,0,5,53,8,24
2025-04,0,5,41,10,21
2025-05,0,4,34,9,21
2025-06,0,5,36,7,20
2025-07,1,8,41,13,17
2025-08,0,10,43,11,22
2025-09,1,34,42,11,20
