Category: All categories

Month,বিদ্যুৎ: (Rangpur Division),জ্বালানি ও খনিজ সম্পদ মন্ত্রণালয়: (Rangpur Division),বিচার মন্ত্রণালয়: (Rangpur Division),আইন: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,100
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,64
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,40
2016-09,0,0,0,0,0
2016-10,0,0,0,0,40
2016-11,0,0,0,0,60
2016-12,0,0,0,0,68
2017-01,0,0,0,0,27
2017-02,0,0,0,0,57
2017-03,0,0,0,0,91
2017-04,0,0,0,0,63
2017-05,0,0,0,0,49
2017-06,0,0,0,0,49
2017-07,0,0,0,21,28
2017-08,0,0,0,0,34
2017-09,0,0,0,0,33
2017-10,0,0,0,0,63
2017-11,0,0,0,0,52
2017-12,0,0,0,11,48
2018-01,0,0,0,0,35
2018-02,0,0,0,11,46
2018-03,0,0,0,9,40
2018-04,15,0,0,12,51
2018-05,0,0,0,14,46
2018-06,0,0,0,0,37
2018-07,10,0,0,13,33
2018-08,0,0,0,16,38
2018-09,0,0,0,19,38
2018-10,8,0,0,15,36
2018-11,7,0,0,15,45
2018-12,7,0,0,8,35
2019-01,6,0,0,15,39
2019-02,0,0,0,12,40
2019-03,7,0,0,17,43
2019-04,23,0,0,16,43
2019-05,18,0,0,20,44
2019-06,8,0,0,11,28
2019-07,12,0,0,18,42
2019-08,9,0,0,10,37
2019-09,20,0,0,20,49
2019-10,11,0,0,18,48
2019-11,11,0,0,28,35
2019-12,14,0,0,14,35
2020-01,14,0,0,19,35
2020-02,14,0,0,15,38
2020-03,9,0,0,11,31
2020-04,4,0,0,6,31
2020-05,6,0,0,6,29
2020-06,8,0,0,7,37
2020-07,7,0,0,8,38
2020-08,6,0,0,10,31
2020-09,9,0,0,9,31
2020-10,7,0,0,11,32
2020-11,15,0,0,11,27
2020-12,9,0,0,12,29
2021-01,12,0,0,12,32
2021-02,10,0,0,13,34
2021-03,13,0,0,11,30
2021-04,8,0,0,6,31
2021-05,7,0,0,8,29
2021-06,10,0,0,8,26
2021-07,7,0,0,7,24
2021-08,9,0,0,8,25
2021-09,10,0,0,9,25
2021-10,22,0,0,10,25
2021-11,23,0,0,13,30
2021-12,11,0,0,14,23
2022-01,14,0,0,10,27
2022-02,12,0,0,13,24
2022-03,13,0,0,12,31
2022-04,15,0,0,11,28
2022-05,13,0,0,12,28
2022-06,19,0,0,15,30
2022-07,21,0,0,8,22
2022-08,19,0,0,12,27
2022-09,17,0,0,13,30
2022-10,17,0,0,13,28
2022-11,12,0,0,11,28
2022-12,15,0,0,8,21
2023-01,12,0,0,13,22
2023-02,17,0,0,13,23
2023-03,15,0,0,12,23
2023-04,16,0,0,10,21
2023-05,25,0,0,12,25
2023-06,26,0,0,15,25
2023-07,20,0,0,10,18
2023-08,20,0,0,13,22
2023-09,14,0,0,15,20
2023-10,14,0,0,12,20
2023-11,19,0,0,12,20
2023-12,13,0,0,9,19
2024-01,17,0,0,10,19
2024-02,13,0,0,15,22
2024-03,13,0,0,10,21
2024-04,9,0,0,7,17
2024-05,14,0,0,10,21
2024-06,11,0,0,8,18
2024-07,9,0,0,9,21
2024-08,11,0,0,8,21
2024-09,17,0,0,11,22
2024-10,11,0,0,10,22
2024-11,13,0,0,13,22
2024-12,11,0,0,9,20
2025-01,18,0,0,11,21
2025-02,12,0,0,10,22
2025-03,11,0,0,8,24
2025-04,12,0,0,10,21
2025-05,16,0,0,9,21
2025-06,11,0,0,7,20
2025-07,11,0,0,13,17
2025-08,11,0,0,11,22
2025-09,10,0,0,11,20
