Category: All categories

Month,নিবন্ধন: (Rangpur Division),নিবন্ধন: (Rangpur Division),তালিকা: (Rangpur Division),প্রশাসন: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,100
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,64
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,40
2016-09,0,0,0,0,0
2016-10,0,0,0,0,40
2016-11,0,0,0,0,60
2016-12,0,0,0,0,68
2017-01,0,0,0,0,27
2017-02,0,0,0,0,57
2017-03,0,0,0,0,91
2017-04,0,0,20,0,63
2017-05,0,0,0,0,49
2017-06,0,0,0,0,49
2017-07,0,0,19,0,28
2017-08,0,0,0,0,34
2017-09,0,0,23,0,33
2017-10,0,0,14,0,63
2017-11,0,0,0,0,52
2017-12,0,0,10,0,48
2018-01,0,0,24,0,35
2018-02,0,0,16,0,46
2018-03,0,0,20,0,40
2018-04,0,0,18,0,51
2018-05,0,0,28,0,46
2018-06,0,0,18,0,37
2018-07,8,8,22,0,33
2018-08,8,8,19,0,38
2018-09,0,0,21,0,38
2018-10,7,7,25,0,36
2018-11,9,9,33,0,45
2018-12,17,17,34,0,35
2019-01,13,13,44,0,39
2019-02,8,8,30,0,40
2019-03,10,10,30,0,43
2019-04,29,29,31,0,43
2019-05,19,19,27,0,44
2019-06,22,22,20,0,28
2019-07,14,14,23,0,42
2019-08,20,20,23,0,37
2019-09,21,21,32,0,49
2019-10,26,26,65,0,48
2019-11,15,15,32,0,35
2019-12,13,13,49,0,35
2020-01,19,19,40,0,35
2020-02,25,25,41,0,38
2020-03,9,9,24,0,31
2020-04,5,5,27,2,31
2020-05,5,5,24,0,29
2020-06,5,5,23,2,37
2020-07,6,6,26,1,38
2020-08,9,9,26,0,31
2020-09,9,9,24,0,31
2020-10,12,12,27,0,32
2020-11,11,11,42,0,27
2020-12,13,13,32,1,29
2021-01,19,19,30,1,32
2021-02,22,22,30,2,34
2021-03,34,34,37,0,30
2021-04,19,19,27,0,31
2021-05,35,35,27,0,29
2021-06,30,30,28,2,26
2021-07,30,30,25,1,24
2021-08,56,56,27,1,25
2021-09,64,64,36,2,25
2021-10,65,65,44,2,25
2021-11,64,64,60,0,30
2021-12,41,41,52,2,23
2022-01,93,93,43,0,27
2022-02,93,93,46,2,24
2022-03,67,67,48,2,31
2022-04,49,49,42,2,28
2022-05,48,48,39,2,28
2022-06,50,50,41,1,30
2022-07,39,39,41,1,22
2022-08,58,58,41,2,27
2022-09,58,58,40,2,30
2022-10,48,48,37,1,28
2022-11,38,38,38,2,28
2022-12,38,38,46,2,21
2023-01,40,40,42,3,22
2023-02,33,33,43,3,23
2023-03,28,28,40,1,23
2023-04,18,18,28,1,21
2023-05,20,20,37,1,25
2023-06,17,17,38,1,25
2023-07,23,23,35,2,18
2023-08,25,25,36,2,22
2023-09,26,26,39,2,20
2023-10,26,26,36,1,20
2023-11,69,69,39,2,20
2023-12,32,32,39,1,19
2024-01,29,29,48,2,19
2024-02,31,31,38,1,22
2024-03,43,43,36,1,21
2024-04,24,24,28,1,17
2024-05,33,33,37,1,21
2024-06,22,22,26,1,18
2024-07,26,26,28,1,21
2024-08,16,16,35,1,21
2024-09,27,27,32,1,22
2024-10,34,34,34,2,22
2024-11,28,28,30,2,22
2024-12,26,26,30,2,20
2025-01,40,40,34,2,21
2025-02,36,36,34,1,22
2025-03,23,23,28,0,24
2025-04,21,21,34,1,21
2025-05,18,18,31,1,21
2025-06,22,22,24,1,20
2025-07,20,20,28,2,17
2025-08,29,29,29,3,22
2025-09,39,39,32,2,20
