Category: All categories

Month,ভোটার: (Rangpur Division),কমিটি: (Rangpur Division),পরিষদ: (Rangpur Division),মন্ত্রী: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,100
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,64
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,40
2016-09,0,0,0,0,0
2016-10,0,0,0,0,40
2016-11,0,0,0,0,60
2016-12,0,0,0,0,68
2017-01,0,0,0,0,27
2017-02,0,0,0,0,57
2017-03,0,18,0,0,91
2017-04,0,0,0,0,63
2017-05,0,0,0,0,49
2017-06,0,0,0,0,49
2017-07,0,0,0,0,28
2017-08,0,0,0,0,34
2017-09,0,0,0,0,33
2017-10,0,0,0,0,63
2017-11,0,0,0,0,52
2017-12,0,0,0,0,48
2018-01,14,0,0,0,35
2018-02,0,0,0,0,46
2018-03,0,0,0,0,40
2018-04,0,0,0,0,51
2018-05,8,0,0,0,46
2018-06,0,0,0,0,37
2018-07,0,0,0,0,33
2018-08,0,0,0,0,38
2018-09,0,0,0,0,38
2018-10,0,0,0,0,36
2018-11,7,0,8,0,45
2018-12,8,0,0,0,35
2019-01,7,0,13,18,39
2019-02,0,0,9,0,40
2019-03,0,0,6,0,43
2019-04,0,0,6,0,43
2019-05,7,0,0,0,44
2019-06,5,0,5,0,28
2019-07,11,6,7,0,42
2019-08,4,3,3,4,37
2019-09,7,5,8,7,49
2019-10,6,6,7,8,48
2019-11,4,7,6,4,35
2019-12,0,5,8,4,35
2020-01,9,0,5,3,35
2020-02,8,6,7,4,38
2020-03,4,0,4,2,31
2020-04,6,1,4,2,31
2020-05,12,2,2,1,29
2020-06,7,2,4,3,37
2020-07,8,2,3,2,38
2020-08,9,3,4,2,31
2020-09,9,3,5,2,31
2020-10,8,2,3,2,32
2020-11,8,3,5,2,27
2020-12,7,3,5,3,29
2021-01,9,2,10,3,32
2021-02,10,2,14,3,34
2021-03,9,2,8,2,30
2021-04,5,2,5,2,31
2021-05,4,1,6,2,29
2021-06,5,2,8,2,26
2021-07,4,2,4,1,24
2021-08,6,2,4,1,25
2021-09,8,2,17,2,25
2021-10,10,3,23,2,25
2021-11,31,3,34,2,30
2021-12,28,3,23,4,23
2022-01,30,4,10,3,27
2022-02,17,4,7,3,24
2022-03,16,4,9,3,31
2022-04,12,4,7,2,28
2022-05,10,3,5,3,28
2022-06,12,4,8,3,30
2022-07,9,2,5,3,22
2022-08,12,4,7,4,27
2022-09,10,4,9,4,30
2022-10,9,3,11,3,28
2022-11,9,3,7,2,28
2022-12,9,4,5,1,21
2023-01,11,4,6,2,22
2023-02,7,3,7,3,23
2023-03,6,3,5,3,23
2023-04,4,2,5,2,21
2023-05,5,3,7,3,25
2023-06,5,3,6,3,25
2023-07,5,2,5,2,18
2023-08,5,3,7,4,22
2023-09,4,2,7,3,20
2023-10,3,2,7,2,20
2023-11,4,2,6,2,20
2023-12,8,2,6,2,19
2024-01,22,2,9,20,19
2024-02,5,3,7,5,22
2024-03,4,2,8,4,21
2024-04,5,2,8,2,17
2024-05,14,3,13,3,21
2024-06,5,2,6,2,18
2024-07,4,2,5,3,21
2024-08,3,4,7,6,21
2024-09,4,5,6,2,22
2024-10,4,3,7,1,22
2024-11,5,4,6,0,22
2024-12,6,4,6,1,20
2025-01,10,4,5,1,21
2025-02,8,4,7,1,22
2025-03,8,3,5,0,24
2025-04,8,2,5,1,21
2025-05,4,2,6,1,21
2025-06,3,2,4,0,20
2025-07,4,3,6,2,17
2025-08,6,4,7,1,22
2025-09,6,7,8,1,20
