Category: All categories

Month,মন্ত্রণালয়: (Rangpur Division),কর্মকর্তা: (Rangpur Division),প্রার্থী: (Rangpur Division),প্রধানমন্ত্রী: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,100
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,64
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,40
2016-09,0,0,0,0,0
2016-10,0,0,0,0,40
2016-11,0,0,0,0,60
2016-12,0,0,0,0,68
2017-01,27,0,0,0,27
2017-02,0,0,0,0,57
2017-03,0,0,0,0,91
2017-04,0,0,0,0,63
2017-05,0,0,0,0,49
2017-06,0,0,0,0,49
2017-07,0,0,0,0,28
2017-08,26,0,0,0,34
2017-09,0,0,0,0,33
2017-10,16,0,0,0,63
2017-11,12,0,0,0,52
2017-12,0,0,0,0,48
2018-01,10,0,0,0,35
2018-02,11,0,0,0,46
2018-03,17,0,0,0,40
2018-04,12,0,0,0,51
2018-05,0,0,0,0,46
2018-06,21,0,0,0,37
2018-07,13,0,0,0,33
2018-08,18,0,0,0,38
2018-09,11,0,0,0,38
2018-10,22,0,0,0,36
2018-11,20,0,11,0,45
2018-12,12,0,16,0,35
2019-01,23,0,0,0,39
2019-02,18,0,0,0,40
2019-03,14,6,0,0,43
2019-04,20,0,0,6,43
2019-05,20,0,0,6,44
2019-06,10,0,0,0,28
2019-07,18,0,0,0,42
2019-08,14,5,0,0,37
2019-09,19,0,0,0,49
2019-10,24,4,0,6,48
2019-11,18,0,0,6,35
2019-12,19,0,0,4,35
2020-01,17,3,0,3,35
2020-02,21,4,0,4,38
2020-03,18,2,0,6,31
2020-04,13,0,0,4,31
2020-05,14,2,0,2,29
2020-06,16,2,0,2,37
2020-07,15,2,0,2,38
2020-08,12,2,0,0,31
2020-09,16,2,1,2,31
2020-10,15,2,0,3,32
2020-11,13,2,0,2,27
2020-12,13,2,2,3,29
2021-01,16,2,1,5,32
2021-02,15,2,0,11,34
2021-03,25,2,1,5,30
2021-04,16,2,0,8,31
2021-05,11,2,0,7,29
2021-06,15,1,0,6,26
2021-07,11,2,0,4,24
2021-08,11,2,0,3,25
2021-09,14,2,0,3,25
2021-10,15,3,0,3,25
2021-11,17,3,0,2,30
2021-12,18,2,2,5,23
2022-01,21,3,1,4,27
2022-02,23,3,0,3,24
2022-03,21,4,0,4,31
2022-04,19,3,0,4,28
2022-05,17,2,0,5,28
2022-06,20,3,0,5,30
2022-07,17,3,1,4,22
2022-08,20,3,0,5,27
2022-09,20,3,0,10,30
2022-10,20,3,0,4,28
2022-11,18,3,0,4,28
2022-12,19,3,1,4,21
2023-01,22,3,0,3,22
2023-02,20,3,0,4,23
2023-03,19,2,0,4,23
2023-04,13,3,0,3,21
2023-05,17,3,1,5,25
2023-06,21,4,0,4,25
2023-07,21,3,1,3,18
2023-08,19,4,1,7,22
2023-09,15,4,0,4,20
2023-10,18,3,1,4,20
2023-11,16,3,4,4,20
2023-12,14,2,5,4,19
2024-01,20,4,4,4,19
2024-02,15,4,0,3,22
2024-03,20,3,0,4,21
2024-04,18,4,1,2,17
2024-05,15,4,2,3,21
2024-06,11,3,0,3,18
2024-07,14,3,0,2,21
2024-08,20,2,0,6,21
2024-09,19,4,0,2,22
2024-10,17,3,0,2,22
2024-11,19,4,0,2,22
2024-12,18,4,0,2,20
2025-01,16,3,0,2,21
2025-02,15,4,0,2,22
2025-03,12,4,0,1,24
2025-04,13,4,1,2,21
2025-05,13,4,0,1,21
2025-06,12,4,0,1,20
2025-07,15,4,1,2,17
2025-08,17,6,1,2,22
2025-09,17,6,3,3,20
