Category: All categories

Month,tax: (Rangpur Division),taxes: (Rangpur Division),good: (Rangpur Division),good: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,100,68,0
2016-03,0,0,64,0,80
2016-04,0,0,0,70,0
2016-05,0,0,61,0,0
2016-06,0,0,96,66,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,62
2016-09,0,0,45,0,44
2016-10,0,0,0,38,48
2016-11,0,0,58,55,90
2016-12,0,0,47,35,79
2017-01,0,0,34,30,0
2017-02,0,0,55,62,65
2017-03,24,0,42,43,92
2017-04,0,0,47,58,74
2017-05,0,0,47,53,61
2017-06,0,0,42,44,54
2017-07,0,0,32,46,50
2017-08,0,0,30,37,32
2017-09,0,0,37,43,43
2017-10,0,0,58,45,82
2017-11,34,0,53,52,62
2017-12,0,0,67,65,50
2018-01,17,0,47,51,39
2018-02,0,0,42,43,54
2018-03,14,0,43,49,44
2018-04,0,0,51,49,67
2018-05,0,0,47,48,53
2018-06,14,0,41,36,48
2018-07,11,0,42,47,42
2018-08,0,0,40,40,40
2018-09,0,0,36,36,44
2018-10,16,0,48,46,39
2018-11,31,0,44,43,51
2018-12,8,0,32,32,44
2019-01,14,0,41,40,46
2019-02,12,0,38,39,50
2019-03,10,0,39,39,49
2019-04,10,0,48,48,45
2019-05,8,0,36,38,55
2019-06,6,0,32,30,34
2019-07,13,0,42,43,47
2019-08,6,0,39,40,40
2019-09,11,0,43,44,48
2019-10,13,0,46,45,56
2019-11,30,0,52,53,42
2019-12,11,0,46,45,41
2020-01,7,0,45,46,40
2020-02,13,0,47,48,48
2020-03,5,0,39,41,36
2020-04,2,0,37,37,37
2020-05,3,0,38,38,34
2020-06,7,0,40,40,42
2020-07,6,0,46,45,44
2020-08,6,0,40,40,37
2020-09,6,0,36,37,36
2020-10,7,0,32,32,37
2020-11,13,0,41,41,32
2020-12,5,0,37,37,34
2021-01,5,0,34,34,37
2021-02,6,0,38,38,39
2021-03,5,0,37,36,35
2021-04,6,0,32,32,35
2021-05,6,0,33,33,34
2021-06,8,0,35,35,31
2021-07,5,0,34,34,28
2021-08,7,0,34,34,30
2021-09,8,0,32,32,29
2021-10,9,0,34,35,29
2021-11,16,0,44,45,36
2021-12,7,0,39,39,26
2022-01,8,0,42,41,31
2022-02,7,0,36,36,28
2022-03,10,0,38,37,36
2022-04,9,0,35,35,33
2022-05,11,3,32,33,33
2022-06,10,1,36,36,35
2022-07,7,0,33,33,25
2022-08,11,2,37,37,31
2022-09,8,0,34,34,35
2022-10,10,0,35,34,33
2022-11,17,0,33,34,33
2022-12,7,0,30,30,24
2023-01,10,0,32,31,25
2023-02,7,0,32,32,26
2023-03,10,0,30,30,27
2023-04,9,0,30,30,25
2023-05,11,0,33,33,29
2023-06,10,0,32,31,29
2023-07,10,0,28,29,22
2023-08,11,0,31,31,26
2023-09,10,0,27,27,23
2023-10,12,0,26,26,23
2023-11,20,0,30,30,24
2023-12,11,0,27,26,22
2024-01,13,0,26,26,23
2024-02,9,0,30,30,25
2024-03,8,0,25,25,24
2024-04,11,0,22,22,20
2024-05,11,0,26,26,24
2024-06,11,0,21,22,20
2024-07,13,0,22,22,24
2024-08,10,0,21,21,24
2024-09,13,0,22,22,25
2024-10,11,0,25,25,26
2024-11,17,0,24,24,25
2024-12,14,0,23,24,23
2025-01,11,0,24,24,24
2025-02,12,0,23,22,25
2025-03,8,0,22,23,27
2025-04,9,0,27,27,24
2025-05,8,0,24,24,24
2025-06,8,0,28,28,23
2025-07,10,0,26,27,20
2025-08,17,0,26,26,26
2025-09,13,<1,23,23,21
