Category: All categories

Month,rice: (Rangpur Division),cotton: (Rangpur Division),cotton: (Rangpur Division),cotton: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,88
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,67
2016-09,0,0,0,0,48
2016-10,0,0,0,0,52
2016-11,0,0,0,0,98
2016-12,0,0,0,0,86
2017-01,0,0,0,0,0
2017-02,0,0,0,0,70
2017-03,0,0,0,0,100
2017-04,0,0,0,0,80
2017-05,0,0,0,0,67
2017-06,0,0,0,0,58
2017-07,0,0,0,0,54
2017-08,0,0,0,0,34
2017-09,0,0,0,0,47
2017-10,22,0,0,0,89
2017-11,0,0,0,0,67
2017-12,16,0,0,0,54
2018-01,15,0,0,0,42
2018-02,17,0,0,0,58
2018-03,19,0,0,0,48
2018-04,14,0,0,0,73
2018-05,12,0,0,0,58
2018-06,0,0,0,0,52
2018-07,13,0,0,0,46
2018-08,11,0,0,0,44
2018-09,13,0,0,0,48
2018-10,14,0,0,0,43
2018-11,12,0,0,0,56
2018-12,10,0,0,0,47
2019-01,17,0,0,0,50
2019-02,11,0,0,0,54
2019-03,12,0,0,0,54
2019-04,12,0,0,0,49
2019-05,16,0,0,0,60
2019-06,7,4,4,4,37
2019-07,16,0,0,0,52
2019-08,10,0,0,0,44
2019-09,12,6,6,6,52
2019-10,10,0,0,0,61
2019-11,19,0,0,0,46
2019-12,15,0,0,0,45
2020-01,17,5,5,5,43
2020-02,10,0,0,0,52
2020-03,9,4,4,4,39
2020-04,11,4,4,4,40
2020-05,11,4,4,4,38
2020-06,12,4,4,4,46
2020-07,13,4,4,4,48
2020-08,11,4,4,4,41
2020-09,12,3,3,3,39
2020-10,10,2,2,2,41
2020-11,12,4,4,4,35
2020-12,10,4,4,4,37
2021-01,10,2,2,2,41
2021-02,11,3,3,3,42
2021-03,12,3,3,3,38
2021-04,11,3,3,3,38
2021-05,10,4,4,4,37
2021-06,12,5,5,5,34
2021-07,9,4,4,4,31
2021-08,10,3,3,3,33
2021-09,9,4,4,4,32
2021-10,10,6,6,6,31
2021-11,13,5,5,5,40
2021-12,12,4,4,4,28
2022-01,10,2,2,2,34
2022-02,11,3,3,3,30
2022-03,15,4,4,4,39
2022-04,14,4,4,4,36
2022-05,12,3,3,3,36
2022-06,12,4,4,4,38
2022-07,11,4,4,4,27
2022-08,14,4,4,4,34
2022-09,13,5,5,5,38
2022-10,11,3,3,3,36
2022-11,13,3,3,3,36
2022-12,10,2,2,2,26
2023-01,11,2,2,2,28
2023-02,13,3,3,3,28
2023-03,12,3,3,3,29
2023-04,11,3,3,3,27
2023-05,12,3,3,3,31
2023-06,11,3,3,3,31
2023-07,11,2,2,2,24
2023-08,11,2,2,2,28
2023-09,11,3,3,3,25
2023-10,12,2,2,2,26
2023-11,12,2,2,2,26
2023-12,11,3,3,3,24
2024-01,11,3,3,3,25
2024-02,10,2,2,2,28
2024-03,10,3,3,3,26
2024-04,7,3,3,3,22
2024-05,9,3,3,3,27
2024-06,8,2,2,2,21
2024-07,6,1,1,1,26
2024-08,8,2,2,2,26
2024-09,9,2,2,2,27
2024-10,9,2,2,2,29
2024-11,8,2,2,2,28
2024-12,9,2,2,2,25
2025-01,9,2,2,2,27
2025-02,10,2,2,2,27
2025-03,10,4,4,4,30
2025-04,10,2,2,2,26
2025-05,11,2,2,2,26
2025-06,9,2,2,2,25
2025-07,8,1,1,1,22
2025-08,10,3,3,3,28
2025-09,9,2,2,2,23
