Category: All categories

Month,crop: (Rangpur Division),harvest: (Rangpur Division),food: (Rangpur Division),field: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,88
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,62,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,67
2016-09,0,0,0,0,48
2016-10,0,0,39,0,52
2016-11,0,0,41,0,98
2016-12,0,0,0,0,86
2017-01,0,0,0,0,0
2017-02,0,0,58,0,70
2017-03,0,0,33,0,100
2017-04,0,0,45,26,80
2017-05,0,0,44,0,67
2017-06,0,0,31,0,58
2017-07,0,0,33,0,54
2017-08,0,0,35,0,34
2017-09,0,0,34,0,47
2017-10,0,0,44,0,89
2017-11,0,0,32,0,67
2017-12,0,0,27,0,54
2018-01,0,0,32,0,42
2018-02,0,0,34,0,58
2018-03,0,0,33,21,48
2018-04,0,0,46,20,73
2018-05,0,0,41,15,58
2018-06,0,0,29,0,52
2018-07,0,0,62,0,46
2018-08,0,0,61,0,44
2018-09,0,0,40,0,48
2018-10,0,0,43,23,43
2018-11,0,0,49,10,56
2018-12,0,0,32,10,47
2019-01,0,0,37,0,50
2019-02,0,0,40,0,54
2019-03,0,0,43,9,54
2019-04,0,0,43,8,49
2019-05,0,0,43,8,60
2019-06,0,0,31,5,37
2019-07,0,0,31,12,52
2019-08,0,0,26,9,44
2019-09,0,0,36,9,52
2019-10,6,0,38,21,61
2019-11,0,0,44,17,46
2019-12,0,0,32,5,45
2020-01,4,0,41,10,43
2020-02,0,0,48,9,52
2020-03,3,0,31,6,39
2020-04,0,0,27,4,40
2020-05,0,0,23,5,38
2020-06,2,0,26,5,46
2020-07,0,0,30,7,48
2020-08,2,1,32,8,41
2020-09,2,0,27,8,39
2020-10,0,0,28,8,41
2020-11,0,0,42,6,35
2020-12,2,0,30,6,37
2021-01,2,0,28,9,41
2021-02,2,0,26,6,42
2021-03,3,0,26,6,38
2021-04,3,0,26,7,38
2021-05,1,0,25,3,37
2021-06,2,2,34,4,34
2021-07,1,0,25,4,31
2021-08,2,0,29,6,33
2021-09,3,0,27,9,32
2021-10,3,0,33,5,31
2021-11,0,0,62,7,40
2021-12,2,0,39,6,28
2022-01,4,0,34,6,34
2022-02,3,1,30,8,30
2022-03,5,0,30,7,39
2022-04,4,1,29,6,36
2022-05,3,0,30,7,36
2022-06,2,0,31,9,38
2022-07,3,0,28,7,27
2022-08,3,0,29,7,34
2022-09,3,0,29,7,38
2022-10,3,0,30,6,36
2022-11,3,0,28,6,36
2022-12,2,0,26,4,26
2023-01,3,0,25,6,28
2023-02,2,0,26,7,28
2023-03,2,0,25,5,29
2023-04,3,0,21,5,27
2023-05,2,0,26,7,31
2023-06,3,0,28,9,31
2023-07,2,0,23,6,24
2023-08,3,0,27,6,28
2023-09,4,1,34,5,25
2023-10,3,1,33,6,26
2023-11,2,0,25,5,26
2023-12,3,0,26,5,24
2024-01,3,0,26,5,25
2024-02,3,0,24,6,28
2024-03,3,0,24,7,26
2024-04,2,0,21,4,22
2024-05,3,1,26,3,27
2024-06,2,0,19,4,21
2024-07,2,0,21,4,26
2024-08,2,0,18,3,26
2024-09,2,0,22,3,27
2024-10,4,0,25,5,29
2024-11,3,1,24,5,28
2024-12,3,0,22,4,25
2025-01,3,0,21,4,27
2025-02,4,0,23,3,27
2025-03,3,0,26,4,30
2025-04,3,0,25,5,26
2025-05,2,1,28,5,26
2025-06,3,0,20,4,25
2025-07,2,0,22,4,22
2025-08,4,0,23,4,28
2025-09,3,<1,19,4,23
