Category: All categories

Month,army: (Rangpur Division),road: (Rangpur Division),road: (Rangpur Division),road: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,100,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,85
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,92,0,0,0,0
2016-07,68,0,0,0,0
2016-08,0,0,0,0,65
2016-09,0,0,0,0,47
2016-10,60,0,0,0,51
2016-11,64,0,0,0,95
2016-12,65,38,31,47,84
2017-01,31,0,0,0,0
2017-02,34,0,0,0,69
2017-03,45,0,23,28,97
2017-04,0,32,27,27,78
2017-05,30,30,31,31,65
2017-06,40,39,30,38,57
2017-07,36,0,20,0,53
2017-08,31,22,27,23,33
2017-09,44,29,40,35,45
2017-10,43,36,35,32,87
2017-11,47,23,27,25,66
2017-12,42,29,27,28,53
2018-01,43,26,28,23,41
2018-02,52,19,25,21,57
2018-03,25,26,25,19,47
2018-04,15,23,23,19,71
2018-05,29,22,28,27,57
2018-06,43,22,21,21,51
2018-07,35,19,18,18,45
2018-08,35,36,30,33,43
2018-09,36,31,35,29,47
2018-10,27,25,23,23,42
2018-11,46,29,28,27,54
2018-12,36,18,16,20,46
2019-01,35,14,19,18,49
2019-02,45,19,22,22,53
2019-03,25,23,24,24,52
2019-04,28,18,22,20,48
2019-05,33,20,21,17,59
2019-06,32,23,22,22,36
2019-07,31,31,35,34,50
2019-08,29,17,20,18,43
2019-09,31,21,25,23,51
2019-10,44,23,22,22,59
2019-11,44,24,25,25,44
2019-12,42,20,23,22,44
2020-01,41,20,22,22,42
2020-02,42,22,23,23,51
2020-03,26,18,18,18,38
2020-04,22,12,11,13,39
2020-05,22,13,13,14,37
2020-06,30,12,10,11,45
2020-07,31,13,13,14,46
2020-08,41,16,16,16,40
2020-09,35,14,15,15,38
2020-10,28,14,14,14,40
2020-11,43,12,13,13,34
2020-12,43,14,14,15,36
2021-01,41,16,16,16,40
2021-02,32,17,16,16,41
2021-03,28,25,25,25,37
2021-04,22,12,14,13,37
2021-05,27,15,14,15,36
2021-06,25,13,13,13,33
2021-07,23,11,11,12,30
2021-08,28,14,13,14,32
2021-09,24,15,15,15,31
2021-10,23,16,17,16,30
2021-11,36,19,19,19,39
2021-12,38,17,17,18,28
2022-01,46,17,17,17,33
2022-02,28,17,17,16,30
2022-03,35,21,21,20,38
2022-04,32,17,17,17,35
2022-05,27,18,18,18,35
2022-06,31,20,20,20,37
2022-07,29,19,19,19,27
2022-08,28,17,17,17,33
2022-09,29,21,21,21,37
2022-10,24,18,18,18,35
2022-11,21,16,16,16,35
2022-12,38,14,13,13,26
2023-01,30,15,16,15,27
2023-02,30,16,16,16,28
2023-03,27,14,14,14,29
2023-04,19,14,14,14,26
2023-05,21,17,16,17,31
2023-06,23,18,17,18,30
2023-07,23,15,15,15,23
2023-08,23,17,18,18,27
2023-09,22,15,16,16,24
2023-10,21,14,14,14,25
2023-11,19,14,14,14,26
2023-12,33,15,15,15,24
2024-01,35,14,14,14,24
2024-02,24,16,15,15,27
2024-03,23,17,17,17,26
2024-04,19,14,15,14,21
2024-05,17,14,14,14,26
2024-06,15,12,12,12,21
2024-07,18,14,13,14,26
2024-08,29,13,13,13,26
2024-09,20,11,11,11,26
2024-10,21,14,14,14,28
2024-11,28,15,14,15,27
2024-12,32,13,13,13,24
2025-01,22,13,13,13,26
2025-02,17,12,12,13,27
2025-03,19,13,13,12,29
2025-04,19,13,12,13,25
2025-05,14,14,15,14,26
2025-06,16,13,14,14,24
2025-07,17,15,16,15,22
2025-08,20,20,21,20,27
2025-09,23,17,17,17,22
