Category: All categories

Month,directorate: (Rangpur Division),planning: (Rangpur Division),parliament: (Rangpur Division),MP: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,88
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,67
2016-09,0,0,0,0,48
2016-10,0,0,0,0,52
2016-11,0,0,0,0,98
2016-12,0,0,0,0,86
2017-01,0,0,0,0,0
2017-02,0,0,0,0,70
2017-03,0,0,0,0,100
2017-04,0,0,0,0,80
2017-05,0,0,0,0,67
2017-06,0,0,0,48,58
2017-07,0,24,0,0,54
2017-08,0,32,0,0,34
2017-09,0,0,0,0,47
2017-10,0,17,0,21,89
2017-11,0,0,0,0,67
2017-12,0,0,0,0,54
2018-01,0,0,0,0,42
2018-02,0,0,0,20,58
2018-03,0,17,0,0,48
2018-04,0,0,0,13,73
2018-05,0,14,0,13,58
2018-06,11,18,0,0,52
2018-07,0,0,0,10,46
2018-08,0,0,0,17,44
2018-09,0,8,0,0,48
2018-10,0,19,0,11,43
2018-11,0,15,0,11,56
2018-12,12,0,0,10,47
2019-01,0,0,0,19,50
2019-02,0,0,9,11,54
2019-03,0,10,7,10,54
2019-04,0,12,7,7,49
2019-05,0,0,0,0,60
2019-06,0,6,0,10,37
2019-07,0,8,0,6,52
2019-08,0,5,0,14,44
2019-09,0,7,0,12,52
2019-10,0,10,0,17,61
2019-11,0,9,0,9,46
2019-12,9,7,0,8,45
2020-01,0,6,0,10,43
2020-02,0,7,0,8,52
2020-03,0,11,0,8,39
2020-04,0,6,2,12,40
2020-05,0,3,0,8,38
2020-06,0,4,0,8,46
2020-07,0,3,1,8,48
2020-08,0,3,0,8,41
2020-09,0,4,0,9,39
2020-10,0,4,0,12,41
2020-11,1,9,1,8,35
2020-12,2,6,0,8,37
2021-01,0,4,0,8,41
2021-02,0,5,0,9,42
2021-03,2,5,0,5,38
2021-04,1,3,0,6,38
2021-05,0,3,0,8,37
2021-06,2,5,0,6,34
2021-07,0,4,0,7,31
2021-08,1,8,1,6,33
2021-09,1,10,1,5,32
2021-10,2,9,2,6,31
2021-11,3,9,0,4,40
2021-12,0,5,0,6,28
2022-01,0,5,0,7,34
2022-02,1,5,0,6,30
2022-03,0,7,1,6,39
2022-04,1,6,1,7,36
2022-05,2,3,1,8,36
2022-06,1,4,1,9,38
2022-07,0,4,0,8,27
2022-08,0,4,1,7,34
2022-09,0,3,1,6,38
2022-10,1,9,0,6,36
2022-11,1,14,1,5,36
2022-12,1,5,0,3,26
2023-01,2,9,1,6,28
2023-02,3,12,1,6,28
2023-03,4,7,1,5,29
2023-04,1,3,0,4,27
2023-05,1,6,1,6,31
2023-06,0,9,0,6,31
2023-07,2,3,1,5,24
2023-08,1,5,2,6,28
2023-09,1,4,1,6,25
2023-10,1,3,0,5,26
2023-11,2,4,1,9,26
2023-12,2,3,2,8,24
2024-01,1,3,2,14,25
2024-02,0,2,0,6,28
2024-03,0,3,1,6,26
2024-04,1,2,0,5,22
2024-05,0,3,1,7,27
2024-06,0,2,1,7,21
2024-07,0,1,0,6,26
2024-08,0,2,0,7,26
2024-09,0,1,0,5,27
2024-10,0,2,0,3,29
2024-11,0,3,0,3,28
2024-12,1,2,1,4,25
2025-01,0,3,1,4,27
2025-02,0,2,0,3,27
2025-03,0,2,0,4,30
2025-04,0,2,0,4,26
2025-05,0,2,1,3,26
2025-06,0,1,0,3,25
2025-07,0,2,0,3,22
2025-08,0,2,0,4,29
2025-09,1,2,1,3,22
