Category: All categories

Month,registration: (Rangpur Division),register: (Rangpur Division),register: (Rangpur Division),administration: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,49,0,0,0,0
2016-03,0,0,0,0,67
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,51
2016-09,0,0,0,0,37
2016-10,0,0,0,0,40
2016-11,57,0,0,0,75
2016-12,26,0,0,0,66
2017-01,31,0,0,0,0
2017-02,0,0,0,0,54
2017-03,28,0,0,0,76
2017-04,0,0,0,0,61
2017-05,25,0,0,0,51
2017-06,0,0,0,0,45
2017-07,15,0,0,0,42
2017-08,19,0,0,0,26
2017-09,15,0,0,0,36
2017-10,18,0,0,0,68
2017-11,29,0,0,0,52
2017-12,23,0,0,0,41
2018-01,25,0,0,0,32
2018-02,20,0,0,0,45
2018-03,18,0,0,0,37
2018-04,16,0,0,0,55
2018-05,18,0,0,0,44
2018-06,15,0,0,0,40
2018-07,17,0,0,0,35
2018-08,15,0,0,0,34
2018-09,18,0,0,0,37
2018-10,20,7,0,0,33
2018-11,25,0,0,6,43
2018-12,19,0,0,0,36
2019-01,22,0,0,9,38
2019-02,18,0,6,0,41
2019-03,23,0,0,0,41
2019-04,17,0,0,0,37
2019-05,24,0,0,0,46
2019-06,15,0,0,3,28
2019-07,18,0,0,0,40
2019-08,17,0,0,0,33
2019-09,25,0,6,0,40
2019-10,29,0,0,5,47
2019-11,27,0,0,0,35
2019-12,24,0,0,7,34
2020-01,28,3,4,4,33
2020-02,30,4,6,4,40
2020-03,21,2,2,3,30
2020-04,12,2,2,2,31
2020-05,21,3,3,1,29
2020-06,17,2,2,2,35
2020-07,16,3,3,2,36
2020-08,22,3,3,3,31
2020-09,38,4,4,2,30
2020-10,21,2,3,2,31
2020-11,16,2,2,2,27
2020-12,17,2,3,2,28
2021-01,22,2,2,2,31
2021-02,49,3,3,4,32
2021-03,39,3,3,2,29
2021-04,23,2,3,3,29
2021-05,20,4,3,1,28
2021-06,23,2,3,2,26
2021-07,100,4,4,1,23
2021-08,84,3,3,3,25
2021-09,69,2,2,4,25
2021-10,51,3,3,2,24
2021-11,58,2,3,4,30
2021-12,34,4,5,3,22
2022-01,65,4,4,4,26
2022-02,60,4,3,5,23
2022-03,46,4,4,3,30
2022-04,33,4,4,3,28
2022-05,29,3,3,2,27
2022-06,31,3,3,3,29
2022-07,25,3,3,1,21
2022-08,34,3,3,2,26
2022-09,34,4,4,3,29
2022-10,35,3,3,1,27
2022-11,27,2,3,2,27
2022-12,25,3,3,3,20
2023-01,28,3,3,5,21
2023-02,27,3,3,2,22
2023-03,28,3,4,2,23
2023-04,21,2,3,1,21
2023-05,21,3,3,2,24
2023-06,21,3,3,3,24
2023-07,21,3,3,2,18
2023-08,24,3,3,3,21
2023-09,24,3,3,3,19
2023-10,23,3,3,2,20
2023-11,28,2,3,2,20
2023-12,22,3,3,2,18
2024-01,23,3,3,2,19
2024-02,26,2,2,2,21
2024-03,21,3,3,2,20
2024-04,18,3,3,1,17
2024-05,20,3,3,2,20
2024-06,17,3,3,1,16
2024-07,16,3,3,2,20
2024-08,14,4,4,2,20
2024-09,19,5,5,2,21
2024-10,37,4,4,2,22
2024-11,25,4,4,2,21
2024-12,18,3,4,1,19
2025-01,19,3,3,1,20
2025-02,15,4,3,1,21
2025-03,17,4,4,1,23
2025-04,17,4,4,1,20
2025-05,15,4,3,1,20
2025-06,13,3,3,1,19
2025-07,14,3,3,1,17
2025-08,42,4,4,2,22
2025-09,60,4,4,2,17
