Category: All categories

Month,ministry: (Rangpur Division),official: (Rangpur Division),candidate: (Rangpur Division),prime minister: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,86,0,0,0,0
2016-02,67,0,0,0,0
2016-03,65,0,0,0,88
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,82,0,0,0,0
2016-07,59,0,0,0,0
2016-08,59,0,0,0,67
2016-09,0,0,0,0,48
2016-10,59,0,0,0,52
2016-11,0,0,0,0,98
2016-12,0,0,0,0,86
2017-01,0,0,0,0,0
2017-02,0,0,0,0,70
2017-03,36,23,0,0,100
2017-04,0,0,0,0,80
2017-05,38,29,0,0,67
2017-06,40,0,0,0,58
2017-07,25,24,0,0,54
2017-08,40,0,0,18,34
2017-09,30,23,0,0,47
2017-10,38,19,17,0,89
2017-11,25,23,0,0,67
2017-12,45,15,0,0,54
2018-01,38,20,0,0,42
2018-02,43,13,0,0,58
2018-03,24,16,0,0,48
2018-04,30,19,0,13,73
2018-05,39,20,0,0,58
2018-06,32,22,0,0,52
2018-07,36,22,0,0,46
2018-08,45,21,0,0,44
2018-09,30,19,0,0,48
2018-10,34,20,0,0,43
2018-11,29,20,0,0,56
2018-12,27,13,0,0,47
2019-01,34,19,0,0,50
2019-02,37,27,0,0,54
2019-03,32,13,0,0,54
2019-04,33,22,0,0,49
2019-05,35,14,0,0,60
2019-06,22,14,0,0,37
2019-07,25,20,0,0,52
2019-08,15,18,0,8,44
2019-09,26,23,0,14,52
2019-10,39,26,0,10,61
2019-11,34,25,0,0,46
2019-12,37,29,0,0,45
2020-01,25,25,0,5,43
2020-02,25,22,0,5,52
2020-03,18,29,0,8,39
2020-04,11,19,0,6,40
2020-05,14,23,0,3,38
2020-06,15,31,0,2,46
2020-07,14,37,0,3,48
2020-08,14,30,0,3,41
2020-09,11,31,0,4,39
2020-10,11,31,0,2,41
2020-11,9,30,1,2,35
2020-12,12,34,0,2,37
2021-01,12,32,0,4,41
2021-02,15,28,0,6,42
2021-03,18,28,1,5,38
2021-04,8,27,1,4,38
2021-05,6,31,1,4,37
2021-06,11,31,2,5,34
2021-07,7,36,2,3,31
2021-08,8,37,1,1,33
2021-09,7,32,2,3,32
2021-10,11,32,2,2,31
2021-11,12,28,2,3,40
2021-12,15,30,0,3,28
2022-01,16,41,0,2,34
2022-02,17,42,1,2,30
2022-03,11,40,1,5,39
2022-04,9,43,0,9,36
2022-05,8,36,1,4,36
2022-06,9,38,2,3,38
2022-07,8,39,0,3,27
2022-08,9,37,1,3,34
2022-09,9,37,1,5,38
2022-10,8,36,1,4,36
2022-11,14,31,1,3,36
2022-12,11,30,0,3,26
2023-01,11,29,0,3,28
2023-02,14,29,0,2,28
2023-03,8,25,1,2,29
2023-04,6,26,1,2,27
2023-05,8,23,1,2,31
2023-06,8,29,1,5,31
2023-07,13,28,1,2,24
2023-08,9,29,1,3,28
2023-09,12,28,0,2,25
2023-10,7,24,1,3,26
2023-11,10,22,0,2,26
2023-12,7,23,2,3,24
2024-01,9,25,2,4,25
2024-02,6,27,1,2,28
2024-03,6,25,1,2,26
2024-04,6,25,1,2,22
2024-05,10,28,1,2,27
2024-06,6,27,1,3,21
2024-07,7,28,0,3,26
2024-08,7,29,0,15,26
2024-09,7,26,1,2,27
2024-10,7,27,1,2,29
2024-11,6,26,1,1,28
2024-12,5,24,0,2,25
2025-01,6,27,1,0,27
2025-02,5,29,0,0,27
2025-03,4,33,0,2,30
2025-04,4,27,1,1,26
2025-05,4,25,0,0,26
2025-06,3,29,0,2,25
2025-07,9,35,0,1,22
2025-08,5,38,0,0,29
2025-09,5,33,1,6,22
