Category: All categories

Month,cash assistance: (Rangpur Division),medicine: (Rangpur Division),medicine: (Rangpur Division),medicine: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,88
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,67
2016-09,0,0,0,0,48
2016-10,0,0,0,0,52
2016-11,0,69,0,0,98
2016-12,0,0,32,0,86
2017-01,0,35,33,37,0
2017-02,0,37,0,49,70
2017-03,0,0,0,0,100
2017-04,0,0,0,0,80
2017-05,0,0,34,0,67
2017-06,0,0,0,23,58
2017-07,0,35,22,0,54
2017-08,0,19,25,0,34
2017-09,0,26,26,22,47
2017-10,0,22,28,31,89
2017-11,0,15,22,14,67
2017-12,0,14,14,13,54
2018-01,0,25,28,25,42
2018-02,0,18,20,31,58
2018-03,0,17,22,24,48
2018-04,0,25,22,24,73
2018-05,0,38,37,36,58
2018-06,0,21,20,22,52
2018-07,0,27,28,28,46
2018-08,0,40,39,41,44
2018-09,0,28,29,25,48
2018-10,0,21,31,30,43
2018-11,0,24,23,20,56
2018-12,0,21,24,24,47
2019-01,0,26,29,25,50
2019-02,0,28,35,31,54
2019-03,0,30,30,31,54
2019-04,0,29,33,34,49
2019-05,0,28,28,27,60
2019-06,0,31,32,32,37
2019-07,0,27,26,26,52
2019-08,0,31,31,30,44
2019-09,0,36,36,38,52
2019-10,0,29,30,27,61
2019-11,0,32,30,31,46
2019-12,0,32,31,32,45
2020-01,0,25,25,24,43
2020-02,0,31,33,31,52
2020-03,0,31,31,30,39
2020-04,0,32,32,32,40
2020-05,0,28,28,28,38
2020-06,0,25,25,25,46
2020-07,0,24,25,25,48
2020-08,0,23,24,23,41
2020-09,0,25,25,25,39
2020-10,0,22,22,22,41
2020-11,0,21,21,20,35
2020-12,0,19,20,19,37
2021-01,0,23,22,21,41
2021-02,0,19,20,21,42
2021-03,0,23,23,24,38
2021-04,0,20,20,20,38
2021-05,0,19,19,19,37
2021-06,0,22,22,21,34
2021-07,0,22,22,22,31
2021-08,0,21,21,21,33
2021-09,0,20,21,21,32
2021-10,0,23,21,22,31
2021-11,0,24,25,25,40
2021-12,0,20,19,18,28
2022-01,0,22,21,21,34
2022-02,0,21,22,22,30
2022-03,0,24,23,23,39
2022-04,0,21,21,21,36
2022-05,0,22,22,22,36
2022-06,0,21,22,22,38
2022-07,0,23,23,22,27
2022-08,0,22,22,22,34
2022-09,0,21,21,21,38
2022-10,0,22,22,22,36
2022-11,0,19,18,19,36
2022-12,0,18,18,18,26
2023-01,0,20,20,20,28
2023-02,0,22,22,21,28
2023-03,0,21,20,20,29
2023-04,0,19,19,19,27
2023-05,0,19,19,19,31
2023-06,0,21,20,21,31
2023-07,0,23,23,23,24
2023-08,0,23,23,24,28
2023-09,0,22,22,22,25
2023-10,0,19,18,18,26
2023-11,0,18,18,19,26
2023-12,0,19,20,19,24
2024-01,0,18,17,18,25
2024-02,0,20,20,20,28
2024-03,0,18,18,18,26
2024-04,0,18,18,18,22
2024-05,0,16,16,17,27
2024-06,0,13,13,13,21
2024-07,0,15,15,15,26
2024-08,0,14,14,15,26
2024-09,0,14,14,14,27
2024-10,0,15,15,15,29
2024-11,0,19,18,19,28
2024-12,0,17,17,18,25
2025-01,0,15,15,15,27
2025-02,0,15,16,15,27
2025-03,0,15,16,16,30
2025-04,0,16,16,16,26
2025-05,0,17,17,17,26
2025-06,0,16,16,16,25
2025-07,0,15,15,15,22
2025-08,0,18,18,18,28
2025-09,0,16,16,16,23
