Category: All categories

Month,নিবন্ধন: (Sylhet Division),নিবন্ধন: (Sylhet Division),তালিকা: (Sylhet Division),প্রশাসন: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,100
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,38
2014-07,0,0,0,0,0
2014-08,0,0,0,0,25
2014-09,0,0,0,0,25
2014-10,0,0,0,0,9
2014-11,0,0,2,0,13
2014-12,0,0,0,0,13
2015-01,0,0,4,0,12
2015-02,5,0,5,0,15
2015-03,0,0,0,0,11
2015-04,0,0,0,0,11
2015-05,0,0,0,0,10
2015-06,0,0,0,0,16
2015-07,0,0,0,0,0
2015-08,0,0,0,0,19
2015-09,0,0,0,0,17
2015-10,0,0,0,0,28
2015-11,0,0,0,29,27
2015-12,0,0,0,0,39
2016-01,0,0,0,0,25
2016-02,0,0,0,0,17
2016-03,0,0,0,0,20
2016-04,0,0,0,0,16
2016-05,0,0,0,0,24
2016-06,0,0,0,0,17
2016-07,0,0,0,0,20
2016-08,0,0,0,0,19
2016-09,0,0,0,0,11
2016-10,0,0,0,0,23
2016-11,0,0,0,0,23
2016-12,0,0,0,0,18
2017-01,0,0,5,0,19
2017-02,0,0,5,0,20
2017-03,0,0,0,0,15
2017-04,0,0,0,0,17
2017-05,0,0,6,0,19
2017-06,0,0,0,0,12
2017-07,0,0,6,0,18
2017-08,3,4,6,0,19
2017-09,0,0,6,0,13
2017-10,0,0,8,0,15
2017-11,3,3,4,0,18
2017-12,2,3,6,0,17
2018-01,3,3,6,0,14
2018-02,2,2,5,0,13
2018-03,0,0,5,0,20
2018-04,3,3,7,0,18
2018-05,3,0,8,0,15
2018-06,3,3,7,0,15
2018-07,2,0,7,0,18
2018-08,3,0,9,0,19
2018-09,3,2,8,0,16
2018-10,3,3,8,0,16
2018-11,4,4,9,0,17
2018-12,3,3,10,0,13
2019-01,5,4,13,0,14
2019-02,2,3,11,0,20
2019-03,4,3,9,0,19
2019-04,6,6,9,0,21
2019-05,4,4,10,0,26
2019-06,6,5,11,0,20
2019-07,4,3,10,0,21
2019-08,8,8,11,0,19
2019-09,6,7,15,0,18
2019-10,5,5,16,0,19
2019-11,4,4,11,0,19
2019-12,4,4,15,0,15
2020-01,7,6,16,0,17
2020-02,9,8,12,0,19
2020-03,4,4,12,0,20
2020-04,0,0,11,0,18
2020-05,3,2,12,0,18
2020-06,3,3,11,1,22
2020-07,2,3,12,0,23
2020-08,4,4,12,0,20
2020-09,6,6,13,0,20
2020-10,5,5,14,0,21
2020-11,5,5,22,0,17
2020-12,6,6,15,2,18
2021-01,7,7,16,1,16
2021-02,9,9,16,0,16
2021-03,12,12,16,0,16
2021-04,5,6,13,0,14
2021-05,17,17,13,0,14
2021-06,19,18,17,0,16
2021-07,21,21,13,0,13
2021-08,34,34,16,1,15
2021-09,32,32,20,1,14
2021-10,35,35,17,0,13
2021-11,29,29,15,1,15
2021-12,23,23,15,1,12
2022-01,46,46,17,0,14
2022-02,47,47,18,1,14
2022-03,33,33,17,1,16
2022-04,21,21,16,1,16
2022-05,22,22,17,1,16
2022-06,23,23,14,1,17
2022-07,19,19,15,0,15
2022-08,35,35,16,<1,17
2022-09,35,34,16,1,19
2022-10,27,27,16,<1,18
2022-11,18,17,16,1,19
2022-12,16,16,19,1,11
2023-01,20,20,17,1,12
2023-02,15,15,18,0,14
2023-03,11,11,16,1,13
2023-04,8,8,14,0,11
2023-05,13,13,15,1,16
2023-06,9,9,17,1,16
2023-07,15,15,15,1,13
2023-08,15,15,16,1,15
2023-09,13,13,16,1,15
2023-10,15,15,15,<1,13
2023-11,27,27,17,1,15
2023-12,15,15,17,1,12
2024-01,17,17,21,1,12
2024-02,14,15,17,<1,13
2024-03,15,14,15,1,12
2024-04,9,9,14,0,11
2024-05,13,13,17,1,12
2024-06,8,9,15,0,10
2024-07,11,11,15,0,12
2024-08,8,8,16,<1,12
2024-09,12,12,16,1,13
2024-10,13,13,16,1,12
2024-11,12,12,14,<1,13
2024-12,11,11,14,1,12
2025-01,18,18,15,1,14
2025-02,15,15,12,1,10
2025-03,9,9,10,<1,11
2025-04,9,9,13,<1,11
2025-05,9,9,11,0,11
2025-06,9,9,11,0,12
2025-07,10,10,12,1,11
2025-08,14,14,12,1,11
2025-09,16,17,12,1,10
