Category: All categories

Month,officer: (Sylhet Division),officers: (Sylhet Division),judge: (Sylhet Division),judge: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,100,100,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,95,95,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,95
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,72
2014-07,0,0,0,0,0
2014-08,0,0,0,0,46
2014-09,0,0,0,0,0
2014-10,5,0,0,0,13
2014-11,5,0,0,0,21
2014-12,0,0,0,0,23
2015-01,9,0,0,0,20
2015-02,8,0,0,0,26
2015-03,0,0,8,8,16
2015-04,8,0,0,0,18
2015-05,6,0,0,0,18
2015-06,11,0,0,0,30
2015-07,0,0,0,0,78
2015-08,0,0,0,0,31
2015-09,34,0,0,0,31
2015-10,0,0,0,0,54
2015-11,0,0,0,0,57
2015-12,0,43,0,0,68
2016-01,0,0,0,0,41
2016-02,0,0,0,0,34
2016-03,13,0,16,16,36
2016-04,0,0,11,11,32
2016-05,0,0,0,0,37
2016-06,14,0,0,0,20
2016-07,0,0,17,17,40
2016-08,0,0,12,12,32
2016-09,0,0,0,0,24
2016-10,17,0,16,16,40
2016-11,0,0,11,11,32
2016-12,8,0,0,0,31
2017-01,8,0,0,0,35
2017-02,0,0,0,0,33
2017-03,0,0,10,10,28
2017-04,8,0,10,10,32
2017-05,12,0,11,11,33
2017-06,13,0,0,0,18
2017-07,14,0,7,7,31
2017-08,9,0,6,6,25
2017-09,11,0,0,0,20
2017-10,11,0,0,0,24
2017-11,10,0,8,8,30
2017-12,11,0,0,0,26
2018-01,10,0,0,0,25
2018-02,7,0,3,3,24
2018-03,13,0,6,6,33
2018-04,10,0,6,6,31
2018-05,9,0,5,5,24
2018-06,8,0,0,0,25
2018-07,11,0,4,4,30
2018-08,11,0,4,4,31
2018-09,8,0,0,0,25
2018-10,10,0,4,4,27
2018-11,10,0,0,0,30
2018-12,7,0,0,0,22
2019-01,9,0,5,5,24
2019-02,12,0,8,8,32
2019-03,10,0,8,8,33
2019-04,10,0,6,6,35
2019-05,12,0,4,4,43
2019-06,7,0,5,5,32
2019-07,9,0,3,3,35
2019-08,11,0,5,5,33
2019-09,10,0,6,6,32
2019-10,14,0,0,0,32
2019-11,12,0,0,0,31
2019-12,11,0,4,4,26
2020-01,10,0,6,6,29
2020-02,8,0,6,6,33
2020-03,7,0,5,5,33
2020-04,7,0,7,7,31
2020-05,7,0,4,4,31
2020-06,8,0,4,4,37
2020-07,6,0,3,3,39
2020-08,9,0,4,4,33
2020-09,9,0,5,5,33
2020-10,9,0,2,2,33
2020-11,8,0,2,2,28
2020-12,7,0,3,3,31
2021-01,9,0,2,2,26
2021-02,9,2,2,2,28
2021-03,8,0,3,3,28
2021-04,7,0,3,3,23
2021-05,7,0,3,3,24
2021-06,8,0,2,2,27
2021-07,7,0,4,4,22
2021-08,7,1,2,2,24
2021-09,8,0,2,2,23
2021-10,7,0,2,2,22
2021-11,6,0,2,2,25
2021-12,7,1,2,2,22
2022-01,9,0,2,2,23
2022-02,7,0,3,3,25
2022-03,8,1,3,3,26
2022-04,7,1,2,2,26
2022-05,7,1,2,2,27
2022-06,8,0,1,1,29
2022-07,6,0,1,1,26
2022-08,7,0,2,2,28
2022-09,7,1,2,2,33
2022-10,8,0,2,2,30
2022-11,7,0,2,2,30
2022-12,5,0,1,1,18
2023-01,8,1,2,2,20
2023-02,7,0,2,2,23
2023-03,7,1,2,2,22
2023-04,5,0,2,2,19
2023-05,8,0,2,2,27
2023-06,9,0,2,2,27
2023-07,7,1,1,1,21
2023-08,6,0,2,2,25
2023-09,6,0,1,1,24
2023-10,5,0,1,1,22
2023-11,6,0,1,1,24
2023-12,6,0,1,1,19
2024-01,8,0,1,1,20
2024-02,6,0,1,1,23
2024-03,7,0,1,1,21
2024-04,7,0,1,1,19
2024-05,6,0,1,1,20
2024-06,5,0,1,1,17
2024-07,6,1,1,1,20
2024-08,5,1,2,2,19
2024-09,6,0,2,2,22
2024-10,6,1,3,3,20
2024-11,6,0,2,2,21
2024-12,6,0,1,1,21
2025-01,6,0,1,1,23
2025-02,5,0,2,2,18
2025-03,6,0,1,1,18
2025-04,5,0,1,1,18
2025-05,6,1,1,1,19
2025-06,6,0,1,1,20
2025-07,5,0,1,1,19
2025-08,5,0,1,1,18
2025-09,6,<1,1,1,18
