Category: All categories

Month,doctor: (Sylhet Division),nurse: (Sylhet Division),nurse: (Sylhet Division),engineer: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,100
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,76
2014-07,0,0,0,0,0
2014-08,0,0,0,0,48
2014-09,0,0,0,0,0
2014-10,13,0,5,0,14
2014-11,16,5,5,0,22
2014-12,14,0,0,0,24
2015-01,19,0,0,0,21
2015-02,15,0,0,0,27
2015-03,12,0,8,0,17
2015-04,12,0,0,0,19
2015-05,20,6,6,0,19
2015-06,19,0,0,0,31
2015-07,0,0,0,0,82
2015-08,38,0,0,0,32
2015-09,23,0,0,0,32
2015-10,0,0,0,0,57
2015-11,0,0,0,0,60
2015-12,0,0,0,0,72
2016-01,19,0,0,0,43
2016-02,23,0,0,0,36
2016-03,25,0,0,0,38
2016-04,20,0,0,0,34
2016-05,41,0,0,0,39
2016-06,17,0,0,0,21
2016-07,21,13,22,0,42
2016-08,21,0,0,0,34
2016-09,30,0,18,0,25
2016-10,30,0,0,0,42
2016-11,39,0,0,0,33
2016-12,32,0,0,0,33
2017-01,33,0,0,0,37
2017-02,29,0,9,0,34
2017-03,28,0,7,7,29
2017-04,28,0,0,0,34
2017-05,27,7,9,0,35
2017-06,29,0,0,9,19
2017-07,34,8,10,0,33
2017-08,29,7,8,0,26
2017-09,30,10,0,0,21
2017-10,39,0,0,0,26
2017-11,35,0,5,0,31
2017-12,30,6,6,8,28
2018-01,43,8,9,4,26
2018-02,36,10,10,5,25
2018-03,36,12,11,7,35
2018-04,37,7,7,7,32
2018-05,30,8,7,0,25
2018-06,33,5,5,0,26
2018-07,40,4,7,0,32
2018-08,39,8,8,0,33
2018-09,40,6,6,4,26
2018-10,35,7,9,4,29
2018-11,38,7,6,5,32
2018-12,37,6,5,0,23
2019-01,37,9,7,4,25
2019-02,39,5,5,4,33
2019-03,36,9,9,4,34
2019-04,32,0,4,4,37
2019-05,33,5,6,5,45
2019-06,34,7,7,4,34
2019-07,39,5,6,5,37
2019-08,37,5,4,5,35
2019-09,43,6,6,5,34
2019-10,38,7,6,4,33
2019-11,40,5,5,6,33
2019-12,36,4,4,5,27
2020-01,37,7,7,4,30
2020-02,38,5,6,3,34
2020-03,40,4,6,3,34
2020-04,34,6,6,0,32
2020-05,30,6,7,4,32
2020-06,38,6,5,4,39
2020-07,45,5,5,4,41
2020-08,45,4,5,3,34
2020-09,42,4,5,5,35
2020-10,40,3,4,6,34
2020-11,38,3,3,4,30
2020-12,37,5,5,6,33
2021-01,39,4,4,4,28
2021-02,38,5,5,5,29
2021-03,40,5,4,5,29
2021-04,35,4,4,4,24
2021-05,33,5,5,4,25
2021-06,36,4,4,5,29
2021-07,34,5,5,5,23
2021-08,41,5,5,3,25
2021-09,41,4,4,5,24
2021-10,41,4,4,4,23
2021-11,38,5,5,4,26
2021-12,40,6,6,5,23
2022-01,41,7,7,3,24
2022-02,46,6,6,4,26
2022-03,44,7,7,4,27
2022-04,38,4,4,5,27
2022-05,53,6,6,4,28
2022-06,42,5,5,4,31
2022-07,43,4,4,6,27
2022-08,44,4,4,6,29
2022-09,42,4,4,4,35
2022-10,43,5,5,4,31
2022-11,35,4,4,4,31
2022-12,35,4,4,4,18
2023-01,37,5,4,5,21
2023-02,42,5,6,4,24
2023-03,36,4,4,4,23
2023-04,34,3,4,3,20
2023-05,40,5,5,4,29
2023-06,38,5,4,4,29
2023-07,42,4,4,4,23
2023-08,42,5,5,4,26
2023-09,37,4,4,4,26
2023-10,36,5,5,3,24
2023-11,35,4,4,4,25
2023-12,35,3,3,3,20
2024-01,32,4,4,4,21
2024-02,37,5,5,4,24
2024-03,35,3,3,4,22
2024-04,37,3,3,3,20
2024-05,39,5,4,4,21
2024-06,33,4,3,4,18
2024-07,35,3,4,4,21
2024-08,44,5,5,3,20
2024-09,42,5,5,4,23
2024-10,40,4,4,3,21
2024-11,38,5,4,4,22
2024-12,35,5,4,3,22
2025-01,37,4,4,3,24
2025-02,36,4,4,3,19
2025-03,32,3,3,3,19
2025-04,39,4,3,3,19
2025-05,35,4,4,3,20
2025-06,38,4,4,3,21
2025-07,40,4,3,2,20
2025-08,39,3,3,3,19
2025-09,37,3,3,2,19
