Category: All categories

Month,director: (Sylhet Division),journalist: (Sylhet Division),human rights: (Sylhet Division),children: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,100
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,76
2014-07,0,0,0,0,0
2014-08,0,0,0,0,48
2014-09,0,0,0,0,0
2014-10,8,0,0,8,14
2014-11,0,0,0,4,22
2014-12,7,0,0,11,24
2015-01,0,0,0,10,21
2015-02,0,0,0,0,27
2015-03,0,0,0,8,17
2015-04,0,0,0,7,19
2015-05,0,0,0,6,19
2015-06,0,0,0,10,31
2015-07,0,0,0,0,82
2015-08,0,0,0,0,32
2015-09,0,0,0,0,32
2015-10,0,0,0,0,57
2015-11,0,0,0,0,60
2015-12,0,0,0,0,72
2016-01,0,0,0,19,43
2016-02,0,0,0,0,36
2016-03,0,0,0,0,38
2016-04,0,0,0,9,34
2016-05,0,0,0,13,39
2016-06,0,0,0,17,21
2016-07,0,0,0,13,42
2016-08,11,0,0,11,34
2016-09,0,0,0,13,25
2016-10,12,0,0,10,42
2016-11,0,0,0,13,33
2016-12,0,0,0,15,33
2017-01,8,0,0,12,37
2017-02,0,0,0,10,34
2017-03,9,0,0,12,29
2017-04,0,0,0,11,34
2017-05,0,0,0,15,35
2017-06,0,0,0,18,19
2017-07,0,0,0,16,33
2017-08,0,0,0,14,26
2017-09,8,0,0,8,21
2017-10,0,0,0,11,26
2017-11,0,0,0,18,31
2017-12,6,0,0,14,28
2018-01,8,0,0,11,26
2018-02,3,0,0,8,25
2018-03,7,0,0,13,35
2018-04,5,0,0,9,32
2018-05,5,0,0,13,25
2018-06,6,0,0,12,26
2018-07,4,0,0,9,32
2018-08,6,0,0,11,33
2018-09,6,0,4,8,26
2018-10,9,0,0,9,29
2018-11,7,0,0,14,32
2018-12,8,0,0,12,23
2019-01,6,0,0,12,25
2019-02,5,0,0,12,33
2019-03,7,0,0,13,34
2019-04,7,0,0,10,37
2019-05,4,0,0,10,45
2019-06,8,0,0,7,34
2019-07,6,0,0,15,37
2019-08,5,0,0,10,35
2019-09,8,0,0,8,34
2019-10,7,0,3,11,33
2019-11,6,0,0,9,33
2019-12,4,0,3,10,27
2020-01,4,0,0,11,30
2020-02,6,0,0,12,34
2020-03,5,0,0,11,34
2020-04,6,3,0,13,32
2020-05,6,0,0,13,32
2020-06,6,0,0,11,39
2020-07,5,0,3,10,41
2020-08,4,0,0,9,34
2020-09,5,0,0,10,35
2020-10,4,0,0,9,34
2020-11,4,0,0,14,30
2020-12,8,0,3,9,33
2021-01,5,0,2,11,28
2021-02,5,0,0,11,29
2021-03,6,0,0,12,29
2021-04,3,0,0,10,24
2021-05,4,2,0,9,25
2021-06,3,0,0,9,29
2021-07,3,0,0,9,23
2021-08,5,0,0,9,25
2021-09,5,0,2,10,24
2021-10,4,0,0,8,23
2021-11,3,0,0,9,26
2021-12,3,0,2,8,23
2022-01,5,0,0,11,24
2022-02,5,1,1,10,26
2022-03,4,1,1,13,27
2022-04,4,0,0,11,27
2022-05,5,2,1,10,28
2022-06,5,0,1,10,31
2022-07,3,0,0,9,27
2022-08,4,0,1,9,29
2022-09,4,0,1,13,35
2022-10,3,0,0,10,31
2022-11,2,0,1,11,31
2022-12,4,0,1,10,18
2023-01,4,0,0,11,21
2023-02,3,0,0,12,24
2023-03,4,0,1,11,23
2023-04,2,0,0,9,20
2023-05,3,0,1,12,29
2023-06,4,1,1,11,29
2023-07,3,1,1,10,23
2023-08,4,0,1,12,26
2023-09,4,0,1,12,26
2023-10,3,0,1,10,24
2023-11,4,0,1,12,25
2023-12,4,1,1,12,20
2024-01,3,0,1,11,21
2024-02,3,0,0,11,24
2024-03,3,0,0,10,22
2024-04,3,0,0,8,20
2024-05,3,1,0,10,21
2024-06,3,0,0,7,18
2024-07,3,0,0,8,21
2024-08,3,0,0,8,20
2024-09,3,0,1,9,23
2024-10,3,0,0,8,21
2024-11,3,0,0,10,22
2024-12,3,1,0,9,22
2025-01,3,0,0,8,24
2025-02,3,0,0,8,19
2025-03,3,0,0,7,19
2025-04,2,0,0,7,19
2025-05,3,0,0,8,20
2025-06,3,0,0,7,21
2025-07,3,0,1,8,20
2025-08,3,0,0,7,19
2025-09,2,<1,<1,6,19
