Category: All categories

Month,children: (Sylhet Division),child: (Sylhet Division),security guard: (Sylhet Division),security guard: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,100,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,51
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,39
2014-07,0,0,0,0,0
2014-08,0,0,0,0,25
2014-09,0,33,0,0,0
2014-10,4,4,0,0,7
2014-11,2,5,0,0,11
2014-12,6,6,0,0,12
2015-01,5,7,0,0,11
2015-02,0,5,0,0,14
2015-03,4,6,0,0,9
2015-04,4,7,0,0,10
2015-05,3,7,0,0,9
2015-06,5,7,0,0,16
2015-07,0,0,0,0,42
2015-08,0,0,0,0,16
2015-09,0,9,0,0,16
2015-10,0,0,0,0,29
2015-11,0,26,0,0,31
2015-12,0,21,0,0,37
2016-01,10,8,0,0,22
2016-02,0,13,0,0,18
2016-03,0,12,0,0,19
2016-04,4,10,0,0,17
2016-05,7,8,0,0,20
2016-06,9,10,0,0,11
2016-07,6,10,0,0,21
2016-08,6,10,0,0,17
2016-09,7,10,0,0,13
2016-10,5,8,0,0,21
2016-11,7,7,0,0,17
2016-12,8,10,0,0,17
2017-01,6,11,0,0,19
2017-02,5,10,0,0,17
2017-03,6,7,0,0,15
2017-04,5,9,0,0,17
2017-05,8,8,0,0,18
2017-06,9,7,0,0,10
2017-07,8,6,0,0,17
2017-08,7,8,0,0,13
2017-09,4,10,0,0,11
2017-10,6,7,0,0,13
2017-11,9,9,0,0,16
2017-12,7,6,0,0,14
2018-01,6,8,0,0,13
2018-02,4,6,0,0,13
2018-03,6,8,0,0,18
2018-04,5,8,0,0,16
2018-05,7,8,0,0,13
2018-06,6,9,0,0,13
2018-07,4,10,0,0,16
2018-08,6,9,0,0,17
2018-09,4,7,0,0,13
2018-10,4,9,0,0,15
2018-11,7,8,0,0,16
2018-12,6,9,0,0,12
2019-01,6,9,0,0,13
2019-02,6,6,0,0,17
2019-03,7,8,0,0,18
2019-04,5,8,0,0,19
2019-05,5,8,0,0,23
2019-06,4,6,0,0,17
2019-07,8,9,0,0,19
2019-08,5,9,0,0,18
2019-09,4,8,0,0,17
2019-10,5,9,0,0,17
2019-11,4,9,0,0,17
2019-12,5,8,0,0,14
2020-01,6,6,0,0,15
2020-02,6,7,0,0,18
2020-03,6,6,0,0,17
2020-04,6,7,0,0,16
2020-05,6,8,0,0,16
2020-06,5,7,0,0,20
2020-07,5,8,0,0,21
2020-08,5,8,0,0,17
2020-09,5,8,0,0,18
2020-10,5,7,0,0,18
2020-11,7,6,0,0,15
2020-12,5,8,0,0,17
2021-01,6,7,0,0,14
2021-02,6,5,0,0,15
2021-03,6,8,0,0,15
2021-04,5,7,0,0,12
2021-05,5,7,0,0,13
2021-06,5,7,0,0,15
2021-07,5,8,0,0,12
2021-08,4,6,0,1,13
2021-09,5,7,0,0,12
2021-10,4,5,0,0,12
2021-11,5,5,0,0,13
2021-12,4,5,0,1,12
2022-01,6,7,0,0,12
2022-02,5,6,0,0,13
2022-03,6,8,0,0,14
2022-04,6,6,0,0,14
2022-05,5,6,0,0,14
2022-06,5,6,0,0,16
2022-07,5,6,0,0,14
2022-08,5,6,0,0,15
2022-09,6,7,0,0,18
2022-10,5,6,0,0,16
2022-11,6,7,0,0,16
2022-12,5,6,0,0,9
2023-01,6,6,1,0,11
2023-02,6,6,<1,0,12
2023-03,6,6,0,0,12
2023-04,5,5,0,0,10
2023-05,6,6,0,0,15
2023-06,5,6,0,0,15
2023-07,5,6,0,0,11
2023-08,6,7,0,<1,13
2023-09,6,6,0,0,13
2023-10,5,5,0,0,12
2023-11,6,6,1,<1,13
2023-12,6,6,0,0,10
2024-01,5,6,0,0,11
2024-02,6,7,0,0,12
2024-03,5,5,0,0,11
2024-04,4,5,0,0,10
2024-05,5,4,0,0,11
2024-06,4,4,0,0,9
2024-07,4,4,0,0,11
2024-08,4,4,0,<1,10
2024-09,5,5,0,0,12
2024-10,4,5,0,<1,11
2024-11,5,5,0,0,11
2024-12,4,4,0,0,11
2025-01,4,4,<1,0,12
2025-02,4,4,0,<1,9
2025-03,4,4,1,0,10
2025-04,4,4,0,0,10
2025-05,4,4,<1,<1,10
2025-06,3,4,0,0,11
2025-07,4,4,0,0,10
2025-08,4,4,0,0,10
2025-09,3,4,<1,<1,9
