Category: All categories

Month,currency: (Sylhet Division),labour market: (Sylhet Division),market: (Sylhet Division),exchange rate: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,82,0,0
2014-03,0,0,0,0,100
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,76
2014-07,0,0,0,0,0
2014-08,0,0,44,0,48
2014-09,0,0,37,0,0
2014-10,5,0,32,0,14
2014-11,8,0,27,0,22
2014-12,6,0,24,0,24
2015-01,0,0,27,7,21
2015-02,0,0,23,0,27
2015-03,0,0,29,0,17
2015-04,0,0,34,0,19
2015-05,7,0,34,0,19
2015-06,0,0,37,0,31
2015-07,0,0,0,0,82
2015-08,0,0,0,0,32
2015-09,25,0,31,0,32
2015-10,0,0,0,0,57
2015-11,0,0,46,0,60
2015-12,0,0,38,0,72
2016-01,0,0,44,18,43
2016-02,25,0,33,0,36
2016-03,0,0,41,0,38
2016-04,0,0,36,9,34
2016-05,12,0,27,0,39
2016-06,14,0,35,0,21
2016-07,24,0,41,0,42
2016-08,17,0,26,0,34
2016-09,12,0,27,0,25
2016-10,17,0,20,0,42
2016-11,17,0,43,0,33
2016-12,15,0,32,0,33
2017-01,19,0,39,10,37
2017-02,16,0,36,0,34
2017-03,11,0,38,0,29
2017-04,9,0,33,9,34
2017-05,0,0,33,0,35
2017-06,11,0,29,0,19
2017-07,10,0,37,0,33
2017-08,20,0,45,0,26
2017-09,19,0,42,8,21
2017-10,17,0,44,0,26
2017-11,18,0,56,7,31
2017-12,19,0,51,5,28
2018-01,13,0,45,8,26
2018-02,12,0,43,6,25
2018-03,22,0,56,5,35
2018-04,17,0,53,7,32
2018-05,20,0,38,7,25
2018-06,18,0,42,0,26
2018-07,22,0,60,8,32
2018-08,21,0,52,9,33
2018-09,23,0,48,5,26
2018-10,22,0,66,5,29
2018-11,15,0,57,6,32
2018-12,18,0,51,6,23
2019-01,25,0,80,5,25
2019-02,20,0,57,8,33
2019-03,19,0,55,7,34
2019-04,27,0,54,5,37
2019-05,19,0,53,4,45
2019-06,16,0,42,0,34
2019-07,21,0,50,5,37
2019-08,21,0,49,4,35
2019-09,26,0,45,6,34
2019-10,24,0,43,3,33
2019-11,16,0,42,4,33
2019-12,21,0,45,7,27
2020-01,17,0,40,4,30
2020-02,19,0,50,5,34
2020-03,19,3,47,5,34
2020-04,15,0,30,4,32
2020-05,14,0,31,3,32
2020-06,14,0,40,4,39
2020-07,12,0,53,3,41
2020-08,14,0,56,3,34
2020-09,15,0,65,3,35
2020-10,16,0,52,3,34
2020-11,15,0,47,2,30
2020-12,14,0,53,3,33
2021-01,18,0,74,3,28
2021-02,13,0,63,3,29
2021-03,14,0,51,2,29
2021-04,12,0,41,2,24
2021-05,13,0,53,4,25
2021-06,15,0,57,4,29
2021-07,15,0,43,4,23
2021-08,14,0,52,4,25
2021-09,13,0,57,2,24
2021-10,12,0,48,2,23
2021-11,11,0,40,0,26
2021-12,10,0,40,3,23
2022-01,12,0,37,2,24
2022-02,13,0,37,2,26
2022-03,17,0,36,3,27
2022-04,15,0,33,3,27
2022-05,18,0,30,4,28
2022-06,17,0,33,3,31
2022-07,18,0,32,4,27
2022-08,22,1,33,6,29
2022-09,19,0,31,5,35
2022-10,17,0,33,4,31
2022-11,17,0,27,3,31
2022-12,15,0,26,2,18
2023-01,17,0,27,2,21
2023-02,17,0,27,4,24
2023-03,15,0,25,2,23
2023-04,15,0,27,2,20
2023-05,17,0,27,2,29
2023-06,16,0,29,2,29
2023-07,17,0,27,3,23
2023-08,19,0,27,3,26
2023-09,18,0,22,2,26
2023-10,17,0,21,2,24
2023-11,15,0,22,4,25
2023-12,16,0,24,3,20
2024-01,17,0,23,2,21
2024-02,13,0,24,2,24
2024-03,12,0,24,2,22
2024-04,13,0,23,2,20
2024-05,15,1,24,2,21
2024-06,11,0,22,2,18
2024-07,14,0,23,2,21
2024-08,15,0,24,1,20
2024-09,15,0,28,2,23
2024-10,15,0,23,2,21
2024-11,15,0,24,1,22
2024-12,13,0,23,2,22
2025-01,13,0,20,2,24
2025-02,11,0,20,0,19
2025-03,12,0,23,1,19
2025-04,13,0,20,1,19
2025-05,11,0,19,1,20
2025-06,11,0,18,2,21
2025-07,13,0,21,1,20
2025-08,11,0,19,2,19
2025-09,11,0,17,1,19
