Category: All categories

Month,tax: (Sylhet Division),taxes: (Sylhet Division),good: (Sylhet Division),good: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,100,0
2013-02,0,0,0,0,0
2013-03,0,0,0,58,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,52,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,33
2014-04,0,0,0,0,0
2014-05,0,0,27,0,0
2014-06,0,0,0,0,25
2014-07,0,0,0,25,0
2014-08,0,0,20,21,16
2014-09,0,0,15,15,0
2014-10,3,0,9,9,5
2014-11,2,0,12,12,7
2014-12,2,0,10,10,8
2015-01,0,0,11,11,7
2015-02,3,0,12,11,9
2015-03,0,0,12,10,6
2015-04,3,0,13,9,6
2015-05,2,0,11,11,6
2015-06,0,0,12,10,10
2015-07,0,0,0,0,27
2015-08,0,0,16,14,11
2015-09,0,0,14,16,11
2015-10,0,0,0,0,19
2015-11,0,0,14,0,20
2015-12,0,0,17,19,24
2016-01,0,0,13,13,14
2016-02,0,0,11,11,12
2016-03,0,0,15,15,12
2016-04,5,0,15,14,11
2016-05,0,0,16,16,13
2016-06,0,0,14,15,7
2016-07,5,0,17,17,14
2016-08,0,0,14,13,11
2016-09,0,0,20,19,8
2016-10,3,0,13,13,14
2016-11,7,0,15,12,11
2016-12,3,0,21,19,11
2017-01,5,0,20,18,12
2017-02,4,0,16,15,11
2017-03,3,0,14,15,10
2017-04,3,0,19,18,11
2017-05,3,0,19,19,11
2017-06,5,0,18,16,6
2017-07,4,0,16,16,11
2017-08,3,0,17,18,9
2017-09,3,0,20,19,7
2017-10,5,0,17,17,9
2017-11,8,0,19,19,10
2017-12,2,0,17,17,9
2018-01,3,0,14,14,9
2018-02,3,0,16,16,8
2018-03,4,0,17,17,12
2018-04,2,0,15,16,11
2018-05,4,0,18,17,8
2018-06,3,0,15,16,9
2018-07,4,0,16,16,11
2018-08,3,0,17,16,11
2018-09,3,0,19,19,9
2018-10,3,0,14,14,10
2018-11,8,0,15,17,10
2018-12,3,0,19,19,8
2019-01,4,0,17,16,8
2019-02,4,0,16,16,11
2019-03,4,0,16,16,11
2019-04,4,0,15,15,12
2019-05,3,0,13,13,15
2019-06,2,0,14,14,11
2019-07,4,0,16,16,12
2019-08,4,0,18,19,12
2019-09,5,0,17,16,11
2019-10,4,0,17,17,11
2019-11,8,0,19,19,11
2019-12,3,0,18,19,9
2020-01,4,0,18,19,10
2020-02,4,0,17,17,11
2020-03,3,0,16,16,11
2020-04,2,0,22,21,11
2020-05,3,0,20,21,11
2020-06,4,0,22,22,13
2020-07,3,0,20,20,14
2020-08,3,0,18,18,11
2020-09,3,0,20,20,12
2020-10,4,0,18,18,11
2020-11,6,0,21,20,10
2020-12,3,1,19,19,11
2021-01,4,0,19,19,9
2021-02,2,0,18,18,10
2021-03,3,1,16,17,10
2021-04,3,0,16,16,8
2021-05,2,0,15,15,8
2021-06,3,0,16,16,9
2021-07,3,0,18,19,8
2021-08,3,0,17,17,8
2021-09,3,0,17,16,8
2021-10,3,0,13,13,8
2021-11,4,0,13,13,9
2021-12,3,0,15,15,8
2022-01,3,0,15,15,8
2022-02,3,0,15,15,9
2022-03,3,0,16,16,9
2022-04,3,<1,15,15,9
2022-05,2,0,14,14,9
2022-06,3,0,15,15,10
2022-07,4,0,15,15,9
2022-08,3,<1,16,16,10
2022-09,4,1,16,15,12
2022-10,3,0,17,17,10
2022-11,5,<1,16,16,10
2022-12,3,0,13,13,6
2023-01,3,<1,15,15,7
2023-02,4,0,15,15,8
2023-03,5,0,15,15,8
2023-04,4,<1,15,15,7
2023-05,3,<1,15,15,9
2023-06,4,<1,14,15,10
2023-07,4,0,13,13,7
2023-08,3,0,14,14,9
2023-09,4,0,14,14,9
2023-10,4,<1,13,13,8
2023-11,6,0,15,15,8
2023-12,4,0,14,14,7
2024-01,4,0,14,14,7
2024-02,4,0,12,13,8
2024-03,3,0,11,11,7
2024-04,3,<1,10,10,7
2024-05,3,<1,12,12,7
2024-06,3,0,10,10,6
2024-07,5,0,10,10,7
2024-08,3,0,10,10,7
2024-09,4,0,11,11,8
2024-10,4,0,12,12,7
2024-11,5,0,11,11,7
2024-12,4,0,11,11,7
2025-01,3,<1,11,11,8
2025-02,3,0,10,9,6
2025-03,3,0,9,10,6
2025-04,3,0,10,10,6
2025-05,3,0,11,11,7
2025-06,3,0,10,10,7
2025-07,4,0,10,10,7
2025-08,5,0,11,11,6
2025-09,4,<1,9,10,6
