Category: All categories

Month,summer: (Sylhet Division),winter: (Sylhet Division),winter: (Sylhet Division),autumn: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,100
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,76
2014-07,0,0,0,0,0
2014-08,0,0,0,0,48
2014-09,0,0,0,0,0
2014-10,0,5,6,0,14
2014-11,0,9,10,0,22
2014-12,0,11,10,0,24
2015-01,0,0,0,0,21
2015-02,9,0,0,0,27
2015-03,12,0,0,0,17
2015-04,0,0,0,0,19
2015-05,10,0,0,0,19
2015-06,0,0,0,0,31
2015-07,0,0,0,0,82
2015-08,0,0,0,0,32
2015-09,0,0,0,0,32
2015-10,0,0,0,0,57
2015-11,0,0,0,0,60
2015-12,0,0,0,0,72
2016-01,0,0,0,0,43
2016-02,0,0,0,0,36
2016-03,0,0,0,0,38
2016-04,16,0,0,0,34
2016-05,0,0,0,0,39
2016-06,14,0,0,0,21
2016-07,13,0,0,0,42
2016-08,13,0,0,0,34
2016-09,0,0,0,0,25
2016-10,0,0,0,0,42
2016-11,0,20,22,0,33
2016-12,12,16,15,0,33
2017-01,0,11,10,0,37
2017-02,0,0,0,0,34
2017-03,9,0,0,0,29
2017-04,8,0,0,0,34
2017-05,0,0,0,0,35
2017-06,12,0,10,0,19
2017-07,9,0,0,0,33
2017-08,9,0,0,0,26
2017-09,8,0,0,0,21
2017-10,0,11,9,0,26
2017-11,6,15,14,0,31
2017-12,4,14,12,0,28
2018-01,7,12,12,0,26
2018-02,5,12,13,0,25
2018-03,10,5,5,0,35
2018-04,7,5,5,0,32
2018-05,8,7,0,0,25
2018-06,10,0,0,0,26
2018-07,10,4,4,0,32
2018-08,12,0,0,0,33
2018-09,9,0,4,0,26
2018-10,8,10,10,0,29
2018-11,9,19,17,0,32
2018-12,5,15,17,0,23
2019-01,7,10,9,0,25
2019-02,6,6,5,0,33
2019-03,9,4,4,0,34
2019-04,10,7,5,0,37
2019-05,8,0,4,0,45
2019-06,8,3,3,0,34
2019-07,8,3,3,0,37
2019-08,7,7,4,0,35
2019-09,8,4,3,0,34
2019-10,7,6,8,0,33
2019-11,5,16,14,0,33
2019-12,6,21,22,0,27
2020-01,7,10,11,0,30
2020-02,7,7,8,0,34
2020-03,5,3,2,0,34
2020-04,7,3,0,0,32
2020-05,6,3,6,0,32
2020-06,8,4,4,0,39
2020-07,8,3,3,0,41
2020-08,7,3,4,0,34
2020-09,5,5,6,0,35
2020-10,5,7,6,0,34
2020-11,5,18,16,2,30
2020-12,5,17,17,0,33
2021-01,4,10,10,0,28
2021-02,5,7,8,0,29
2021-03,7,7,7,0,29
2021-04,7,9,10,2,24
2021-05,7,4,5,0,25
2021-06,7,5,4,0,29
2021-07,8,5,5,0,23
2021-08,6,5,6,0,25
2021-09,6,5,5,0,24
2021-10,5,9,9,0,23
2021-11,4,15,15,0,26
2021-12,6,15,16,0,23
2022-01,7,12,11,1,24
2022-02,6,7,8,0,26
2022-03,7,4,4,1,27
2022-04,6,5,4,0,27
2022-05,7,5,5,0,28
2022-06,7,5,5,1,31
2022-07,9,4,3,0,27
2022-08,8,4,5,1,29
2022-09,6,7,7,1,35
2022-10,6,9,9,2,31
2022-11,5,15,14,1,31
2022-12,4,14,14,0,18
2023-01,4,13,13,0,21
2023-02,5,5,5,0,24
2023-03,5,3,3,1,23
2023-04,8,4,4,1,20
2023-05,8,5,5,1,29
2023-06,10,5,5,1,29
2023-07,8,3,4,0,23
2023-08,6,5,5,1,26
2023-09,6,4,4,1,26
2023-10,4,7,7,1,24
2023-11,4,12,12,0,25
2023-12,4,14,15,1,20
2024-01,5,14,14,1,21
2024-02,5,5,5,0,24
2024-03,6,4,4,0,22
2024-04,6,2,2,0,20
2024-05,6,3,3,0,21
2024-06,6,2,2,0,18
2024-07,11,3,3,0,21
2024-08,11,3,3,0,20
2024-09,5,5,5,1,23
2024-10,4,6,6,2,21
2024-11,3,13,12,1,22
2024-12,4,17,17,0,22
2025-01,3,9,9,1,24
2025-02,4,4,4,0,19
2025-03,4,2,2,0,19
2025-04,5,3,3,1,19
2025-05,5,4,3,1,20
2025-06,6,3,3,1,21
2025-07,8,2,2,1,20
2025-08,8,4,4,1,19
2025-09,6,3,3,1,19
