Category: All categories

Month,crop: (Sylhet Division),harvest: (Sylhet Division),food: (Sylhet Division),field: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,77,0,100
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,76
2014-07,0,0,0,0,0
2014-08,0,0,0,0,48
2014-09,0,0,52,0,0
2014-10,0,0,17,0,14
2014-11,0,0,17,0,22
2014-12,0,0,11,0,24
2015-01,0,0,12,0,21
2015-02,0,0,17,0,27
2015-03,0,0,20,0,17
2015-04,0,0,19,0,19
2015-05,0,0,16,5,19
2015-06,0,0,20,0,31
2015-07,0,0,0,0,82
2015-08,0,0,32,0,32
2015-09,0,0,34,0,32
2015-10,0,0,0,0,57
2015-11,0,0,0,0,60
2015-12,0,0,52,0,72
2016-01,0,0,52,15,43
2016-02,0,0,27,0,36
2016-03,0,0,46,0,38
2016-04,0,0,36,0,34
2016-05,0,0,29,23,39
2016-06,0,0,32,16,21
2016-07,0,0,32,0,42
2016-08,11,0,42,0,34
2016-09,0,0,39,0,25
2016-10,0,0,36,0,42
2016-11,0,0,43,20,33
2016-12,0,0,41,14,33
2017-01,0,0,31,8,37
2017-02,0,0,32,14,34
2017-03,0,0,32,7,29
2017-04,0,0,37,0,34
2017-05,0,0,30,11,35
2017-06,0,0,16,0,19
2017-07,0,0,28,6,33
2017-08,0,0,30,9,26
2017-09,0,0,34,0,21
2017-10,0,0,33,13,26
2017-11,0,0,31,6,31
2017-12,0,0,31,9,28
2018-01,0,0,30,7,26
2018-02,3,0,25,6,25
2018-03,6,0,31,12,35
2018-04,0,0,38,12,32
2018-05,0,0,33,8,25
2018-06,0,0,30,8,26
2018-07,0,0,45,10,32
2018-08,0,0,45,9,33
2018-09,0,0,40,7,26
2018-10,0,0,39,8,29
2018-11,0,0,39,12,32
2018-12,0,0,30,11,23
2019-01,0,0,35,11,25
2019-02,0,0,36,9,33
2019-03,0,0,37,9,34
2019-04,0,0,41,12,37
2019-05,0,0,40,9,45
2019-06,0,0,40,7,34
2019-07,0,0,43,9,37
2019-08,0,0,48,6,35
2019-09,0,0,44,8,34
2019-10,0,0,46,12,33
2019-11,3,0,53,9,33
2019-12,0,0,39,11,27
2020-01,0,0,41,9,30
2020-02,0,0,46,7,34
2020-03,2,0,40,8,34
2020-04,0,0,45,6,32
2020-05,0,0,38,5,32
2020-06,0,0,42,6,39
2020-07,2,0,40,7,41
2020-08,3,0,39,10,34
2020-09,2,0,44,13,35
2020-10,2,0,42,11,34
2020-11,0,0,51,8,30
2020-12,2,0,43,8,33
2021-01,3,0,42,7,28
2021-02,3,0,37,5,29
2021-03,3,0,37,11,29
2021-04,0,0,35,6,24
2021-05,2,0,37,5,25
2021-06,2,0,39,6,29
2021-07,2,0,32,6,23
2021-08,2,0,34,6,25
2021-09,2,0,32,8,24
2021-10,1,0,32,8,23
2021-11,2,0,36,6,26
2021-12,2,1,32,6,23
2022-01,2,0,33,7,24
2022-02,3,0,31,8,26
2022-03,3,1,31,7,27
2022-04,2,1,31,6,27
2022-05,3,0,31,7,28
2022-06,3,0,32,6,31
2022-07,3,0,29,7,27
2022-08,2,1,32,7,29
2022-09,3,0,32,7,35
2022-10,3,0,33,6,31
2022-11,2,1,30,7,31
2022-12,2,0,28,7,18
2023-01,2,1,28,6,21
2023-02,3,0,31,6,24
2023-03,2,1,30,7,23
2023-04,2,1,26,5,20
2023-05,2,0,33,6,29
2023-06,2,0,29,7,29
2023-07,2,0,30,6,23
2023-08,3,0,33,7,26
2023-09,2,0,32,5,26
2023-10,2,1,32,5,24
2023-11,2,0,32,5,25
2023-12,3,0,30,5,20
2024-01,3,1,29,6,21
2024-02,2,0,30,6,24
2024-03,2,0,26,9,22
2024-04,1,0,25,4,20
2024-05,2,1,28,5,21
2024-06,2,0,24,4,18
2024-07,2,0,23,3,21
2024-08,2,0,26,4,20
2024-09,2,0,27,4,23
2024-10,2,0,26,5,21
2024-11,2,0,28,5,22
2024-12,2,1,29,4,22
2025-01,2,0,28,5,24
2025-02,1,0,25,3,19
2025-03,2,0,25,4,19
2025-04,2,0,21,3,19
2025-05,2,0,23,4,20
2025-06,2,0,20,4,21
2025-07,2,0,22,4,20
2025-08,2,1,22,3,19
2025-09,2,<1,20,4,19
