Category: All categories

Month,police: (Sylhet Division),airport: (Sylhet Division),airport: (Sylhet Division),army: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,94,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,100
2013-09,0,0,0,54,0
2013-10,0,69,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,55,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,38
2014-07,0,0,0,0,0
2014-08,0,23,0,0,25
2014-09,21,22,28,0,25
2014-10,6,4,4,6,9
2014-11,6,5,4,13,13
2014-12,7,0,0,10,13
2015-01,10,4,4,12,12
2015-02,12,0,6,8,15
2015-03,7,0,5,9,11
2015-04,7,0,5,11,11
2015-05,8,4,4,7,10
2015-06,12,7,7,11,16
2015-07,0,0,0,0,0
2015-08,27,0,0,25,19
2015-09,11,0,13,13,17
2015-10,28,0,27,33,28
2015-11,25,0,0,27,27
2015-12,0,0,0,0,39
2016-01,11,15,16,8,25
2016-02,18,17,17,16,17
2016-03,7,12,12,0,20
2016-04,13,7,9,10,16
2016-05,11,16,10,10,24
2016-06,14,10,9,15,17
2016-07,17,17,15,12,20
2016-08,16,23,19,0,19
2016-09,11,11,15,15,11
2016-10,12,15,15,13,23
2016-11,10,11,8,14,23
2016-12,15,15,16,9,18
2017-01,13,14,13,8,19
2017-02,13,12,12,10,20
2017-03,20,10,11,11,15
2017-04,16,12,10,11,17
2017-05,13,8,8,8,19
2017-06,14,13,13,11,12
2017-07,10,11,12,6,18
2017-08,17,15,13,9,19
2017-09,13,12,11,11,13
2017-10,13,12,14,10,15
2017-11,16,9,9,12,18
2017-12,17,11,10,12,17
2018-01,19,11,11,8,14
2018-02,20,12,12,11,13
2018-03,16,20,17,10,20
2018-04,15,14,17,10,18
2018-05,16,12,14,9,15
2018-06,13,11,11,12,15
2018-07,14,14,14,9,18
2018-08,14,16,15,8,19
2018-09,14,11,12,9,16
2018-10,14,15,14,9,16
2018-11,17,10,11,12,17
2018-12,14,13,13,11,13
2019-01,15,12,11,12,14
2019-02,17,17,16,11,20
2019-03,13,16,15,10,19
2019-04,15,14,14,9,21
2019-05,18,14,14,9,26
2019-06,20,14,15,11,20
2019-07,15,15,15,7,21
2019-08,15,15,16,8,19
2019-09,17,15,16,8,18
2019-10,18,15,16,11,19
2019-11,15,14,14,10,19
2019-12,14,14,14,10,15
2020-01,17,18,17,10,17
2020-02,13,15,15,9,19
2020-03,15,12,14,10,20
2020-04,14,6,6,8,18
2020-05,13,7,6,9,18
2020-06,14,6,6,10,22
2020-07,14,8,8,9,23
2020-08,15,7,7,11,20
2020-09,14,7,6,9,20
2020-10,16,9,8,9,21
2020-11,13,7,7,11,17
2020-12,16,7,8,11,18
2021-01,15,10,9,11,16
2021-02,16,7,7,8,16
2021-03,16,9,9,9,16
2021-04,47,7,7,8,14
2021-05,17,6,6,11,14
2021-06,17,7,7,7,16
2021-07,16,6,7,10,13
2021-08,22,8,8,11,15
2021-09,32,8,8,8,14
2021-10,21,7,7,8,13
2021-11,18,7,7,8,15
2021-12,17,9,10,9,12
2022-01,22,9,9,11,14
2022-02,23,11,10,11,14
2022-03,21,10,10,10,16
2022-04,16,9,9,10,16
2022-05,18,8,8,8,16
2022-06,20,10,10,10,17
2022-07,17,10,10,10,15
2022-08,20,11,11,8,17
2022-09,21,10,10,9,19
2022-10,17,9,10,8,18
2022-11,15,8,8,6,19
2022-12,24,9,9,8,11
2023-01,23,9,9,6,12
2023-02,26,10,10,8,14
2023-03,20,8,8,7,13
2023-04,17,8,8,6,11
2023-05,17,9,9,6,16
2023-06,17,9,8,7,16
2023-07,18,11,11,8,13
2023-08,21,12,12,6,15
2023-09,16,10,10,6,15
2023-10,17,8,8,6,13
2023-11,16,8,8,5,15
2023-12,17,10,10,7,12
2024-01,22,11,11,9,12
2024-02,21,10,10,7,13
2024-03,15,8,8,5,12
2024-04,15,9,8,5,11
2024-05,14,8,8,6,12
2024-06,13,9,9,5,10
2024-07,17,9,9,5,12
2024-08,22,10,10,11,12
2024-09,23,9,9,8,13
2024-10,31,9,8,7,12
2024-11,21,9,9,7,13
2024-12,18,9,9,8,12
2025-01,17,8,8,6,14
2025-02,16,8,8,6,10
2025-03,15,6,6,6,11
2025-04,14,7,7,6,11
2025-05,14,7,7,7,11
2025-06,13,7,7,5,12
2025-07,16,7,7,6,11
2025-08,15,8,8,5,11
2025-09,13,7,7,5,10
