Category: All categories

Month,army: (Sylhet Division),road: (Sylhet Division),road: (Sylhet Division),road: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,100,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,47
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,36
2014-07,0,0,0,0,0
2014-08,0,0,0,0,23
2014-09,0,0,0,0,0
2014-10,5,5,5,8,7
2014-11,9,4,5,5,10
2014-12,6,6,5,5,11
2015-01,9,4,5,5,10
2015-02,7,6,7,4,13
2015-03,8,4,5,4,8
2015-04,8,5,5,6,9
2015-05,6,7,7,7,9
2015-06,9,6,6,6,15
2015-07,0,0,0,0,39
2015-08,20,16,20,14,15
2015-09,11,9,17,11,15
2015-10,27,0,0,0,27
2015-11,0,0,0,20,28
2015-12,0,22,14,23,34
2016-01,0,10,8,8,20
2016-02,20,13,0,10,17
2016-03,7,8,12,14,18
2016-04,7,9,8,9,16
2016-05,7,11,12,11,18
2016-06,10,7,10,11,10
2016-07,8,16,13,15,20
2016-08,10,16,11,12,16
2016-09,13,10,6,8,12
2016-10,11,9,10,10,20
2016-11,12,7,8,9,16
2016-12,6,10,9,10,15
2017-01,7,7,10,11,17
2017-02,7,14,12,11,16
2017-03,10,8,6,9,14
2017-04,10,8,7,8,16
2017-05,7,11,9,9,16
2017-06,8,13,9,10,9
2017-07,7,12,13,12,15
2017-08,8,12,11,11,12
2017-09,9,10,11,11,10
2017-10,9,12,11,12,12
2017-11,9,10,11,9,15
2017-12,9,10,10,10,13
2018-01,6,9,9,10,12
2018-02,9,6,6,6,12
2018-03,8,14,13,13,17
2018-04,7,12,12,10,15
2018-05,7,12,12,12,12
2018-06,10,11,10,11,12
2018-07,7,10,10,10,15
2018-08,8,12,12,12,15
2018-09,7,11,11,11,12
2018-10,7,12,12,12,14
2018-11,9,14,13,14,15
2018-12,10,9,9,10,11
2019-01,11,10,10,10,12
2019-02,9,11,12,11,16
2019-03,8,10,10,11,16
2019-04,7,11,10,10,17
2019-05,7,9,10,11,21
2019-06,9,12,12,12,16
2019-07,6,11,11,11,18
2019-08,7,14,13,13,16
2019-09,8,14,13,14,16
2019-10,9,12,12,13,16
2019-11,8,14,13,13,15
2019-12,8,12,12,12,13
2020-01,8,12,12,11,14
2020-02,7,13,13,13,16
2020-03,8,10,11,10,16
2020-04,6,7,7,7,15
2020-05,8,10,9,9,15
2020-06,9,10,9,9,19
2020-07,7,11,10,11,19
2020-08,9,11,11,11,16
2020-09,8,10,10,10,17
2020-10,8,11,11,10,16
2020-11,9,11,10,10,14
2020-12,9,10,10,10,15
2021-01,9,9,9,9,13
2021-02,7,9,10,10,14
2021-03,7,12,12,12,14
2021-04,6,7,7,7,11
2021-05,9,8,8,8,12
2021-06,6,7,7,8,13
2021-07,8,8,8,8,11
2021-08,9,8,9,9,12
2021-09,7,9,10,10,11
2021-10,6,9,9,8,11
2021-11,7,8,8,8,12
2021-12,7,8,8,8,11
2022-01,9,8,8,7,11
2022-02,9,9,9,9,12
2022-03,8,8,9,8,13
2022-04,8,8,8,8,13
2022-05,7,9,9,9,13
2022-06,9,10,10,10,15
2022-07,8,9,9,9,13
2022-08,7,10,10,10,14
2022-09,7,10,10,10,17
2022-10,7,9,9,9,15
2022-11,5,8,8,8,15
2022-12,7,7,7,7,9
2023-01,5,8,7,8,10
2023-02,7,8,8,8,11
2023-03,6,8,8,8,11
2023-04,5,7,7,7,10
2023-05,5,9,9,9,13
2023-06,6,8,8,8,14
2023-07,6,7,7,7,11
2023-08,5,9,9,9,12
2023-09,5,8,8,8,12
2023-10,5,7,7,7,11
2023-11,5,8,7,8,12
2023-12,6,9,9,9,10
2024-01,8,8,7,8,10
2024-02,6,9,9,9,11
2024-03,4,7,7,7,10
2024-04,4,7,7,7,10
2024-05,5,7,7,7,10
2024-06,4,7,7,7,9
2024-07,4,8,7,7,10
2024-08,9,6,6,6,10
2024-09,7,7,7,7,11
2024-10,6,7,7,7,10
2024-11,5,7,6,7,10
2024-12,7,7,7,7,11
2025-01,5,7,7,7,11
2025-02,5,6,6,6,9
2025-03,5,7,6,6,9
2025-04,5,7,7,7,9
2025-05,6,7,7,7,9
2025-06,4,6,6,6,10
2025-07,5,7,7,7,10
2025-08,5,9,8,8,9
2025-09,4,8,8,8,9
