Category: All categories

Month,broken: (Sylhet Division),open: (Sylhet Division),close: (Sylhet Division),project: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,100,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,57,61
2014-03,0,0,0,0,61
2014-04,0,94,0,0,0
2014-05,0,89,0,48,0
2014-06,0,76,0,0,0
2014-07,0,0,0,0,0
2014-08,0,70,0,0,40
2014-09,0,53,0,36,28
2014-10,4,31,4,10,12
2014-11,4,35,5,6,17
2014-12,5,40,7,0,19
2015-01,0,40,6,7,17
2015-02,0,39,13,14,20
2015-03,0,42,0,0,15
2015-04,7,45,0,12,12
2015-05,4,38,0,7,16
2015-06,8,38,0,0,23
2015-07,0,0,0,61,0
2015-08,0,59,0,23,0
2015-09,0,44,0,15,24
2015-10,0,39,0,0,0
2015-11,0,56,0,37,39
2015-12,0,35,0,44,61
2016-01,0,43,0,16,33
2016-02,0,41,0,27,26
2016-03,0,44,0,23,32
2016-04,0,44,0,14,22
2016-05,0,45,0,15,31
2016-06,0,47,0,25,24
2016-07,0,38,0,16,31
2016-08,0,45,0,24,31
2016-09,0,40,0,18,17
2016-10,0,33,0,18,33
2016-11,0,41,10,21,32
2016-12,0,55,11,22,21
2017-01,7,47,0,21,26
2017-02,0,42,8,14,26
2017-03,5,33,0,16,23
2017-04,0,37,0,10,27
2017-05,0,35,0,12,27
2017-06,0,34,0,11,16
2017-07,5,31,0,15,25
2017-08,0,34,6,13,22
2017-09,0,39,0,18,17
2017-10,0,37,0,20,19
2017-11,0,32,0,15,26
2017-12,3,30,4,12,22
2018-01,3,42,4,12,20
2018-02,4,32,6,12,18
2018-03,0,37,5,15,28
2018-04,0,36,0,16,25
2018-05,0,42,3,16,20
2018-06,0,37,4,9,19
2018-07,5,37,3,13,25
2018-08,3,37,3,13,25
2018-09,9,39,4,15,23
2018-10,0,30,4,17,22
2018-11,4,30,0,14,24
2018-12,0,31,3,14,17
2019-01,4,45,3,16,19
2019-02,7,36,8,19,27
2019-03,5,34,4,14,28
2019-04,8,31,4,14,29
2019-05,0,38,3,14,35
2019-06,3,38,0,9,26
2019-07,5,32,4,15,30
2019-08,5,39,4,14,27
2019-09,5,40,4,16,25
2019-10,5,32,4,13,25
2019-11,6,30,3,14,26
2019-12,6,33,3,11,21
2020-01,4,40,3,10,23
2020-02,5,39,4,14,26
2020-03,4,36,5,10,28
2020-04,8,35,4,9,25
2020-05,6,35,5,6,24
2020-06,5,38,5,10,31
2020-07,4,41,4,9,32
2020-08,4,39,4,11,27
2020-09,6,38,4,13,27
2020-10,4,33,3,9,27
2020-11,5,30,5,12,23
2020-12,4,30,3,11,25
2021-01,6,35,5,9,22
2021-02,4,35,4,10,22
2021-03,7,29,4,8,22
2021-04,7,27,5,8,19
2021-05,7,31,3,7,19
2021-06,6,33,4,10,22
2021-07,6,28,4,8,18
2021-08,6,31,3,8,19
2021-09,7,31,4,9,19
2021-10,6,27,2,7,17
2021-11,5,26,4,6,20
2021-12,5,27,4,8,17
2022-01,6,31,4,8,19
2022-02,7,28,4,10,20
2022-03,6,33,4,11,21
2022-04,7,29,4,8,21
2022-05,6,31,4,9,22
2022-06,6,32,3,8,24
2022-07,6,28,3,8,21
2022-08,6,27,4,9,23
2022-09,6,29,4,10,26
2022-10,5,24,4,9,24
2022-11,4,23,3,10,24
2022-12,5,22,3,7,15
2023-01,4,28,3,10,17
2023-02,4,27,4,9,18
2023-03,5,23,3,8,18
2023-04,5,24,3,7,16
2023-05,4,23,3,9,22
2023-06,5,27,3,8,22
2023-07,4,23,3,6,18
2023-08,5,26,3,6,21
2023-09,4,27,3,7,20
2023-10,4,21,3,6,18
2023-11,4,21,3,8,20
2023-12,4,23,3,7,16
2024-01,3,24,4,9,16
2024-02,3,24,3,10,18
2024-03,4,19,3,8,16
2024-04,3,23,3,7,16
2024-05,3,21,3,9,16
2024-06,3,22,3,7,14
2024-07,2,23,2,8,16
2024-08,3,25,3,6,15
2024-09,3,23,3,8,18
2024-10,3,21,3,7,17
2024-11,2,22,2,9,17
2024-12,3,22,3,8,17
2025-01,3,22,3,8,19
2025-02,2,22,3,8,14
2025-03,2,23,3,6,15
2025-04,2,23,3,5,15
2025-05,2,25,3,6,15
2025-06,2,22,3,6,16
2025-07,2,25,3,7,15
2025-08,2,25,3,6,15
2025-09,2,23,4,6,13
