Category: All categories

Month,school: (Sylhet Division),hospital: (Sylhet Division),hospital: (Sylhet Division),bridge: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,88,0,0,0,0
2013-12,88,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,56,0,0,0,66
2014-04,56,0,0,0,0
2014-05,47,0,0,0,0
2014-06,66,0,0,0,0
2014-07,0,0,0,0,37
2014-08,56,0,0,0,35
2014-09,70,0,0,0,26
2014-10,44,10,9,0,10
2014-11,52,8,8,3,13
2014-12,65,5,5,0,15
2015-01,58,10,10,0,14
2015-02,50,14,12,0,17
2015-03,47,11,11,4,10
2015-04,41,13,16,0,11
2015-05,55,14,14,0,12
2015-06,57,17,19,0,18
2015-07,69,0,0,0,0
2015-08,42,0,0,0,0
2015-09,57,26,25,0,18
2015-10,39,0,26,0,0
2015-11,54,0,0,0,33
2015-12,71,26,17,0,45
2016-01,64,16,12,13,26
2016-02,43,12,23,0,19
2016-03,52,17,12,10,24
2016-04,51,15,16,0,17
2016-05,62,22,20,0,23
2016-06,50,20,16,0,17
2016-07,54,22,20,0,26
2016-08,54,25,21,0,23
2016-09,52,13,10,0,14
2016-10,57,19,20,8,25
2016-11,87,24,14,9,24
2016-12,79,20,20,0,19
2017-01,64,15,12,6,21
2017-02,62,18,19,0,20
2017-03,65,15,14,0,18
2017-04,54,15,14,6,19
2017-05,68,20,21,0,20
2017-06,56,24,21,5,12
2017-07,65,19,20,0,21
2017-08,72,24,25,6,18
2017-09,70,24,24,8,14
2017-10,76,26,26,6,16
2017-11,82,27,26,7,21
2017-12,100,19,20,5,16
2018-01,84,14,13,5,16
2018-02,70,16,16,5,15
2018-03,74,31,31,5,21
2018-04,68,28,28,5,19
2018-05,74,27,27,5,16
2018-06,66,22,22,5,16
2018-07,70,28,30,3,18
2018-08,76,28,29,6,20
2018-09,74,29,28,6,18
2018-10,77,32,30,8,18
2018-11,77,27,26,4,19
2018-12,91,23,23,8,15
2019-01,75,25,27,4,15
2019-02,66,31,32,6,21
2019-03,68,33,32,5,21
2019-04,67,32,32,6,23
2019-05,74,26,26,4,29
2019-06,59,29,29,9,21
2019-07,63,34,34,6,23
2019-08,68,34,34,6,21
2019-09,69,35,35,5,19
2019-10,66,31,31,7,21
2019-11,70,30,31,4,20
2019-12,92,28,28,5,17
2020-01,71,26,26,4,18
2020-02,59,28,28,5,21
2020-03,57,27,27,4,21
2020-04,46,21,19,4,19
2020-05,52,22,22,2,19
2020-06,57,24,24,4,24
2020-07,52,29,28,4,25
2020-08,59,31,31,4,21
2020-09,56,31,31,3,23
2020-10,53,28,28,4,22
2020-11,82,27,27,6,18
2020-12,68,24,23,9,20
2021-01,70,27,27,4,17
2021-02,58,26,26,4,17
2021-03,59,29,29,3,17
2021-04,50,23,23,3,15
2021-05,48,23,23,3,15
2021-06,55,27,27,4,17
2021-07,45,26,26,4,14
2021-08,49,32,32,4,15
2021-09,68,30,30,4,15
2021-10,59,27,28,3,14
2021-11,67,20,21,3,16
2021-12,83,21,21,3,13
2022-01,72,22,22,2,15
2022-02,77,21,21,3,16
2022-03,73,25,24,3,17
2022-04,63,20,20,3,17
2022-05,67,25,24,5,17
2022-06,67,21,21,16,19
2022-07,58,24,24,9,16
2022-08,68,24,24,7,19
2022-09,65,26,26,8,21
2022-10,63,26,26,7,19
2022-11,72,21,21,6,19
2022-12,77,20,19,3,12
2023-01,69,21,21,4,13
2023-02,66,23,22,5,15
2023-03,59,24,24,4,14
2023-04,50,19,19,4,12
2023-05,57,25,25,5,17
2023-06,62,22,22,4,18
2023-07,64,29,29,4,14
2023-08,68,27,27,5,16
2023-09,68,25,25,4,15
2023-10,63,23,23,3,15
2023-11,63,21,21,4,15
2023-12,70,21,21,4,13
2024-01,59,21,21,3,13
2024-02,62,22,22,4,14
2024-03,56,24,24,3,13
2024-04,52,22,23,3,12
2024-05,64,24,24,3,13
2024-06,52,18,18,3,11
2024-07,52,22,22,2,13
2024-08,58,19,19,3,12
2024-09,59,25,25,2,14
2024-10,60,23,23,3,13
2024-11,70,19,18,3,13
2024-12,62,18,18,2,14
2025-01,51,18,18,2,15
2025-02,47,16,17,2,11
2025-03,42,15,15,2,12
2025-04,45,18,18,2,12
2025-05,46,17,17,2,12
2025-06,39,18,17,2,13
2025-07,53,21,22,2,12
2025-08,51,21,21,2,12
2025-09,47,20,22,2,11
