Category: All categories

Month,bridge: (Sylhet Division),checkpoint: (Sylhet Division),bus: (Sylhet Division),university: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,78,0
2012-02,0,0,0,90,0
2012-03,0,68,0,53,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,100,0
2013-01,0,0,0,80,0
2013-02,0,0,0,73,0
2013-03,0,0,0,33,0
2013-04,0,0,0,39,0
2013-05,0,30,0,61,0
2013-06,0,0,0,37,0
2013-07,0,0,0,53,0
2013-08,0,0,0,54,0
2013-09,0,0,0,82,0
2013-10,0,0,0,55,0
2013-11,0,0,0,58,0
2013-12,0,0,0,45,0
2014-01,0,0,0,58,0
2014-02,0,0,0,47,11
2014-03,0,0,0,47,11
2014-04,0,0,0,39,0
2014-05,0,0,0,48,0
2014-06,0,0,0,36,0
2014-07,0,0,0,29,0
2014-08,0,0,0,56,7
2014-09,0,0,0,73,5
2014-10,0,0,2,27,2
2014-11,0,0,1,27,3
2014-12,0,0,2,24,3
2015-01,0,0,2,28,3
2015-02,0,0,2,24,4
2015-03,0,0,2,22,3
2015-04,0,0,2,20,2
2015-05,0,0,2,17,3
2015-06,1,0,2,17,4
2015-07,0,0,0,29,0
2015-08,0,0,0,44,0
2015-09,0,0,7,50,4
2015-10,0,0,0,71,0
2015-11,0,0,0,60,7
2015-12,0,0,6,47,11
2016-01,3,0,3,33,6
2016-02,0,0,3,26,5
2016-03,0,0,2,26,6
2016-04,1,0,3,18,4
2016-05,0,0,4,28,6
2016-06,0,0,3,23,4
2016-07,2,0,4,23,6
2016-08,0,0,4,30,6
2016-09,2,0,7,41,3
2016-10,2,0,5,35,6
2016-11,2,0,4,45,6
2016-12,2,0,5,31,4
2017-01,1,0,5,28,5
2017-02,1,0,4,22,5
2017-03,0,0,4,21,4
2017-04,1,0,4,21,5
2017-05,0,0,4,27,5
2017-06,1,0,5,18,3
2017-07,0,0,4,24,5
2017-08,1,0,5,26,4
2017-09,1,0,6,36,3
2017-10,2,0,4,34,3
2017-11,2,0,5,38,5
2017-12,1,0,4,23,4
2018-01,1,0,4,25,4
2018-02,1,0,4,19,3
2018-03,1,0,4,23,5
2018-04,1,0,5,25,4
2018-05,1,0,5,29,4
2018-06,1,0,5,20,3
2018-07,1,0,5,25,5
2018-08,1,0,7,29,5
2018-09,1,0,4,40,4
2018-10,2,0,6,39,4
2018-11,1,0,5,30,4
2018-12,2,0,5,22,3
2019-01,1,0,5,26,3
2019-02,1,0,6,22,5
2019-03,1,0,5,19,5
2019-04,1,0,5,24,5
2019-05,1,0,4,27,6
2019-06,2,0,5,17,5
2019-07,1,0,6,27,5
2019-08,1,0,6,29,5
2019-09,1,0,6,43,5
2019-10,1,0,7,38,5
2019-11,1,0,5,32,5
2019-12,1,0,6,27,4
2020-01,1,0,6,30,4
2020-02,1,0,5,21,5
2020-03,1,0,5,17,5
2020-04,1,0,2,12,5
2020-05,<1,0,3,14,4
2020-06,1,0,3,16,6
2020-07,1,0,4,19,6
2020-08,1,0,4,17,5
2020-09,1,0,4,19,5
2020-10,1,0,4,23,5
2020-11,1,0,4,25,4
2020-12,2,0,5,23,4
2021-01,1,0,5,21,4
2021-02,1,0,5,25,4
2021-03,1,0,5,22,4
2021-04,1,0,3,20,3
2021-05,1,0,3,15,3
2021-06,1,0,4,21,4
2021-07,1,0,3,26,3
2021-08,1,0,4,23,3
2021-09,1,0,5,27,3
2021-10,1,0,5,25,3
2021-11,1,0,4,28,4
2021-12,1,0,5,24,3
2022-01,1,0,4,22,3
2022-02,1,0,4,25,4
2022-03,1,0,4,22,4
2022-04,1,0,4,21,4
2022-05,1,0,5,21,4
2022-06,4,0,4,24,4
2022-07,2,0,6,22,4
2022-08,2,0,5,25,4
2022-09,2,0,5,25,5
2022-10,2,0,4,27,4
2022-11,1,0,3,20,4
2022-12,1,0,4,18,3
2023-01,1,0,4,20,3
2023-02,1,0,4,21,3
2023-03,1,0,4,19,3
2023-04,1,0,4,18,3
2023-05,1,0,4,20,4
2023-06,1,0,4,20,4
2023-07,1,0,5,20,3
2023-08,1,0,4,20,4
2023-09,1,0,4,16,4
2023-10,1,0,4,14,3
2023-11,1,0,4,15,4
2023-12,1,0,5,15,3
2024-01,1,0,4,20,3
2024-02,1,0,5,18,3
2024-03,1,0,4,19,3
2024-04,1,0,5,17,3
2024-05,1,0,4,16,3
2024-06,1,0,4,16,3
2024-07,1,0,4,18,3
2024-08,1,0,4,16,3
2024-09,1,0,4,18,3
2024-10,1,0,4,17,3
2024-11,1,0,4,17,3
2024-12,<1,0,4,16,3
2025-01,<1,0,4,18,3
2025-02,<1,0,4,19,3
2025-03,<1,0,4,15,3
2025-04,<1,0,4,15,3
2025-05,<1,0,4,17,3
2025-06,1,0,4,14,3
2025-07,1,0,4,14,3
2025-08,1,0,4,15,3
2025-09,<1,0,3,14,2
