Category: All categories

Month,university: (Sylhet Division),market: (Sylhet Division),station: (Sylhet Division),cafe: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,100,0,60,0,0
2012-02,85,0,0,0,0
2012-03,65,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,80,0,0,0,0
2013-01,84,0,0,0,0
2013-02,83,0,0,0,0
2013-03,40,0,0,0,0
2013-04,42,0,0,0,0
2013-05,62,0,0,0,0
2013-06,42,0,0,0,0
2013-07,50,0,0,0,0
2013-08,67,0,0,0,0
2013-09,86,0,0,0,0
2013-10,55,0,0,0,0
2013-11,68,0,0,0,0
2013-12,52,0,0,0,0
2014-01,62,0,0,0,0
2014-02,54,0,0,0,0
2014-03,49,0,0,0,17
2014-04,46,0,0,0,0
2014-05,57,0,0,0,0
2014-06,39,0,0,0,0
2014-07,33,0,0,0,9
2014-08,53,9,0,0,9
2014-09,85,6,0,0,7
2014-10,30,5,0,0,2
2014-11,30,4,2,0,3
2014-12,26,3,0,0,4
2015-01,30,4,0,0,4
2015-02,27,3,1,0,4
2015-03,25,4,0,0,3
2015-04,23,5,0,0,3
2015-05,19,5,0,1,3
2015-06,20,6,0,1,5
2015-07,32,11,0,0,0
2015-08,48,0,0,0,0
2015-09,57,5,0,0,5
2015-10,78,0,0,0,0
2015-11,66,0,0,0,8
2015-12,52,6,0,0,11
2016-01,37,6,0,0,7
2016-02,29,5,0,0,5
2016-03,30,7,0,0,6
2016-04,19,5,0,0,4
2016-05,31,5,2,0,6
2016-06,25,5,0,0,4
2016-07,26,3,0,0,6
2016-08,33,4,0,0,6
2016-09,44,4,0,0,3
2016-10,40,5,0,2,6
2016-11,51,7,0,0,6
2016-12,33,5,2,0,5
2017-01,31,6,2,0,5
2017-02,24,5,2,0,5
2017-03,23,6,3,0,4
2017-04,23,6,2,1,5
2017-05,29,5,2,1,5
2017-06,20,4,2,2,3
2017-07,27,6,2,0,5
2017-08,29,7,2,0,4
2017-09,39,7,3,1,3
2017-10,38,7,3,0,4
2017-11,43,8,2,1,5
2017-12,26,8,2,0,4
2018-01,28,7,2,1,4
2018-02,21,6,2,1,4
2018-03,25,8,2,1,5
2018-04,28,8,2,0,5
2018-05,32,6,2,1,4
2018-06,21,7,2,1,4
2018-07,28,10,2,1,5
2018-08,32,8,2,1,5
2018-09,44,7,2,1,5
2018-10,43,10,2,1,4
2018-11,33,9,2,1,5
2018-12,24,8,2,1,4
2019-01,28,13,2,1,4
2019-02,24,9,2,1,5
2019-03,21,9,2,1,5
2019-04,26,8,2,1,6
2019-05,30,8,2,1,7
2019-06,18,6,2,1,5
2019-07,30,8,2,1,6
2019-08,33,7,2,2,5
2019-09,47,7,3,1,5
2019-10,42,7,2,1,5
2019-11,36,7,2,1,5
2019-12,30,7,2,1,4
2020-01,33,7,2,1,5
2020-02,23,8,2,1,5
2020-03,18,7,2,1,5
2020-04,14,5,1,1,5
2020-05,16,5,1,0,5
2020-06,18,6,1,<1,6
2020-07,22,8,2,1,6
2020-08,19,9,1,1,5
2020-09,22,10,2,1,6
2020-10,25,8,2,1,6
2020-11,28,7,3,1,5
2020-12,26,8,2,1,5
2021-01,23,11,2,1,4
2021-02,28,10,1,1,4
2021-03,25,8,2,1,4
2021-04,23,6,1,1,4
2021-05,17,8,1,1,4
2021-06,23,9,1,1,4
2021-07,29,7,1,1,4
2021-08,26,8,1,1,4
2021-09,30,9,2,1,4
2021-10,27,7,1,1,4
2021-11,30,6,1,1,4
2021-12,27,6,1,1,3
2022-01,25,6,2,1,4
2022-02,27,6,2,1,4
2022-03,24,6,2,1,4
2022-04,24,5,2,1,4
2022-05,25,5,2,1,4
2022-06,25,5,2,1,5
2022-07,25,5,2,1,4
2022-08,28,5,2,1,5
2022-09,28,5,2,1,5
2022-10,28,5,2,1,5
2022-11,21,4,1,1,5
2022-12,17,4,1,1,3
2023-01,23,4,2,1,3
2023-02,22,4,1,1,4
2023-03,19,4,2,1,4
2023-04,21,4,1,1,3
2023-05,22,4,2,1,4
2023-06,21,4,2,1,4
2023-07,22,4,1,1,4
2023-08,21,4,2,1,4
2023-09,20,3,2,1,4
2023-10,16,3,1,1,4
2023-11,17,3,2,1,4
2023-12,17,4,2,1,3
2024-01,23,4,2,1,3
2024-02,20,4,2,1,4
2024-03,21,4,1,1,3
2024-04,19,4,1,1,3
2024-05,19,4,1,1,3
2024-06,19,3,1,1,3
2024-07,19,4,1,1,3
2024-08,17,4,1,1,3
2024-09,20,4,1,1,4
2024-10,18,3,1,1,3
2024-11,19,4,1,1,3
2024-12,18,4,1,1,3
2025-01,20,3,1,<1,4
2025-02,21,3,1,<1,3
2025-03,17,4,1,<1,3
2025-04,18,3,1,1,3
2025-05,19,3,1,1,3
2025-06,16,3,1,1,3
2025-07,17,3,1,1,3
2025-08,16,3,1,1,3
2025-09,15,3,1,1,3
